Terms,http://www.xe.com/legal/dfs.php,Privacy,http://www.xe.com/privacy.php
from,amount,timestamp,quotecurrency,mid
CAD,1000.0,2018-08-21T00:00:00Z,FJD,1622.1910356508
CAD,1000.0,2018-08-21T00:00:00Z,MXN,14577.1715076549
CAD,1000.0,2018-08-21T00:00:00Z,STD,1.6268696940611245E7
CAD,1000.0,2018-08-21T00:00:00Z,EUR,667.2491092191
CAD,1000.0,2018-08-21T00:00:00Z,SCR,10426.1495449165
CAD,1000.0,2018-08-21T00:00:00Z,TVD,1045.1658569526
CAD,1000.0,2018-08-21T00:00:00Z,CDF,1235077.3866326609
CAD,1000.0,2018-08-21T00:00:00Z,BBD,1533.5248361661
CAD,1000.0,2018-08-21T00:00:00Z,HNL,18409.7694194542
CAD,1000.0,2018-08-21T00:00:00Z,UGX,2875705.379807328
CAD,1000.0,2018-08-21T00:00:00Z,ZAR,11129.8904649939
CAD,1000.0,2018-08-21T00:00:00Z,STN,16268.6969406112
CAD,1000.0,2018-08-21T00:00:00Z,CUC,766.7624180831
CAD,1000.0,2018-08-21T00:00:00Z,BSD,766.7624180831
CAD,1000.0,2018-08-21T00:00:00Z,SDG,13823.1260828961
CAD,1000.0,2018-08-21T00:00:00Z,SDG,13823.1260828961
CAD,1000.0,2018-08-21T00:00:00Z,IQD,912900.0129576381
CAD,1000.0,2018-08-21T00:00:00Z,CUP,20319.2040792013
CAD,1000.0,2018-08-21T00:00:00Z,GMD,36875.5972063844
CAD,1000.0,2018-08-21T00:00:00Z,TWD,23568.4352137483
CAD,1000.0,2018-08-21T00:00:00Z,RSD,78785.9010774889
CAD,1000.0,2018-08-21T00:00:00Z,MYR,3143.0878740321
CAD,1000.0,2018-08-21T00:00:00Z,FKP,598.8327067628
CAD,1000.0,2018-08-21T00:00:00Z,XOF,437686.7239360233
CAD,1000.0,2018-08-21T00:00:00Z,UYU,24143.1005087588
CAD,1000.0,2018-08-21T00:00:00Z,CVE,73577.5592735885
CAD,1000.0,2018-08-21T00:00:00Z,OMR,294.8201497529
CAD,1000.0,2018-08-21T00:00:00Z,KES,77334.2407028622
CAD,1000.0,2018-08-21T00:00:00Z,SEK,7014.2762752514
CAD,1000.0,2018-08-21T00:00:00Z,BTN,53505.9466847096
CAD,1000.0,2018-08-21T00:00:00Z,GNF,6964178.0017909305
CAD,1000.0,2018-08-21T00:00:00Z,MZN,45745.1417161704
CAD,1000.0,2018-08-21T00:00:00Z,MZN,45745.1417161704
CAD,1000.0,2018-08-21T00:00:00Z,SVC,6709.1711582269
CAD,1000.0,2018-08-21T00:00:00Z,ARS,22892.2580898896
CAD,1000.0,2018-08-21T00:00:00Z,QAR,2791.0152018224
CAD,1000.0,2018-08-21T00:00:00Z,IRR,3.2062414158023912E7
CAD,1000.0,2018-08-21T00:00:00Z,EUR,667.2491092191
CAD,1000.0,2018-08-21T00:00:00Z,XPD,0.8356936384
CAD,1000.0,2018-08-21T00:00:00Z,THB,25258.6660948866
CAD,1000.0,2018-08-21T00:00:00Z,UZS,5979645.707992259
CAD,1000.0,2018-08-21T00:00:00Z,XPF,79623.9987132032
CAD,1000.0,2018-08-21T00:00:00Z,BDT,64312.9896163264
CAD,1000.0,2018-08-21T00:00:00Z,LYD,1060.2155473697
CAD,1000.0,2018-08-21T00:00:00Z,KWD,232.5948031505
CAD,1000.0,2018-08-21T00:00:00Z,XPT,0.9646546207
CAD,1000.0,2018-08-21T00:00:00Z,RUB,51366.1780031418
CAD,1000.0,2018-08-21T00:00:00Z,ISK,82884.5862223706
CAD,1000.0,2018-08-21T00:00:00Z,EUR,667.2491092191
CAD,1000.0,2018-08-21T00:00:00Z,MKD,41027.6398872337
CAD,1000.0,2018-08-21T00:00:00Z,DZD,91253.3883961472
CAD,1000.0,2018-08-21T00:00:00Z,PAB,766.7624180831
CAD,1000.0,2018-08-21T00:00:00Z,SGD,1049.7366742101
CAD,1000.0,2018-08-21T00:00:00Z,JEP,598.8327067628
CAD,1000.0,2018-08-21T00:00:00Z,KGS,53255.8369350323
CAD,1000.0,2018-08-21T00:00:00Z,XAF,437686.7239360233
CAD,1000.0,2018-08-21T00:00:00Z,XAG,51.9063654539
CAD,1000.0,2018-08-21T00:00:00Z,EUR,667.2491092191
CAD,1000.0,2018-08-21T00:00:00Z,CHF,759.4469588365
CAD,1000.0,2018-08-21T00:00:00Z,HRK,4953.8852752249
CAD,1000.0,2018-08-21T00:00:00Z,EUR,667.2491092191
CAD,1000.0,2018-08-21T00:00:00Z,DJF,136479.0836339734
CAD,1000.0,2018-08-21T00:00:00Z,TZS,1751141.729336434
CAD,1000.0,2018-08-21T00:00:00Z,VND,1.789738846687803E7
CAD,1000.0,2018-08-21T00:00:00Z,XAU,0.6436460475
CAD,1000.0,2018-08-21T00:00:00Z,AUD,1045.1658569526
CAD,1000.0,2018-08-21T00:00:00Z,KHR,3120320.767157974
CAD,1000.0,2018-08-21T00:00:00Z,IDR,1.1172486552360276E7
CAD,1000.0,2018-08-21T00:00:00Z,KYD,628.7451576366
CAD,1000.0,2018-08-21T00:00:00Z,BWP,8256.0893688542
CAD,1000.0,2018-08-21T00:00:00Z,SHP,598.8327067628
CAD,1000.0,2018-08-21T00:00:00Z,EUR,667.2491092191
CAD,1000.0,2018-08-21T00:00:00Z,TJS,7222.9120289166
CAD,1000.0,2018-08-21T00:00:00Z,RWF,663030.3053482703
CAD,1000.0,2018-08-21T00:00:00Z,DKK,4976.4876757716
CAD,1000.0,2018-08-21T00:00:00Z,BGN,1305.025825284
CAD,1000.0,2018-08-21T00:00:00Z,MMK,1162354.3591673174
CAD,1000.0,2018-08-21T00:00:00Z,NOK,6470.4189532618
CAD,1000.0,2018-08-21T00:00:00Z,SYP,394895.0022488324
