Terms,http://www.xe.com/legal/dfs.php,Privacy,http://www.xe.com/privacy.php
from,amount,timestamp,quotecurrency,mid
CAD,1000.0,2018-08-20T00:00:00Z,FJD,1627.5683424695
CAD,1000.0,2018-08-20T00:00:00Z,MXN,14465.6833847598
CAD,1000.0,2018-08-20T00:00:00Z,STD,1.629777149753672E7
CAD,1000.0,2018-08-20T00:00:00Z,EUR,669.4324149371
CAD,1000.0,2018-08-20T00:00:00Z,SCR,10451.5633010667
CAD,1000.0,2018-08-20T00:00:00Z,TVD,1047.7103608425
CAD,1000.0,2018-08-20T00:00:00Z,CDF,1232801.5094926762
CAD,1000.0,2018-08-20T00:00:00Z,BBD,1531.3365298406
CAD,1000.0,2018-08-20T00:00:00Z,HNL,18380.8205423868
CAD,1000.0,2018-08-20T00:00:00Z,UGX,2870249.7156416792
CAD,1000.0,2018-08-20T00:00:00Z,ZAR,11299.2369196025
CAD,1000.0,2018-08-20T00:00:00Z,STN,16297.7714975367
CAD,1000.0,2018-08-20T00:00:00Z,CUC,765.6682649203
CAD,1000.0,2018-08-20T00:00:00Z,BSD,765.6682649203
CAD,1000.0,2018-08-20T00:00:00Z,SDG,13785.4842828889
CAD,1000.0,2018-08-20T00:00:00Z,SDG,13785.4842828889
CAD,1000.0,2018-08-20T00:00:00Z,IQD,912041.5385111724
CAD,1000.0,2018-08-20T00:00:00Z,CUP,20290.2090203883
CAD,1000.0,2018-08-20T00:00:00Z,GMD,36882.4836999718
CAD,1000.0,2018-08-20T00:00:00Z,TWD,23520.0623781528
CAD,1000.0,2018-08-20T00:00:00Z,RSD,79066.1838244183
CAD,1000.0,2018-08-20T00:00:00Z,MYR,3141.6395627656
CAD,1000.0,2018-08-20T00:00:00Z,FKP,600.6777207462
CAD,1000.0,2018-08-20T00:00:00Z,XOF,439118.8786048683
CAD,1000.0,2018-08-20T00:00:00Z,UYU,24158.2224496961
CAD,1000.0,2018-08-20T00:00:00Z,CVE,73818.3123951095
CAD,1000.0,2018-08-20T00:00:00Z,OMR,294.3994478619
CAD,1000.0,2018-08-20T00:00:00Z,KES,77198.0362153362
CAD,1000.0,2018-08-20T00:00:00Z,SEK,7010.4770792094
CAD,1000.0,2018-08-20T00:00:00Z,BTN,53440.5745855839
CAD,1000.0,2018-08-20T00:00:00Z,GNF,6872224.709040742
CAD,1000.0,2018-08-20T00:00:00Z,MZN,45358.0419452805
CAD,1000.0,2018-08-20T00:00:00Z,MZN,45358.0419452805
CAD,1000.0,2018-08-20T00:00:00Z,SVC,6699.5973180528
CAD,1000.0,2018-08-20T00:00:00Z,ARS,22849.3251946777
CAD,1000.0,2018-08-20T00:00:00Z,QAR,2787.0324843099
CAD,1000.0,2018-08-20T00:00:00Z,IRR,3.2049383623903483E7
CAD,1000.0,2018-08-20T00:00:00Z,EUR,669.4324149371
CAD,1000.0,2018-08-20T00:00:00Z,XPD,0.8495865787
CAD,1000.0,2018-08-20T00:00:00Z,THB,25404.7209995452
CAD,1000.0,2018-08-20T00:00:00Z,UZS,5970666.543327377
CAD,1000.0,2018-08-20T00:00:00Z,XPF,79884.5363883781
CAD,1000.0,2018-08-20T00:00:00Z,BDT,64570.393966407
CAD,1000.0,2018-08-20T00:00:00Z,LYD,1064.8636676063
CAD,1000.0,2018-08-20T00:00:00Z,KWD,232.5024672227
CAD,1000.0,2018-08-20T00:00:00Z,XPT,0.9615633907
CAD,1000.0,2018-08-20T00:00:00Z,RUB,51436.1766302973
CAD,1000.0,2018-08-20T00:00:00Z,ISK,82205.6375881382
CAD,1000.0,2018-08-20T00:00:00Z,EUR,669.4324149371
CAD,1000.0,2018-08-20T00:00:00Z,MKD,41254.9092168143
CAD,1000.0,2018-08-20T00:00:00Z,DZD,91317.0549083354
CAD,1000.0,2018-08-20T00:00:00Z,PAB,765.6682649203
CAD,1000.0,2018-08-20T00:00:00Z,SGD,1049.6475534759
CAD,1000.0,2018-08-20T00:00:00Z,JEP,600.6777207462
CAD,1000.0,2018-08-20T00:00:00Z,KGS,53179.8782741754
CAD,1000.0,2018-08-20T00:00:00Z,XAF,439118.8786048683
CAD,1000.0,2018-08-20T00:00:00Z,XAG,51.8238913049
CAD,1000.0,2018-08-20T00:00:00Z,EUR,669.4324149371
CAD,1000.0,2018-08-20T00:00:00Z,CHF,762.0952594839
CAD,1000.0,2018-08-20T00:00:00Z,HRK,4966.3247522243
CAD,1000.0,2018-08-20T00:00:00Z,EUR,669.4324149371
CAD,1000.0,2018-08-20T00:00:00Z,DJF,136278.872600971
CAD,1000.0,2018-08-20T00:00:00Z,TZS,1750485.8108036863
CAD,1000.0,2018-08-20T00:00:00Z,VND,1.7810612922904976E7
CAD,1000.0,2018-08-20T00:00:00Z,XAU,0.6471521209
CAD,1000.0,2018-08-20T00:00:00Z,AUD,1047.7103608425
CAD,1000.0,2018-08-20T00:00:00Z,KHR,3116692.0184694007
CAD,1000.0,2018-08-20T00:00:00Z,IDR,1.1169060383842008E7
CAD,1000.0,2018-08-20T00:00:00Z,KYD,627.8479784597
CAD,1000.0,2018-08-20T00:00:00Z,BWP,8324.8966144104
CAD,1000.0,2018-08-20T00:00:00Z,SHP,600.6777207462
CAD,1000.0,2018-08-20T00:00:00Z,EUR,669.4324149371
CAD,1000.0,2018-08-20T00:00:00Z,TJS,7212.6026601666
CAD,1000.0,2018-08-20T00:00:00Z,RWF,662315.3279736035
CAD,1000.0,2018-08-20T00:00:00Z,DKK,4991.9244493778
CAD,1000.0,2018-08-20T00:00:00Z,BGN,1309.2960001063
CAD,1000.0,2018-08-20T00:00:00Z,MMK,1139916.4022103704
CAD,1000.0,2018-08-20T00:00:00Z,NOK,6472.9739212774
CAD,1000.0,2018-08-20T00:00:00Z,SYP,394340.4400712173
CAD,1000.0,2018-08-20T00:00:00Z,XBT,0.1179772487
CAD,1000.0,2018-08-20T00:00:00Z,LKR,122866.3835436622
CAD,1000.0,2018-08-20T00:00:00Z,CZK,17190.2621968222
CAD,1000.0,2018-08-20T00:00:00Z,EUR,669.4324149371
CAD,1000.0,2018-08-20T00:00:00Z,EUR,669.4324149371
CAD,1000.0,2018-08-20T00:00:00Z,XCD,2069.2342858946
CAD,1000.0,2018-08-20T00:00:00Z,HTG,51429.4854740557
CAD,1000.0,2018-08-20T00:00:00Z,BHD,287.89126761
CAD,1000.0,2018-08-20T00:00:00Z,EUR,669.4324149371
CAD,1000.0,2018-08-20T00:00:00Z,EUR,669.4324149371
CAD,1000.0,2018-08-20T00:00:00Z,KZT,275888.0919293001
CAD,1000.0,2018-08-20T00:00:00Z,SZL,11299.2369196025
CAD,1000.0,2018-08-20T00:00:00Z,YER,191609.6859667498
CAD,1000.0,2018-08-20T00:00:00Z,AFN,55644.9802958832
CAD,1000.0,2018-08-20T00:00:00Z,AWG,1370.5461942074
CAD,1000.0,2018-08-20T00:00:00Z,NPR,85905.7236463262
CAD,1000.0,2018-08-20T00:00:00Z,MNT,1882167.41347195
CAD,1000.0,2018-08-20T00:00:00Z,GBP,600.6777207462
CAD,1000.0,2018-08-20T00:00:00Z,BYN,1571.8933205073
CAD,1000.0,2018-08-20T00:00:00Z,HUF,216323.2585842153
CAD,1000.0,2018-08-20T00:00:00Z,BYN,1571.8933205073
CAD,1000.0,2018-08-20T00:00:00Z,BIF,1363651.4174266201
CAD,1000.0,2018-08-20T00:00:00Z,XDR,550.7093486104
CAD,1000.0,2018-08-20T00:00:00Z,BZD,1539.8325775503
CAD,1000.0,2018-08-20T00:00:00Z,MOP,6190.598041294
CAD,1000.0,2018-08-20T00:00:00Z,NAD,11299.2369196025
CAD,1000.0,2018-08-20T00:00:00Z,EUR,669.4324149371
CAD,1000.0,2018-08-20T00:00:00Z,TMT,2679.8397441891
CAD,1000.0,2018-08-20T00:00:00Z,PEN,2537.9904503713
CAD,1000.0,2018-08-20T00:00:00Z,WST,2019.8932403729
CAD,1000.0,2018-08-20T00:00:00Z,TMT,2679.8397441891
CAD,1000.0,2018-08-20T00:00:00Z,EUR,669.4324149371
CAD,1000.0,2018-08-20T00:00:00Z,EUR,669.4324149371
CAD,1000.0,2018-08-20T00:00:00Z,GTQ,5735.4168529388
