Terms,http://www.xe.com/legal/dfs.php,Privacy,http://www.xe.com/privacy.php
from,amount,timestamp,quotecurrency,mid
USD,5000.0,2018-08-20T00:00:00Z,FJD,10628.4171425
USD,5000.0,2018-08-20T00:00:00Z,MXN,94464.4309260051
USD,5000.0,2018-08-20T00:00:00Z,STD,1.064284119130422E8
USD,5000.0,2018-08-20T00:00:00Z,EUR,4371.5564925936
USD,5000.0,2018-08-20T00:00:00Z,SCR,68251.250443
USD,5000.0,2018-08-20T00:00:00Z,TVD,6841.8034862102
USD,5000.0,2018-08-20T00:00:00Z,CDF,8050493.705789001
USD,5000.0,2018-08-20T00:00:00Z,BBD,10000.0
USD,5000.0,2018-08-20T00:00:00Z,HNL,120031.2288266236
USD,5000.0,2018-08-20T00:00:00Z,UGX,1.87434287611515E7
USD,5000.0,2018-08-20T00:00:00Z,ZAR,73786.7653479045
USD,5000.0,2018-08-20T00:00:00Z,STN,106428.4119130422
USD,5000.0,2018-08-20T00:00:00Z,CUC,5000.0
USD,5000.0,2018-08-20T00:00:00Z,BSD,5000.0
USD,5000.0,2018-08-20T00:00:00Z,SDG,90022.565349
USD,5000.0,2018-08-20T00:00:00Z,SDG,90022.565349
USD,5000.0,2018-08-20T00:00:00Z,IQD,5955853.078265499
USD,5000.0,2018-08-20T00:00:00Z,CUP,132500.0
USD,5000.0,2018-08-20T00:00:00Z,GMD,240851.5893225
USD,5000.0,2018-08-20T00:00:00Z,TWD,153591.728009
USD,5000.0,2018-08-20T00:00:00Z,RSD,516321.411288
USD,5000.0,2018-08-20T00:00:00Z,MYR,20515.6704718104
USD,5000.0,2018-08-20T00:00:00Z,FKP,3922.5716166303
USD,5000.0,2018-08-20T00:00:00Z,XOF,2867553.082212233
USD,5000.0,2018-08-20T00:00:00Z,UYU,157759.068493
USD,5000.0,2018-08-20T00:00:00Z,CVE,482051.5344382984
USD,5000.0,2018-08-20T00:00:00Z,OMR,1922.5
USD,5000.0,2018-08-20T00:00:00Z,KES,504121.9530195
USD,5000.0,2018-08-20T00:00:00Z,SEK,45780.1204542479
USD,5000.0,2018-08-20T00:00:00Z,BTN,348979.9501559963
USD,5000.0,2018-08-20T00:00:00Z,GNF,4.48772988505404E7
USD,5000.0,2018-08-20T00:00:00Z,MZN,296199.0461365211
USD,5000.0,2018-08-20T00:00:00Z,MZN,296199.0461365211
USD,5000.0,2018-08-20T00:00:00Z,SVC,43750.0
USD,5000.0,2018-08-20T00:00:00Z,ARS,149211.6510605
USD,5000.0,2018-08-20T00:00:00Z,QAR,18200.0
USD,5000.0,2018-08-20T00:00:00Z,IRR,2.092902702924415E8
USD,5000.0,2018-08-20T00:00:00Z,EUR,4371.5564925936
USD,5000.0,2018-08-20T00:00:00Z,XPD,5.548007
USD,5000.0,2018-08-20T00:00:00Z,THB,165899.0072037865
USD,5000.0,2018-08-20T00:00:00Z,UZS,3.89899047464685E7
USD,5000.0,2018-08-20T00:00:00Z,XPF,521665.4525748949
USD,5000.0,2018-08-20T00:00:00Z,BDT,421660.377769
USD,5000.0,2018-08-20T00:00:00Z,LYD,6953.8187515
USD,5000.0,2018-08-20T00:00:00Z,KWD,1518.2976615
USD,5000.0,2018-08-20T00:00:00Z,XPT,6.279242818
USD,5000.0,2018-08-20T00:00:00Z,RUB,335890.7439872176
USD,5000.0,2018-08-20T00:00:00Z,ISK,536822.8079604
USD,5000.0,2018-08-20T00:00:00Z,EUR,4371.5564925936
USD,5000.0,2018-08-20T00:00:00Z,MKD,269404.591433
USD,5000.0,2018-08-20T00:00:00Z,DZD,596322.5791906039
USD,5000.0,2018-08-20T00:00:00Z,PAB,5000.0
USD,5000.0,2018-08-20T00:00:00Z,SGD,6854.4538252814
USD,5000.0,2018-08-20T00:00:00Z,JEP,3922.5716166303
USD,5000.0,2018-08-20T00:00:00Z,KGS,347277.5398345
USD,5000.0,2018-08-20T00:00:00Z,XAF,2867553.082212233
USD,5000.0,2018-08-20T00:00:00Z,XAG,338.4226151144
USD,5000.0,2018-08-20T00:00:00Z,EUR,4371.5564925936
USD,5000.0,2018-08-20T00:00:00Z,CHF,4976.667405454
USD,5000.0,2018-08-20T00:00:00Z,HRK,32431.308569
USD,5000.0,2018-08-20T00:00:00Z,EUR,4371.5564925936
USD,5000.0,2018-08-20T00:00:00Z,DJF,889934.1845854999
USD,5000.0,2018-08-20T00:00:00Z,TZS,1.1431098107389E7
USD,5000.0,2018-08-20T00:00:00Z,VND,1.1630763438235599E8
USD,5000.0,2018-08-20T00:00:00Z,XAU,4.2260607536
USD,5000.0,2018-08-20T00:00:00Z,AUD,6841.8034862102
USD,5000.0,2018-08-20T00:00:00Z,KHR,2.03527569396765E7
USD,5000.0,2018-08-20T00:00:00Z,IDR,7.293668090713151E7
USD,5000.0,2018-08-20T00:00:00Z,KYD,4100.000008
USD,5000.0,2018-08-20T00:00:00Z,BWP,54363.5997195
USD,5000.0,2018-08-20T00:00:00Z,SHP,3922.5716166303
USD,5000.0,2018-08-20T00:00:00Z,EUR,4371.5564925936
USD,5000.0,2018-08-20T00:00:00Z,TJS,47100.04966
USD,5000.0,2018-08-20T00:00:00Z,RWF,4325080.183665
USD,5000.0,2018-08-20T00:00:00Z,DKK,32598.480817912
USD,5000.0,2018-08-20T00:00:00Z,BGN,8550.0213349094
USD,5000.0,2018-08-20T00:00:00Z,MMK,7443931.363206
USD,5000.0,2018-08-20T00:00:00Z,NOK,42270.0940984611
USD,5000.0,2018-08-20T00:00:00Z,SYP,2575138.987328
USD,5000.0,2018-08-20T00:00:00Z,XBT,0.7704201289
USD,5000.0,2018-08-20T00:00:00Z,LKR,802347.3687815
USD,5000.0,2018-08-20T00:00:00Z,CZK,112256.5932559006
USD,5000.0,2018-08-20T00:00:00Z,EUR,4371.5564925936
USD,5000.0,2018-08-20T00:00:00Z,EUR,4371.5564925936
USD,5000.0,2018-08-20T00:00:00Z,XCD,13512.6031775
USD,5000.0,2018-08-20T00:00:00Z,HTG,335847.0491095
