Terms,http://www.xe.com/legal/dfs.php,Privacy,http://www.xe.com/privacy.php
from,amount,timestamp,quotecurrency,mid
USD,1000.0,2018-08-19T00:00:00Z,FJD,2129.4999121324
USD,1000.0,2018-08-19T00:00:00Z,MXN,18901.6891406827
USD,1000.0,2018-08-19T00:00:00Z,STD,2.1450889238066405E7
USD,1000.0,2018-08-19T00:00:00Z,EUR,873.5294839613
USD,1000.0,2018-08-19T00:00:00Z,SCR,13902.0004270492
USD,1000.0,2018-08-19T00:00:00Z,TVD,1366.3844564466
USD,1000.0,2018-08-19T00:00:00Z,CDF,1570500.0000001602
USD,1000.0,2018-08-19T00:00:00Z,BBD,2000.0
USD,1000.0,2018-08-19T00:00:00Z,HNL,23998.0010987666
USD,1000.0,2018-08-19T00:00:00Z,UGX,3740897.1663433104
USD,1000.0,2018-08-19T00:00:00Z,ZAR,14643.2451937053
USD,1000.0,2018-08-19T00:00:00Z,STN,21450.8892380664
USD,1000.0,2018-08-19T00:00:00Z,CUC,1000.0
USD,1000.0,2018-08-19T00:00:00Z,BSD,1000.0
USD,1000.0,2018-08-19T00:00:00Z,SDG,18066.2994383353
USD,1000.0,2018-08-19T00:00:00Z,SDG,18066.2994383353
USD,1000.0,2018-08-19T00:00:00Z,IQD,1190982.4241860802
USD,1000.0,2018-08-19T00:00:00Z,CUP,26500.0
USD,1000.0,2018-08-19T00:00:00Z,GMD,48150.0015260558
USD,1000.0,2018-08-19T00:00:00Z,TWD,30757.8749167532
USD,1000.0,2018-08-19T00:00:00Z,RSD,103697.2923039988
USD,1000.0,2018-08-19T00:00:00Z,MYR,4107.4696710188
USD,1000.0,2018-08-19T00:00:00Z,FKP,784.3839564102
USD,1000.0,2018-08-19T00:00:00Z,XOF,572997.7797108089
USD,1000.0,2018-08-19T00:00:00Z,UYU,31494.998932057
USD,1000.0,2018-08-19T00:00:00Z,CVE,96324.0961964136
USD,1000.0,2018-08-19T00:00:00Z,OMR,384.5
USD,1000.0,2018-08-19T00:00:00Z,KES,100729.9953396678
USD,1000.0,2018-08-19T00:00:00Z,SEK,9153.4118913976
USD,1000.0,2018-08-19T00:00:00Z,BTN,69864.3314106919
USD,1000.0,2018-08-19T00:00:00Z,GNF,9053999.99999984
USD,1000.0,2018-08-19T00:00:00Z,MZN,58860.0684633503
USD,1000.0,2018-08-19T00:00:00Z,MZN,58860.0684633503
USD,1000.0,2018-08-19T00:00:00Z,SVC,8750.0
USD,1000.0,2018-08-19T00:00:00Z,ARS,29832.257768536
USD,1000.0,2018-08-19T00:00:00Z,QAR,3640.0
USD,1000.0,2018-08-19T00:00:00Z,IRR,4.2025021380458884E7
USD,1000.0,2018-08-19T00:00:00Z,EUR,873.5294839613
USD,1000.0,2018-08-19T00:00:00Z,XPD,1.1014255
USD,1000.0,2018-08-19T00:00:00Z,THB,33174.6876891516
USD,1000.0,2018-08-19T00:00:00Z,UZS,7799999.99999984
USD,1000.0,2018-08-19T00:00:00Z,XPF,104239.7952217318
USD,1000.0,2018-08-19T00:00:00Z,BDT,83794.9767425891
USD,1000.0,2018-08-19T00:00:00Z,LYD,1393.0000065351
USD,1000.0,2018-08-19T00:00:00Z,KWD,304.0999768433
USD,1000.0,2018-08-19T00:00:00Z,XPT,1.2576719
USD,1000.0,2018-08-19T00:00:00Z,RUB,66997.0094787899
USD,1000.0,2018-08-19T00:00:00Z,ISK,107599.9984739442
USD,1000.0,2018-08-19T00:00:00Z,EUR,873.5294839613
USD,1000.0,2018-08-19T00:00:00Z,MKD,53750.00000016
USD,1000.0,2018-08-19T00:00:00Z,DZD,119566.001891938
USD,1000.0,2018-08-19T00:00:00Z,PAB,1000.0
USD,1000.0,2018-08-19T00:00:00Z,SGD,1371.0326147135
USD,1000.0,2018-08-19T00:00:00Z,JEP,784.3839564102
USD,1000.0,2018-08-19T00:00:00Z,KGS,69455.7037355503
USD,1000.0,2018-08-19T00:00:00Z,XAF,572997.7797108089
USD,1000.0,2018-08-19T00:00:00Z,XAG,67.5675148
USD,1000.0,2018-08-19T00:00:00Z,EUR,873.5294839613
USD,1000.0,2018-08-19T00:00:00Z,CHF,995.8414686006
USD,1000.0,2018-08-19T00:00:00Z,HRK,6499.7997282387
USD,1000.0,2018-08-19T00:00:00Z,EUR,873.5294839613
USD,1000.0,2018-08-19T00:00:00Z,DJF,178099.8172102232
USD,1000.0,2018-08-19T00:00:00Z,TZS,2278496.78037232
USD,1000.0,2018-08-19T00:00:00Z,VND,2.3294288482616942E7
USD,1000.0,2018-08-19T00:00:00Z,XAU,0.8440834
USD,1000.0,2018-08-19T00:00:00Z,AUD,1366.3844564466
USD,1000.0,2018-08-19T00:00:00Z,KHR,4065000.00000016
USD,1000.0,2018-08-19T00:00:00Z,IDR,1.4610528178401038E7
USD,1000.0,2018-08-19T00:00:00Z,KYD,820.032124
USD,1000.0,2018-08-19T00:00:00Z,BWP,10834.2008874791
USD,1000.0,2018-08-19T00:00:00Z,SHP,784.3839564102
USD,1000.0,2018-08-19T00:00:00Z,EUR,873.5294839613
USD,1000.0,2018-08-19T00:00:00Z,TJS,9420.0000764588
USD,1000.0,2018-08-19T00:00:00Z,RWF,864415.1217561112
USD,1000.0,2018-08-19T00:00:00Z,DKK,6519.4819773495
USD,1000.0,2018-08-19T00:00:00Z,BGN,1708.475170616
USD,1000.0,2018-08-19T00:00:00Z,MMK,1488961.9785560002
USD,1000.0,2018-08-19T00:00:00Z,NOK,8453.4983575129
USD,1000.0,2018-08-19T00:00:00Z,SYP,515228.65184943
USD,1000.0,2018-08-19T00:00:00Z,XBT,0.1560809003
USD,1000.0,2018-08-19T00:00:00Z,LKR,160574.5994942863
USD,1000.0,2018-08-19T00:00:00Z,CZK,22464.9223727576
USD,1000.0,2018-08-19T00:00:00Z,EUR,873.5294839613
USD,1000.0,2018-08-19T00:00:00Z,EUR,873.5294839613
USD,1000.0,2018-08-19T00:00:00Z,XCD,2702.4645686
USD,1000.0,2018-08-19T00:00:00Z,HTG,67889.9993894497
USD,1000.0,2018-08-19T00:00:00Z,BHD,376.0
USD,1000.0,2018-08-19T00:00:00Z,EUR,873.5294839613
USD,1000.0,2018-08-19T00:00:00Z,EUR,873.5294839613
USD,1000.0,2018-08-19T00:00:00Z,KZT,361294.9829100312
USD,1000.0,2018-08-19T00:00:00Z,SZL,14643.2451937053
USD,1000.0,2018-08-19T00:00:00Z,YER,249949.9969483685
USD,1000.0,2018-08-19T00:00:00Z,AFN,72720.0544839806
USD,1000.0,2018-08-19T00:00:00Z,AWG,1790.0
USD,1000.0,2018-08-19T00:00:00Z,NPR,112306.9127426872
USD,1000.0,2018-08-19T00:00:00Z,MNT,2452500.00000016
USD,1000.0,2018-08-19T00:00:00Z,GBP,784.3839564102
USD,1000.0,2018-08-19T00:00:00Z,BYN,2045.0000764588
USD,1000.0,2018-08-19T00:00:00Z,HUF,282034.08042399
USD,1000.0,2018-08-19T00:00:00Z,BYN,2045.0000764588
USD,1000.0,2018-08-19T00:00:00Z,BIF,1760979.98046895
USD,1000.0,2018-08-19T00:00:00Z,XDR,720.4558913415
USD,1000.0,2018-08-19T00:00:00Z,BZD,2015.3000353353
USD,1000.0,2018-08-19T00:00:00Z,MOP,8084.6845276794
USD,1000.0,2018-08-19T00:00:00Z,NAD,14643.2451937053
USD,1000.0,2018-08-19T00:00:00Z,EUR,873.5294839613
USD,1000.0,2018-08-19T00:00:00Z,TMT,3500.00000016
USD,1000.0,2018-08-19T00:00:00Z,PEN,3309.4999788438
USD,1000.0,2018-08-19T00:00:00Z,WST,2653.2223185682
USD,1000.0,2018-08-19T00:00:00Z,TMT,3500.00000016
USD,1000.0,2018-08-19T00:00:00Z,EUR,873.5294839613
USD,1000.0,2018-08-19T00:00:00Z,EUR,873.5294839613
USD,1000.0,2018-08-19T00:00:00Z,GTQ,7482.9998017671
USD,1000.0,2018-08-19T00:00:00Z,CLP,667699.9511717351
USD,1000.0,2018-08-19T00:00:00Z,EUR,873.5294839613
USD,1000.0,2018-08-19T00:00:00Z,TND,2756.0919530778
USD,1000.0,2018-08-19T00:00:00Z,SLL,8799999.99999984
USD,1000.0,2018-08-19T00:00:00Z,DOP,49809.9975584388
USD,1000.0,2018-08-19T00:00:00Z,KMF,429748.3347831067
USD,1000.0,2018-08-19T00:00:00Z,GEL,2577.8999327323
USD,1000.0,2018-08-19T00:00:00Z,MAD,9526.7310682873
USD,1000.0,2018-08-19T00:00:00Z,AZN,1700.0000475367
USD,1000.0,2018-08-19T00:00:00Z,TOP,2354.0021495905
USD,1000.0,2018-08-19T00:00:00Z,AZN,1700.0000475367
USD,1000.0,2018-08-19T00:00:00Z,PGK,3316.9505827737
USD,1000.0,2018-08-19T00:00:00Z,CNH,6836.8000917638
USD,1000.0,2018-08-19T00:00:00Z,UAH,27854.9995420473
USD,1000.0,2018-08-19T00:00:00Z,ERN,15000.0
USD,1000.0,2018-08-19T00:00:00Z,MRO,357499.9999998401
USD,1000.0,2018-08-19T00:00:00Z,CNY,6874.425621131
USD,1000.0,2018-08-19T00:00:00Z,MRU,35749.999999984
USD,1000.0,2018-08-19T00:00:00Z,BMD,1000.0
USD,1000.0,2018-08-19T00:00:00Z,PHP,53304.9963305552
USD,1000.0,2018-08-19T00:00:00Z,PYG,5766999.99999984
USD,1000.0,2018-08-19T00:00:00Z,JMD,135420.0134275469
USD,1000.0,2018-08-19T00:00:00Z,EUR,873.5294839613
USD,1000.0,2018-08-19T00:00:00Z,COP,3031084.70629032
USD,1000.0,2018-08-19T00:00:00Z,USD,1000.0
USD,1000.0,2018-08-19T00:00:00Z,GGP,784.3839564102
USD,1000.0,2018-08-19T00:00:00Z,ETB,27694.9996949648
USD,1000.0,2018-08-19T00:00:00Z,VEF,9987.5
USD,1000.0,2018-08-19T00:00:00Z,SOS,578494.4967804
