Terms,http://www.xe.com/legal/dfs.php,Privacy,http://www.xe.com/privacy.php
from,amount,timestamp,quotecurrency,mid
USD,10000.0,2018-08-20T00:00:00Z,FJD,21256.834285
USD,10000.0,2018-08-20T00:00:00Z,MXN,188928.8618520101
USD,10000.0,2018-08-20T00:00:00Z,STD,2.128568238260844E8
USD,10000.0,2018-08-20T00:00:00Z,EUR,8743.1129851872
USD,10000.0,2018-08-20T00:00:00Z,SCR,136502.500886
USD,10000.0,2018-08-20T00:00:00Z,TVD,13683.6069724204
USD,10000.0,2018-08-20T00:00:00Z,CDF,1.6100987411578001E7
USD,10000.0,2018-08-20T00:00:00Z,BBD,20000.0
USD,10000.0,2018-08-20T00:00:00Z,HNL,240062.4576532473
USD,10000.0,2018-08-20T00:00:00Z,UGX,3.7486857522303E7
USD,10000.0,2018-08-20T00:00:00Z,ZAR,147573.5306958089
USD,10000.0,2018-08-20T00:00:00Z,STN,212856.8238260844
USD,10000.0,2018-08-20T00:00:00Z,CUC,10000.0
USD,10000.0,2018-08-20T00:00:00Z,BSD,10000.0
USD,10000.0,2018-08-20T00:00:00Z,SDG,180045.130698
USD,10000.0,2018-08-20T00:00:00Z,SDG,180045.130698
USD,10000.0,2018-08-20T00:00:00Z,IQD,1.1911706156530999E7
USD,10000.0,2018-08-20T00:00:00Z,CUP,265000.0
USD,10000.0,2018-08-20T00:00:00Z,GMD,481703.178645
USD,10000.0,2018-08-20T00:00:00Z,TWD,307183.456018
USD,10000.0,2018-08-20T00:00:00Z,RSD,1032642.822576
USD,10000.0,2018-08-20T00:00:00Z,MYR,41031.3409436207
USD,10000.0,2018-08-20T00:00:00Z,FKP,7845.1432332607
USD,10000.0,2018-08-20T00:00:00Z,XOF,5735106.164424466
USD,10000.0,2018-08-20T00:00:00Z,UYU,315518.136986
USD,10000.0,2018-08-20T00:00:00Z,CVE,964103.0688765969
USD,10000.0,2018-08-20T00:00:00Z,OMR,3845.0
USD,10000.0,2018-08-20T00:00:00Z,KES,1008243.906039
USD,10000.0,2018-08-20T00:00:00Z,SEK,91560.2409084957
USD,10000.0,2018-08-20T00:00:00Z,BTN,697959.9003119926
USD,10000.0,2018-08-20T00:00:00Z,GNF,8.97545977010808E7
USD,10000.0,2018-08-20T00:00:00Z,MZN,592398.0922730422
USD,10000.0,2018-08-20T00:00:00Z,MZN,592398.0922730422
USD,10000.0,2018-08-20T00:00:00Z,SVC,87500.0
USD,10000.0,2018-08-20T00:00:00Z,ARS,298423.302121
USD,10000.0,2018-08-20T00:00:00Z,QAR,36400.0
USD,10000.0,2018-08-20T00:00:00Z,IRR,4.18580540584883E8
USD,10000.0,2018-08-20T00:00:00Z,EUR,8743.1129851872
