0,1,2,3,4,5,6,7,8,9
Debit/Credit Card in AFN,"1,044,826.00 ؋",Afghanistan,Bath Spa,GBP,AFN,1044826,"9,91,282.03",0.05401487,0
International Bank Transfer in British Pounds (GBP),"£10,000.00",Afghanistan,Bath Spa,GBP,GBP,10000,10000,0,0
International Bank Transfer in US Dollars (USD),"$13,364.00",Afghanistan,Bath Spa,GBP,USD,13364,"13,128.86",0.017910161,0
International Bank Transfer in British Pounds (GBP),"£10,000.00",Albania,Bath Spa,GBP,GBP,10000,10000,0,0
International Bank Transfer in US Dollars (USD),"$13,365.00",Albania,Bath Spa,GBP,USD,13365,"13,128.86",0.017986329,0
Debit/Credit Card in DZD,"1,632,500.00 د.ج",Algeria,Bath Spa,GBP,DZD,1632500,"15,48,471.98",0.054265121,0
VISA: Debit/Credit in EUR,"11.643,00 €",Algeria,Bath Spa,GBP,EUR,11643,"11,210.54",0.038576197,0
MasterCard: Debit/Credit in EUR,"11.643,00 €",Algeria,Bath Spa,GBP,EUR,11643,"11,210.54",0.038576197,0
International Bank Transfer in US Dollars (USD),"$13,369.00",Algeria,Bath Spa,GBP,USD,13369,"13,128.86",0.018291002,0
International Bank Transfer in Euros (EUR),"11.532,00 €",Algeria,Bath Spa,GBP,EUR,11532,"11,210.54",0.028674801,0
International Bank Transfer in British Pounds (GBP),"£10,000.00",Algeria,Bath Spa,GBP,GBP,10000,10000,0,0
VISA: Debit/Credit in EUR,"11.639,00 €",Angola,Bath Spa,GBP,EUR,11639,"11,210.54",0.03821939,0
MasterCard: Debit/Credit in EUR,"11.639,00 €",Angola,Bath Spa,GBP,EUR,11639,"11,210.54",0.03821939,0
International Bank Transfer in US Dollars (USD),"$13,369.00",Angola,Bath Spa,GBP,USD,13369,"13,128.86",0.018291002,0
International Bank Transfer in South African Rand (ZAR),"R191,434.00",Angola,Bath Spa,GBP,ZAR,191434,"1,85,886.46",0.029843701,0
International Bank Transfer in Euros (EUR),"11.528,00 €",Angola,Bath Spa,GBP,EUR,11528,"11,210.54",0.028317994,0
International Bank Transfer in British Pounds (GBP),"£10,000.00",Angola,Bath Spa,GBP,GBP,10000,10000,0,0
VISA: Debit/Credit in USD,"$13,768.00",Angola,Bath Spa,GBP,USD,13768,"13,128.86",0.048682064,0
MasterCard: Debit/Credit in USD,"$13,768.00",Angola,Bath Spa,GBP,USD,13768,"13,128.86",0.048682064,0
American Express in USD,"$13,506.00",Angola,Bath Spa,GBP,USD,13506,"13,128.86",0.028726028,0
VISA: Debit/Credit in ARS,"$532.927,00",Argentina,Bath Spa,GBP,ARS,532927,"5,05,979.16",0.053258794,0
MasterCard: Debit/Credit in ARS,"$532.927,00",Argentina,Bath Spa,GBP,ARS,532927,"5,05,979.16",0.053258794,0
International Bank Transfer in British Pounds (GBP),"£10,000.00",Argentina,Bath Spa,GBP,GBP,10000,10000,0,0
International Bank Transfer in US Dollars (USD),"$13,369.00",Argentina,Bath Spa,GBP,USD,13369,"13,128.86",0.018291002,0
VISA: Debit/Credit in USD,"$13,769.00",Argentina,Bath Spa,GBP,USD,13769,"13,128.86",0.048758232,0
MasterCard: Debit/Credit in USD,"$13,769.00",Argentina,Bath Spa,GBP,USD,13769,"13,128.86",0.048758232,0
Domestic Bank Transfer in AUD (EFT),"A$18,657.00",Australia,Bath Spa,GBP,AUD,18657,"18,175.51",0.026491141,0
American Express in AUD,"A$18,694.00",Australia,Bath Spa,GBP,AUD,18694,"18,175.51",0.028526847,0
VISA: Debit/Credit in AUD,"A$19,046.00",Australia,Bath Spa,GBP,AUD,19046,"18,175.51",0.047893567,0
MasterCard: Debit/Credit in AUD,"A$19,046.00",Australia,Bath Spa,GBP,AUD,19046,"18,175.51",0.047893567,0
International Bank Transfer in British Pounds (GBP),"£10,023.00",Australia,Bath Spa,GBP,GBP,10023,10000,0,23
Domestic Bank Transfer in New Zealand Dollar (NZD),"$20,164.00",Australia,Bath Spa,GBP,NZD,20164,"19,784.58",0.019177562,0
International Bank Transfer in US Dollars (USD),"$13,365.00",Australia,Bath Spa,GBP,USD,13365,"13,128.86",0.017986329,0
Domestic Bank Transfer in Euros (EUR),"11.531,00 €",Austria,Bath Spa,GBP,EUR,11531,"11,210.54",0.028585599,0
VISA: Debit/Credit in EUR,"11.642,00 €",Austria,Bath Spa,GBP,EUR,11642,"11,210.54",0.038486995,0
