0,1,2,3,4,5,6,7,8,9,,
Debit/Credit Card in AFN,"1,043,438.00 ؋",Afghanistan,Durham University,GBP,AFN,1043438,"9,90,213.01",0.053751051,0,,
International Bank Transfer in British Pounds (GBP),"£10,000.00",Afghanistan,Durham University,GBP,GBP,10000,10000,0,0,,23
International Bank Transfer in US Dollars (USD),"$13,345.00",Afghanistan,Durham University,GBP,USD,13345,"13,111.45",0.017812675,0,,
International Bank Transfer in British Pounds (GBP),"£10,000.00",Albania,Durham University,GBP,GBP,10000,10000,0,0,,
International Bank Transfer in US Dollars (USD),"$13,346.00",Albania,Durham University,GBP,USD,13346,"13,111.45",0.017888944,0,,
Debit/Credit Card in DZD,"1,628,600.00 د.ج",Algeria,Durham University,GBP,DZD,1628600,"15,45,270.06",0.05392581,0,,
VISA: Debit/Credit in EUR,"11.632,00 €",Algeria,Durham University,GBP,EUR,11632,"11,202.47",0.038342437,0,,
MasterCard: Debit/Credit in EUR,"11.632,00 €",Algeria,Durham University,GBP,EUR,11632,"11,202.47",0.038342437,0,,
International Bank Transfer in US Dollars (USD),"$13,347.00",Algeria,Durham University,GBP,USD,13347,"13,111.45",0.017965214,0,,
International Bank Transfer in Euros (EUR),"11.521,00 €",Algeria,Durham University,GBP,EUR,11521,"11,202.47",0.028433908,0,,
International Bank Transfer in British Pounds (GBP),"£10,000.00",Algeria,Durham University,GBP,GBP,10000,10000,0,0,,
VISA: Debit/Credit in EUR,"11.633,00 €",Angola,Durham University,GBP,EUR,11633,"11,202.47",0.038431703,0,,
MasterCard: Debit/Credit in EUR,"11.633,00 €",Angola,Durham University,GBP,EUR,11633,"11,202.47",0.038431703,0,,
International Bank Transfer in US Dollars (USD),"$13,349.00",Angola,Durham University,GBP,USD,13349,"13,111.45",0.018117752,0,,
International Bank Transfer in South African Rand (ZAR),"R191,445.00",Angola,Durham University,GBP,ZAR,191445,"1,85,901.58",0.029819112,0,,
