0,1,2,3,4,5,6,7,8,9
Debit/Credit Card in AFN,"799,333.00 ?",Afghanistan,yyy,USD,AFN,799333.0,"758,566.76",0.05374113677219391,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Afghanistan,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in Euros (EUR),"8.754,00 €",Albania,yyy,USD,EUR,8754.0,"8,515.37",0.028023444665352084,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Albania,yyy,USD,USD,10000.0,10000,0.0,0.0
Debit/Credit Card in DZD,"1,245,100.00 ?.?",Algeria,yyy,USD,DZD,1245100.0,"1,181,511.39",0.053819718149310525,0.0
International Bank Transfer in Euros (EUR),"8.757,00 €",Algeria,yyy,USD,EUR,8757.0,"8,515.37",0.02837574879306468,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Algeria,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Angola,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in South African Rand (ZAR),"R147,703.00",Angola,yyy,USD,ZAR,147703.0,"143,295.12",0.030760852149047398,0.0
International Bank Transfer in British Pounds (GBP),"£7,870.00",Angola,yyy,USD,GBP,7870.0,"7,650.77",0.028654632148136665,0.0
International Bank Transfer in Euros (EUR),"8.757,00 €",Angola,yyy,USD,EUR,8757.0,"8,515.37",0.02837574879306468,0.0
VISA: Debit/Credit in ARS,"$391.874,00",Argentina,yyy,USD,ARS,391874.0,"371,887.61",0.0537430918981141,0.0
MasterCard: Debit/Credit in ARS,"$391.874,00",Argentina,yyy,USD,ARS,391874.0,"371,887.61",0.0537430918981141,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Argentina,yyy,USD,USD,10000.0,10000,0.0,0.0
Domestic Bank Transfer in AUD (EFT),"A$14,122.00",Australia,yyy,USD,AUD,14122.0,"13,724.80",0.028940312427139247,0.0
American Express in AUD,"A$14,122.00",Australia,yyy,USD,AUD,14122.0,"13,724.80",0.028940312427139247,0.0
MasterCard: Debit/Credit in AUD,"A$14,388.00",Australia,yyy,USD,AUD,14388.0,"13,724.80",0.04832128701328987,0.0
VISA: Debit/Credit in AUD,"A$14,388.00",Australia,yyy,USD,AUD,14388.0,"13,724.80",0.04832128701328987,0.0
Domestic Bank Transfer in New Zealand Dollar (NZD),"$15,257.00",Australia,yyy,USD,NZD,15257.0,"14,962.25",0.019699577269461477,0.0
International Bank Transfer in US Dollars (USD),"$10,030.00",Australia,yyy,USD,USD,10030.0,10000,0.0,30.0
Domestic Bank Transfer in Euros (EUR),"8.681,00 €",Austria,yyy,USD,EUR,8681.0,"8,515.37",0.019450710891012274,0.0
MasterCard: Debit/Credit in EUR,"8.839,00 €",Austria,yyy,USD,EUR,8839.0,"8,515.37",0.038005394950542275,0.0
VISA: Debit/Credit in EUR,"8.839,00 €",Austria,yyy,USD,EUR,8839.0,"8,515.37",0.038005394950542275,0.0
American Express in EUR,"8.839,00 €",Austria,yyy,USD,EUR,8839.0,"8,515.37",0.038005394950542275,0.0
PayPal in EUR,"8.925,00 €",Austria,yyy,USD,EUR,8925.0,"8,515.37",0.04810477994497,0.0
Online Bank Transfer,"8.755,00 €",Austria,yyy,USD,EUR,8755.0,"8,515.37",0.028140879374589617,0.0
International Bank Transfer in US Dollars (USD),"$10,030.00",Austria,yyy,USD,USD,10030.0,10000,0.0,30.0
MasterCard: Debit/Credit in AZN,"???17,914.00",Azerbaijan,yyy,USD,AZN,17914.0,"17,000.00",0.053764705882352944,0.0
VISA: Debit/Credit in AZN,"???17,914.00",Azerbaijan,yyy,USD,AZN,17914.0,"17,000.00",0.053764705882352944,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Azerbaijan,yyy,USD,USD,10000.0,10000,0.0,0.0
VISA: Debit/Credit in BSD,"$10,538.00",Bahamas,yyy,USD,BSD,10538.0,"10,000.00",0.0538,0.0
MasterCard: Debit/Credit in BSD,"$10,538.00",Bahamas,yyy,USD,BSD,10538.0,"10,000.00",0.0538,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Bahamas,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in Canadian Dollars (CAD),"$13,248.00",Bahamas,yyy,USD,CAD,13248.0,"12,921.18",0.02529335556040545,0.0
MasterCard: Debit/Credit in BHD,"?.?3,963.000",Bahrain,yyy,USD,BHD,3963.0,"3,760.00",0.05398936170212766,0.0
Visa: Debit/Credit in BHD,"?.?3,963.000",Bahrain,yyy,USD,BHD,3963.0,"3,760.00",0.05398936170212766,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Bahrain,yyy,USD,USD,10000.0,10000,0.0,0.0
MasterCard: Debit/Credit in BDT,"?882,990.00",Bangladesh,yyy,USD,BDT,882990.0,"837,955.43",0.05374339539753319,0.0
VISA: Debit/Credit in BDT,"?882,990.00",Bangladesh,yyy,USD,BDT,882990.0,"837,955.43",0.05374339539753319,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Bangladesh,yyy,USD,USD,10000.0,10000,0.0,0.0
MasterCard: Debit/Credit in BBD,"21,075.00 $",Barbados,yyy,USD,BBD,21075.0,"20,000.00",0.05375,0.0
VISA: Debit/Credit in BBD,"21,075.00 $",Barbados,yyy,USD,BBD,21075.0,"20,000.00",0.05375,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Barbados,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in Canadian Dollars (CAD),"$13,253.00",Barbados,yyy,USD,CAD,13253.0,"12,918.65",0.02588118727576027,0.0
