0,1,2,3,4,5,6,7,8,9
Debit/Credit Card in AFN,"799,333.00 ?",Afghanistan,yyy,USD,AFN,799333,"7,58,566.97",0.053740845,0
International Bank Transfer in US Dollars (USD),"$10,000.00",Afghanistan,yyy,USD,USD,10000,10000,0,0
International Bank Transfer in Euros (EUR),"8.756,00 €",Albania,yyy,USD,EUR,8756,"8,513.32",0.028505918,0
International Bank Transfer in US Dollars (USD),"$10,000.00",Albania,yyy,USD,USD,10000,10000,0,0
Debit/Credit Card in DZD,"1,243,100.00 ?.?",Algeria,yyy,USD,DZD,1243100,"11,79,645.67",0.053791008,0
International Bank Transfer in US Dollars (USD),"$10,000.00",Algeria,yyy,USD,USD,10000,10000,0,0
International Bank Transfer in Euros (EUR),"8.755,00 €",Algeria,yyy,USD,EUR,8755,"8,513.32",0.028388455,0
International Bank Transfer in US Dollars (USD),"$10,000.00",Angola,yyy,USD,USD,10000,10000,0,0
International Bank Transfer in South African Rand (ZAR),"R147,554.00",Angola,yyy,USD,ZAR,147554,"1,43,274.22",0.02987125,0
International Bank Transfer in British Pounds (GBP),"£7,867.00",Angola,yyy,USD,GBP,7867,"7,650.35",0.028318966,0
International Bank Transfer in Euros (EUR),"8.755,00 €",Angola,yyy,USD,EUR,8755,"8,513.32",0.028388455,0
VISA: Debit/Credit in ARS,"$391.853,00",Argentina,yyy,USD,ARS,391853,"3,71,819.86",0.053878617,0
MasterCard: Debit/Credit in ARS,"$391.853,00",Argentina,yyy,USD,ARS,391853,"3,71,819.86",0.053878617,0
International Bank Transfer in US Dollars (USD),"$10,000.00",Argentina,yyy,USD,USD,10000,10000,0,0
Domestic Bank Transfer in AUD (EFT),"A$14,121.00",Australia,yyy,USD,AUD,14121,"13,728.58",0.028584165,0
American Express in AUD,"A$14,121.00",Australia,yyy,USD,AUD,14121,"13,728.58",0.028584165,0
VISA: Debit/Credit in AUD,"A$14,388.00",Australia,yyy,USD,AUD,14388,"13,728.58",0.048032644,0
MasterCard: Debit/Credit in AUD,"A$14,388.00",Australia,yyy,USD,AUD,14388,"13,728.58",0.048032644,0
Domestic Bank Transfer in New Zealand Dollar (NZD),"$15,257.00",Australia,yyy,USD,NZD,15257,"14,961.47",0.019752738,0
International Bank Transfer in US Dollars (USD),"$10,030.00",Australia,yyy,USD,USD,10030,10000,0,30
Domestic Bank Transfer in AUD (EFT),"A$14,125.00",Austria,yyy,USD,AUD,14125,"13,726.05",0.029065172,0
American Express in AUD,"A$14,125.00",Austria,yyy,USD,AUD,14125,"13,726.05",0.029065172,0
VISA: Debit/Credit in AUD,"A$14,391.00",Austria,yyy,USD,AUD,14391,"13,726.05",0.048444381,0
MasterCard: Debit/Credit in AUD,"A$14,391.00",Austria,yyy,USD,AUD,14391,"13,726.05",0.048444381,0
Domestic Bank Transfer in New Zealand Dollar (NZD),"$15,256.00",Austria,yyy,USD,NZD,15256,"14,962.16",0.019638876,0
International Bank Transfer in US Dollars (USD),"$10,030.00",Austria,yyy,USD,USD,10030,10000,0,30
MasterCard: Debit/Credit in AZN,"???17,914.00",Azerbaijan,yyy,USD,AZN,17914,"17,000.00",0.053764706,0
VISA: Debit/Credit in AZN,"???17,914.00",Azerbaijan,yyy,USD,AZN,17914,"17,000.00",0.053764706,0
International Bank Transfer in US Dollars (USD),"$10,000.00",Azerbaijan,yyy,USD,USD,10000,10000,0,0
MasterCard: Debit/Credit in BSD,"$10,538.00",Bahamas,yyy,USD,BSD,10538,"10,000.00",0.0538,0
VISA: Debit/Credit in BSD,"$10,538.00",Bahamas,yyy,USD,BSD,10538,"10,000.00",0.0538,0
International Bank Transfer in US Dollars (USD),"$10,000.00",Bahamas,yyy,USD,USD,10000,10000,0,0
