0,1,2,3,4,5,6,7,8,9
Debit/Credit Card in AFN,"797,090.00 ?",Afghanistan,xxx,USD,AFN,797090.0,"757,004.39",0.05295294258465263,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Afghanistan,xxx,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in Euros (EUR),"8.749,00 €",Albania,xxx,USD,EUR,8749.0,"8,505.51",0.02862732511042839,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Albania,xxx,USD,USD,10000.0,"8,505.51",0.0,-840551.0
Debit/Credit Card in DZD,"1,242,300.00 ?.?",Algeria,xxx,USD,DZD,1242300.0,"1,178,692.38",0.05396456368030488,0.0
VISA: Debit/Credit in EUR,"8.833,00 €",Algeria,xxx,USD,EUR,8833.0,"8,505.51",0.038503276111602924,0.0
MasterCard: Debit/Credit in EUR,"8.833,00 €",Algeria,xxx,USD,EUR,8833.0,"8,505.51",0.038503276111602924,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Algeria,xxx,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in Euros (EUR),"8.749,00 €",Algeria,xxx,USD,EUR,8749.0,"8,505.51",0.02862732511042839,0.0
Debit/Credit Card in AOA,"3,034,200.00 Kz",Angola,xxx,USD,AOA,3034200.0,"2,879,450.66",0.05374266076154951,0.0
VISA: Debit/Credit in EUR,"8.835,00 €",Angola,xxx,USD,EUR,8835.0,"8,505.51",0.03873841780210708,0.0
MasterCard: Debit/Credit in EUR,"8.835,00 €",Angola,xxx,USD,EUR,8835.0,"8,505.51",0.03873841780210708,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Angola,xxx,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in South African Rand (ZAR),"R148,657.00",Angola,xxx,USD,ZAR,148657.0,"144,344.19",0.029878653238485025,0.0
International Bank Transfer in British Pounds (GBP),"£7,763.00",Angola,xxx,USD,GBP,7763.0,"7,548.04",0.028478916380941282,0.0
International Bank Transfer in Euros (EUR),"8.750,00 €",Angola,xxx,USD,EUR,8750.0,"8,505.51",0.028744895955680468,0.0
VISA: Debit/Credit in ARS,"$403.302,00",Argentina,xxx,USD,ARS,403302.0,"382,428.28",0.05458205130645665,0.0
