0,1,2,3,4,5,6,7,8,9
Debit/Credit Card in AFN,"798,115.00 ?",Afghanistan,xxx,USD,AFN,798115.0,"757,537.09",0.05356557525123956,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Afghanistan,xxx,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in Euros (EUR),"8.760,00 €",Albania,xxx,USD,EUR,8760.0,"8,522.62",0.027852937242303328,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Albania,xxx,USD,USD,10000.0,"8,522.62",0.0,-842262.0
Debit/Credit Card in DZD,"1,244,100.00 ?.?",Algeria,xxx,USD,DZD,1244100.0,"1,180,294.37",0.05405908188819022,0.0
International Bank Transfer in Euros (EUR),"8.760,00 €",Algeria,xxx,USD,EUR,8760.0,"8,522.62",0.027852937242303328,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Algeria,xxx,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Angola,xxx,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in South African Rand (ZAR),"R148,897.00",Angola,xxx,USD,ZAR,148897.0,"144,537.45",0.03016207910129858,0.0
International Bank Transfer in British Pounds (GBP),"£7,755.00",Angola,xxx,USD,GBP,7755.0,"7,543.63",0.028019666924279145,0.0
International Bank Transfer in Euros (EUR),"8.759,00 €",Angola,xxx,USD,EUR,8759.0,"8,522.62",0.027735602432115848,0.0
VISA: Debit/Credit in ARS,"$414.112,00",Argentina,xxx,USD,ARS,414112.0,"392,983.76",0.05376364661990101,0.0
MasterCard: Debit/Credit in ARS,"$414.112,00",Argentina,xxx,USD,ARS,414112.0,"392,983.76",0.05376364661990101,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Argentina,xxx,USD,USD,10000.0,10000,0.0,0.0
Domestic Bank Transfer in AUD (EFT),"A$14,138.00",Australia,xxx,USD,AUD,14138.0,"13,743.82",0.02868052695684317,0.0
MasterCard: Debit/Credit in AUD,"A$14,405.00",Australia,xxx,USD,AUD,14405.0,"13,743.82",0.048107440289526515,0.0
