0,1,2,3,4,5,6,7,8,9
International Bank Transfer in US Dollars (USD),"$10,000.00",Afghanistan,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in Euros (EUR),"8.763,00 €",Albania,yyy,USD,EUR,8763.0,"8,521.71",0.02831473964732441,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Albania,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in Euros (EUR),"8.763,00 €",Algeria,yyy,USD,EUR,8763.0,"8,521.71",0.02831473964732441,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Algeria,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Angola,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in South African Rand (ZAR),"R147,833.00",Angola,yyy,USD,ZAR,147833.0,"143,545.39",0.02986936745234372,0.0
International Bank Transfer in British Pounds (GBP),"£7,874.00",Angola,yyy,USD,GBP,7874.0,"7,657.00",0.02834008097165992,0.0
International Bank Transfer in Euros (EUR),"8.763,00 €",Angola,yyy,USD,EUR,8763.0,"8,521.71",0.02831473964732441,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Argentina,yyy,USD,USD,10000.0,10000,0.0,0.0
Domestic Bank Transfer in AUD (EFT),"A$14,127.00",Australia,yyy,USD,AUD,14127.0,"13,730.69",0.028863079714129405,0.0
Domestic Bank Transfer in New Zealand Dollar (NZD),"$15,252.00",Australia,yyy,USD,NZD,15252.0,"14,956.94",0.019727297161050285,0.0
International Bank Transfer in US Dollars (USD),"$10,030.00",Australia,yyy,USD,USD,10030.0,10000,0.0,30.0
Domestic Bank Transfer in Euros (EUR),"8.689,00 €",Austria,yyy,USD,EUR,8689.0,"8,521.71",0.019631036493849344,0.0
PayPal in EUR,"8.933,00 €",Austria,yyy,USD,EUR,8933.0,"8,521.71",0.0482637874323347,0.0
Online Bank Transfer,"8.763,00 €",Austria,yyy,USD,EUR,8763.0,"8,521.71",0.02831473964732441,0.0
