0,1,2,3,4,5,6,7,8,9
Debit/Credit Card in AFN,"797,921.00 ?",Afghanistan,yyy,USD,AFN,797921.0,"757,476.26",0.05339406940621478,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Afghanistan,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in Euros (EUR),"8.728,00 €",Albania,yyy,USD,EUR,8728.0,"8,485.58",0.028568465561576235,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Albania,yyy,USD,USD,10000.0,"8,485.58",0.0,-838558.0
Debit/Credit Card in DZD,"1,241,400.00 ?.?",Algeria,yyy,USD,DZD,1241400.0,"1,177,661.73",0.05412273183064208,0.0
VISA: Debit/Credit in EUR,"8.815,00 €",Algeria,yyy,USD,EUR,8815.0,"8,485.58",0.038821153062018166,0.0
MasterCard: Debit/Credit in EUR,"8.815,00 €",Algeria,yyy,USD,EUR,8815.0,"8,485.58",0.038821153062018166,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Algeria,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in Euros (EUR),"8.731,00 €",Algeria,yyy,USD,EUR,8731.0,"8,485.58",0.028922006509867336,0.0
Debit/Credit Card in AOA,"3,046,900.00 Kz",Angola,yyy,USD,AOA,3046900.0,"2,891,482.41",0.053750141955731225,0.0
VISA: Debit/Credit in EUR,"8.814,00 €",Angola,yyy,USD,EUR,8814.0,"8,485.58",0.038703306079254464,0.0
MasterCard: Debit/Credit in EUR,"8.814,00 €",Angola,yyy,USD,EUR,8814.0,"8,485.58",0.038703306079254464,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Angola,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in South African Rand (ZAR),"R147,036.00",Angola,yyy,USD,ZAR,147036.0,"142,799.85",0.02966494712704526,0.0
International Bank Transfer in British Pounds (GBP),"£7,756.00",Angola,yyy,USD,GBP,7756.0,"7,538.91",0.028795939996630833,0.0
International Bank Transfer in Euros (EUR),"8.730,00 €",Angola,yyy,USD,EUR,8730.0,"8,485.58",0.028804159527103638,0.0
VISA: Debit/Credit in ARS,"$402.605,00",Argentina,yyy,USD,ARS,402605.0,"381,998.87",0.05394290826043544,0.0
MasterCard: Debit/Credit in ARS,"$402.605,00",Argentina,yyy,USD,ARS,402605.0,"381,998.87",0.05394290826043544,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Argentina,yyy,USD,USD,10000.0,10000,0.0,0.0
Domestic Bank Transfer in AUD (EFT),"A$14,114.00",Australia,yyy,USD,AUD,14114.0,"13,711.76",0.02933540260331276,0.0
American Express in AUD,"A$14,114.00",Australia,yyy,USD,AUD,14114.0,"13,711.76",0.02933540260331276,0.0
VISA: Debit/Credit in AUD,"A$14,380.00",Australia,yyy,USD,AUD,14380.0,"13,711.76",0.04873480866059498,0.0
MasterCard: Debit/Credit in AUD,"A$14,380.00",Australia,yyy,USD,AUD,14380.0,"13,711.76",0.04873480866059498,0.0
Domestic Bank Transfer in New Zealand Dollar (NZD),"$15,245.00",Australia,yyy,USD,NZD,15245.0,"14,947.15",0.01992687569202158,0.0
International Bank Transfer in US Dollars (USD),"$10,030.00",Australia,yyy,USD,USD,10030.0,10000,0.0,30.0
Domestic Bank Transfer in Euros (EUR),"8.731,00 €",Austria,yyy,USD,EUR,8731.0,"8,485.58",0.028922006509867336,0.0
VISA: Debit/Credit in EUR,"8.815,00 €",Austria,yyy,USD,EUR,8815.0,"8,485.58",0.038821153062018166,0.0
MasterCard: Debit/Credit in EUR,"8.815,00 €",Austria,yyy,USD,EUR,8815.0,"8,485.58",0.038821153062018166,0.0
American Express in EUR,"8.815,00 €",Austria,yyy,USD,EUR,8815.0,"8,485.58",0.038821153062018166,0.0
PayPal in EUR,"8.900,00 €",Austria,yyy,USD,EUR,8900.0,"8,485.58",0.04883814659693269,0.0
Online Bank Transfer,"8.731,00 €",Austria,yyy,USD,EUR,8731.0,"8,485.58",0.028922006509867336,0.0
International Bank Transfer in US Dollars (USD),"$10,030.00",Austria,yyy,USD,USD,10030.0,10000,0.0,30.0
MasterCard: Debit/Credit in AZN,"???17,889.00",Azerbaijan,yyy,USD,AZN,17889.0,"16,972.01",0.054029546294163254,0.0
VISA: Debit/Credit in AZN,"???17,889.00",Azerbaijan,yyy,USD,AZN,17889.0,"16,972.01",0.054029546294163254,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Azerbaijan,yyy,USD,USD,10000.0,10000,0.0,0.0
VISA: Debit/Credit in BSD,"$10,538.00",Bahamas,yyy,USD,BSD,10538.0,"10,000.00",0.0538,0.0
MasterCard: Debit/Credit in BSD,"$10,538.00",Bahamas,yyy,USD,BSD,10538.0,"10,000.00",0.0538,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Bahamas,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in Canadian Dollars (CAD),"$13,241.00",Bahamas,yyy,USD,CAD,13241.0,"12,909.15",0.025706572469914778,0.0
MasterCard: Debit/Credit in BHD,"?.?3,963.000",Bahrain,yyy,USD,BHD,3963.0,"3,760.00",0.05398936170212766,0.0
Visa: Debit/Credit in BHD,"?.?3,963.000",Bahrain,yyy,USD,BHD,3963.0,"3,760.00",0.05398936170212766,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Bahrain,yyy,USD,USD,10000.0,10000,0.0,0.0
MasterCard: Debit/Credit in BDT,"?880,600.00",Bangladesh,yyy,USD,BDT,880600.0,"835,558.72",0.05390558308098326,0.0
VISA: Debit/Credit in BDT,"?880,600.00",Bangladesh,yyy,USD,BDT,880600.0,"835,558.72",0.05390558308098326,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Bangladesh,yyy,USD,USD,10000.0,10000,0.0,0.0
MasterCard: Debit/Credit in BBD,"21,075.00 $",Barbados,yyy,USD,BBD,21075.0,"20,000.00",0.05375,0.0
VISA: Debit/Credit in BBD,"21,075.00 $",Barbados,yyy,USD,BBD,21075.0,"20,000.00",0.05375,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Barbados,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in Canadian Dollars (CAD),"$13,242.00",Barbados,yyy,USD,CAD,13242.0,"12,909.96",0.025719676900625633,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Belarus,yyy,USD,USD,10000.0,10000,0.0,0.0
MasterCard: Debit/Credit in EUR,"8.898,00 €",Belarus,yyy,USD,EUR,8898.0,"8,485.58",0.04860245263140529,0.0
VISA: Debit/Credit in EUR,"8.898,00 €",Belarus,yyy,USD,EUR,8898.0,"8,485.58",0.04860245263140529,0.0
Domestic Bank Transfer in Euros (EUR),"8.729,00 €",Belgium,yyy,USD,EUR,8729.0,"8,485.58",0.028686312544339936,0.0
VISA: Debit/Credit in EUR,"8.813,00 €",Belgium,yyy,USD,EUR,8813.0,"8,485.58",0.03858545909649076,0.0
MasterCard: Debit/Credit in EUR,"8.813,00 €",Belgium,yyy,USD,EUR,8813.0,"8,485.58",0.03858545909649076,0.0
American Express in EUR,"8.813,00 €",Belgium,yyy,USD,EUR,8813.0,"8,485.58",0.03858545909649076,0.0
PayPal in EUR,"8.898,00 €",Belgium,yyy,USD,EUR,8898.0,"8,485.58",0.04860245263140529,0.0
Online Bank Transfer,"8.729,00 €",Belgium,yyy,USD,EUR,8729.0,"8,485.58",0.028686312544339936,0.0
