0,1,2,3,4,5,6,7,8,9
Debit/Credit Card in AFN,"799,333.00 ?",Afghanistan,yyy,USD,AFN,799333.0,"758,567.00",0.05374080338322126,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Afghanistan,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in Euros (EUR),"8.760,00 €",Albania,yyy,USD,EUR,8760.0,"8,518.57",0.028341611326783755,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Albania,yyy,USD,USD,10000.0,10000,0.0,0.0
Debit/Credit Card in DZD,"1,248,700.00 ?.?",Algeria,yyy,USD,DZD,1248700.0,"1,184,961.61",0.05378941348150502,0.0
International Bank Transfer in Euros (EUR),"8.760,00 €",Algeria,yyy,USD,EUR,8760.0,"8,518.57",0.028341611326783755,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Algeria,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Angola,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in South African Rand (ZAR),"R147,745.00",Angola,yyy,USD,ZAR,147745.0,"143,460.02",0.029868809442519323,0.0
International Bank Transfer in British Pounds (GBP),"£7,872.00",Angola,yyy,USD,GBP,7872.0,"7,655.22",0.028317932077719484,0.0
International Bank Transfer in Euros (EUR),"8.760,00 €",Angola,yyy,USD,EUR,8760.0,"8,518.57",0.028341611326783755,0.0
VISA: Debit/Credit in ARS,"$392.208,00",Argentina,yyy,USD,ARS,392208.0,"372,205.00",0.05374188955011351,0.0
MasterCard: Debit/Credit in ARS,"$392.208,00",Argentina,yyy,USD,ARS,392208.0,"372,205.00",0.05374188955011351,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Argentina,yyy,USD,USD,10000.0,10000,0.0,0.0
Domestic Bank Transfer in AUD (EFT),"A$14,124.00",Australia,yyy,USD,AUD,14124.0,"13,730.51",0.02865807606563775,0.0
American Express in AUD,"A$14,124.00",Australia,yyy,USD,AUD,14124.0,"13,730.51",0.02865807606563775,0.0
VISA: Debit/Credit in AUD,"A$14,390.00",Australia,yyy,USD,AUD,14390.0,"13,730.51",0.04803099083719394,0.0
MasterCard: Debit/Credit in AUD,"A$14,390.00",Australia,yyy,USD,AUD,14390.0,"13,730.51",0.04803099083719394,0.0
Domestic Bank Transfer in New Zealand Dollar (NZD),"$15,251.00",Australia,yyy,USD,NZD,15251.0,"14,956.20",0.01971088912959169,0.0
International Bank Transfer in US Dollars (USD),"$10,030.00",Australia,yyy,USD,USD,10030.0,10000,0.0,30.0
Domestic Bank Transfer in Euros (EUR),"8.688,00 €",Austria,yyy,USD,EUR,8688.0,"8,518.57",0.019889488493960876,0.0
MasterCard: Debit/Credit in EUR,"8.847,00 €",Austria,yyy,USD,EUR,8847.0,"8,518.57",0.038554593083111405,0.0
VISA: Debit/Credit in EUR,"8.847,00 €",Austria,yyy,USD,EUR,8847.0,"8,518.57",0.038554593083111405,0.0
American Express in EUR,"8.847,00 €",Austria,yyy,USD,EUR,8847.0,"8,518.57",0.038554593083111405,0.0
PayPal in EUR,"8.932,00 €",Austria,yyy,USD,EUR,8932.0,"8,518.57",0.04853279364963842,0.0
Online Bank Transfer,"8.762,00 €",Austria,yyy,USD,EUR,8762.0,"8,518.57",0.028576392516584392,0.0
International Bank Transfer in US Dollars (USD),"$10,030.00",Austria,yyy,USD,USD,10030.0,10000,0.0,30.0
MasterCard: Debit/Credit in AZN,"???17,914.00",Azerbaijan,yyy,USD,AZN,17914.0,"17,000.00",0.053764705882352944,0.0
VISA: Debit/Credit in AZN,"???17,914.00",Azerbaijan,yyy,USD,AZN,17914.0,"17,000.00",0.053764705882352944,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Azerbaijan,yyy,USD,USD,10000.0,10000,0.0,0.0
MasterCard: Debit/Credit in BSD,"$10,538.00",Bahamas,yyy,USD,BSD,10538.0,"10,000.00",0.0538,0.0
