0,1,2,3,4,5,6,7,8,9
Debit/Credit Card in AFN,"798,245.00 ?",Afghanistan,yyy,USD,AFN,798245.0,"757,575.56",0.05368367480070231,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Afghanistan,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in Euros (EUR),"8.729,00 €",Albania,yyy,USD,EUR,8729.0,"8,486.57",0.028566311242351185,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Albania,yyy,USD,USD,10000.0,"8,486.57",0.0,-838657.0
Debit/Credit Card in DZD,"1,240,700.00 ?.?",Algeria,yyy,USD,DZD,1240700.0,"1,177,412.55",0.05375129558454252,0.0
VISA: Debit/Credit in EUR,"8.815,00 €",Algeria,yyy,USD,EUR,8815.0,"8,486.57",0.03869996948119209,0.0
MasterCard: Debit/Credit in EUR,"8.815,00 €",Algeria,yyy,USD,EUR,8815.0,"8,486.57",0.03869996948119209,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Algeria,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in Euros (EUR),"8.731,00 €",Algeria,yyy,USD,EUR,8731.0,"8,486.57",0.028801977713021905,0.0
Debit/Credit Card in AOA,"3,046,900.00 Kz",Angola,yyy,USD,AOA,3046900.0,"2,891,472.67",0.05375369154016596,0.0
VISA: Debit/Credit in EUR,"8.816,00 €",Angola,yyy,USD,EUR,8816.0,"8,486.57",0.03881780271652744,0.0
MasterCard: Debit/Credit in EUR,"8.816,00 €",Angola,yyy,USD,EUR,8816.0,"8,486.57",0.03881780271652744,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Angola,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in South African Rand (ZAR),"R146,577.00",Angola,yyy,USD,ZAR,146577.0,"142,253.37",0.03039386694318739,0.0
International Bank Transfer in British Pounds (GBP),"£7,792.00",Angola,yyy,USD,GBP,7792.0,"7,575.09",0.028634643284766233,0.0
International Bank Transfer in Euros (EUR),"8.732,00 €",Angola,yyy,USD,EUR,8732.0,"8,486.57",0.028919810948357265,0.0
VISA: Debit/Credit in ARS,"$402.647,00",Argentina,yyy,USD,ARS,402647.0,"382,065.94",0.05386782187388909,0.0
MasterCard: Debit/Credit in ARS,"$402.647,00",Argentina,yyy,USD,ARS,402647.0,"382,065.94",0.05386782187388909,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Argentina,yyy,USD,USD,10000.0,10000,0.0,0.0
Domestic Bank Transfer in AUD (EFT),"A$14,112.00",Australia,yyy,USD,AUD,14112.0,"13,716.00",0.028871391076115485,0.0
American Express in AUD,"A$14,112.00",Australia,yyy,USD,AUD,14112.0,"13,716.00",0.028871391076115485,0.0
VISA: Debit/Credit in AUD,"A$14,379.00",Australia,yyy,USD,AUD,14379.0,"13,716.00",0.048337707786526685,0.0
MasterCard: Debit/Credit in AUD,"A$14,379.00",Australia,yyy,USD,AUD,14379.0,"13,716.00",0.048337707786526685,0.0
Domestic Bank Transfer in New Zealand Dollar (NZD),"$15,232.00",Australia,yyy,USD,NZD,15232.0,"14,937.20",0.019735961224325794,0.0
International Bank Transfer in US Dollars (USD),"$10,030.00",Australia,yyy,USD,USD,10030.0,10000,0.0,30.0
Domestic Bank Transfer in Euros (EUR),"8.731,00 €",Austria,yyy,USD,EUR,8731.0,"8,486.57",0.028801977713021905,0.0
VISA: Debit/Credit in EUR,"8.815,00 €",Austria,yyy,USD,EUR,8815.0,"8,486.57",0.03869996948119209,0.0
MasterCard: Debit/Credit in EUR,"8.815,00 €",Austria,yyy,USD,EUR,8815.0,"8,486.57",0.03869996948119209,0.0
American Express in EUR,"8.815,00 €",Austria,yyy,USD,EUR,8815.0,"8,486.57",0.03869996948119209,0.0
PayPal in EUR,"8.900,00 €",Austria,yyy,USD,EUR,8900.0,"8,486.57",0.04871579448469762,0.0
Online Bank Transfer,"8.731,00 €",Austria,yyy,USD,EUR,8731.0,"8,486.57",0.028801977713021905,0.0
International Bank Transfer in US Dollars (USD),"$10,030.00",Austria,yyy,USD,USD,10030.0,10000,0.0,30.0
MasterCard: Debit/Credit in AZN,"???17,877.00",Azerbaijan,yyy,USD,AZN,17877.0,"16,964.93",0.05376208448841226,0.0
VISA: Debit/Credit in AZN,"???17,877.00",Azerbaijan,yyy,USD,AZN,17877.0,"16,964.93",0.05376208448841226,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Azerbaijan,yyy,USD,USD,10000.0,10000,0.0,0.0
VISA: Debit/Credit in BSD,"$10,538.00",Bahamas,yyy,USD,BSD,10538.0,"10,000.00",0.0538,0.0
MasterCard: Debit/Credit in BSD,"$10,538.00",Bahamas,yyy,USD,BSD,10538.0,"10,000.00",0.0538,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Bahamas,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in Canadian Dollars (CAD),"$13,238.00",Bahamas,yyy,USD,CAD,13238.0,"12,907.64",0.02559414424325443,0.0
MasterCard: Debit/Credit in BHD,"?.?3,963.000",Bahrain,yyy,USD,BHD,3963.0,"3,760.00",0.05398936170212766,0.0
Visa: Debit/Credit in BHD,"?.?3,963.000",Bahrain,yyy,USD,BHD,3963.0,"3,760.00",0.05398936170212766,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Bahrain,yyy,USD,USD,10000.0,10000,0.0,0.0
MasterCard: Debit/Credit in BDT,"?880,370.00",Bangladesh,yyy,USD,BDT,880370.0,"835,470.00",0.053742204986414834,0.0
VISA: Debit/Credit in BDT,"?880,370.00",Bangladesh,yyy,USD,BDT,880370.0,"835,470.00",0.053742204986414834,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Bangladesh,yyy,USD,USD,10000.0,10000,0.0,0.0
MasterCard: Debit/Credit in BBD,"21,075.00 $",Barbados,yyy,USD,BBD,21075.0,"20,000.00",0.05375,0.0
VISA: Debit/Credit in BBD,"21,075.00 $",Barbados,yyy,USD,BBD,21075.0,"20,000.00",0.05375,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Barbados,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in Canadian Dollars (CAD),"$13,239.00",Barbados,yyy,USD,CAD,13239.0,"12,906.55",0.025758239033669007,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Belarus,yyy,USD,USD,10000.0,10000,0.0,0.0
MasterCard: Debit/Credit in EUR,"8.898,00 €",Belarus,yyy,USD,EUR,8898.0,"8,486.57",0.0484801280140269,0.0
VISA: Debit/Credit in EUR,"8.898,00 €",Belarus,yyy,USD,EUR,8898.0,"8,486.57",0.0484801280140269,0.0
Domestic Bank Transfer in Euros (EUR),"8.728,00 €",Belgium,yyy,USD,EUR,8728.0,"8,486.57",0.028448478007015825,0.0
VISA: Debit/Credit in EUR,"8.812,00 €",Belgium,yyy,USD,EUR,8812.0,"8,486.57",0.03834646977518601,0.0
