0,1,2,3,4,5,6,7,8,9
Debit/Credit Card in AFN,"799,333.00 ?",Afghanistan,yyy,USD,AFN,799333.0,"758,566.92",0.053740914512855315,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Afghanistan,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in Euros (EUR),"8.764,00 €",Albania,yyy,USD,EUR,8764.0,"8,522.39",0.028350028571797418,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Albania,yyy,USD,USD,10000.0,10000,0.0,0.0
Debit/Credit Card in DZD,"1,248,700.00 ?.?",Algeria,yyy,USD,DZD,1248700.0,"1,184,961.47",0.05378953798388063,0.0
VISA: Debit/Credit in EUR,"8.848,00 €",Algeria,yyy,USD,EUR,8848.0,"8,522.39",0.03820641862200634,0.0
MasterCard: Debit/Credit in EUR,"8.848,00 €",Algeria,yyy,USD,EUR,8848.0,"8,522.39",0.03820641862200634,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Algeria,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in Euros (EUR),"8.764,00 €",Algeria,yyy,USD,EUR,8764.0,"8,522.39",0.028350028571797418,0.0
Debit/Credit Card in AOA,"3,046,900.00 Kz",Angola,yyy,USD,AOA,3046900.0,"2,891,492.37",0.053746512220608035,0.0
VISA: Debit/Credit in EUR,"8.848,00 €",Angola,yyy,USD,EUR,8848.0,"8,522.39",0.03820641862200634,0.0
MasterCard: Debit/Credit in EUR,"8.848,00 €",Angola,yyy,USD,EUR,8848.0,"8,522.39",0.03820641862200634,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Angola,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in South African Rand (ZAR),"R147,887.00",Angola,yyy,USD,ZAR,147887.0,"143,597.71",0.02987018386295999,0.0
International Bank Transfer in British Pounds (GBP),"£7,874.00",Angola,yyy,USD,GBP,7874.0,"7,657.10",0.028326651082002274,0.0
International Bank Transfer in Euros (EUR),"8.764,00 €",Angola,yyy,USD,EUR,8764.0,"8,522.39",0.028350028571797418,0.0
VISA: Debit/Credit in ARS,"$392.208,00",Argentina,yyy,USD,ARS,392208.0,"372,205.04",0.05374177630695173,0.0
MasterCard: Debit/Credit in ARS,"$392.208,00",Argentina,yyy,USD,ARS,392208.0,"372,205.04",0.05374177630695173,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Argentina,yyy,USD,USD,10000.0,10000,0.0,0.0
Domestic Bank Transfer in AUD (EFT),"A$14,128.00",Australia,yyy,USD,AUD,14128.0,"13,731.87",0.02884749127394879,0.0
American Express in AUD,"A$14,128.00",Australia,yyy,USD,AUD,14128.0,"13,731.87",0.02884749127394879,0.0
VISA: Debit/Credit in AUD,"A$14,394.00",Australia,yyy,USD,AUD,14394.0,"13,731.87",0.048218487358240296,0.0
MasterCard: Debit/Credit in AUD,"A$14,394.00",Australia,yyy,USD,AUD,14394.0,"13,731.87",0.048218487358240296,0.0
Domestic Bank Transfer in New Zealand Dollar (NZD),"$15,251.00",Australia,yyy,USD,NZD,15251.0,"14,956.36",0.01969998047653302,0.0
International Bank Transfer in US Dollars (USD),"$10,030.00",Australia,yyy,USD,USD,10030.0,10000,0.0,30.0
Domestic Bank Transfer in Euros (EUR),"8.690,00 €",Austria,yyy,USD,EUR,8690.0,"8,522.39",0.01966701828947051,0.0
VISA: Debit/Credit in EUR,"8.848,00 €",Austria,yyy,USD,EUR,8848.0,"8,522.39",0.03820641862200634,0.0
