0,1,2,3,4,5,6,7,8,9
Debit/Credit Card in AFN,"798,233.00 ?",Afghanistan,yyy,USD,AFN,798233.0,"756,896.70",0.05461286857242217,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Afghanistan,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in Euros (EUR),"8.741,00 €",Albania,yyy,USD,EUR,8741.0,"8,501.40",0.0281835932905169,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Albania,yyy,USD,USD,10000.0,"8,501.40",0.0,-840140.0
Debit/Credit Card in DZD,"1,241,100.00 ?.?",Algeria,yyy,USD,DZD,1241100.0,"1,177,788.49",0.053754566747379245,0.0
VISA: Debit/Credit in EUR,"8.827,00 €",Algeria,yyy,USD,EUR,8827.0,"8,501.40",0.03829957418778088,0.0
MasterCard: Debit/Credit in EUR,"8.827,00 €",Algeria,yyy,USD,EUR,8827.0,"8,501.40",0.03829957418778088,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Algeria,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in Euros (EUR),"8.742,00 €",Algeria,yyy,USD,EUR,8742.0,"8,501.40",0.02830122097536881,0.0
Debit/Credit Card in AOA,"3,046,900.00 Kz",Angola,yyy,USD,AOA,3046900.0,"2,891,493.05",0.05374626440827869,0.0
VISA: Debit/Credit in EUR,"8.826,00 €",Angola,yyy,USD,EUR,8826.0,"8,501.40",0.03818194650292897,0.0
MasterCard: Debit/Credit in EUR,"8.826,00 €",Angola,yyy,USD,EUR,8826.0,"8,501.40",0.03818194650292897,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Angola,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in South African Rand (ZAR),"R147,827.00",Angola,yyy,USD,ZAR,147827.0,"143,645.45",0.029110215464534295,0.0
International Bank Transfer in British Pounds (GBP),"£7,822.00",Angola,yyy,USD,GBP,7822.0,"7,605.31",0.028491935239983588,0.0
International Bank Transfer in Euros (EUR),"8.742,00 €",Angola,yyy,USD,EUR,8742.0,"8,501.40",0.02830122097536881,0.0
VISA: Debit/Credit in ARS,"$402.680,00",Argentina,yyy,USD,ARS,402680.0,"382,111.67",0.053828060263116324,0.0
MasterCard: Debit/Credit in ARS,"$402.680,00",Argentina,yyy,USD,ARS,402680.0,"382,111.67",0.053828060263116324,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Argentina,yyy,USD,USD,10000.0,10000,0.0,0.0
Domestic Bank Transfer in AUD (EFT),"A$14,130.00",Australia,yyy,USD,AUD,14130.0,"13,736.28",0.028662782063265987,0.0
American Express in AUD,"A$14,130.00",Australia,yyy,USD,AUD,14130.0,"13,736.28",0.028662782063265987,0.0
VISA: Debit/Credit in AUD,"A$14,396.00",Australia,yyy,USD,AUD,14396.0,"13,736.28",0.048027559135369935,0.0
MasterCard: Debit/Credit in AUD,"A$14,396.00",Australia,yyy,USD,AUD,14396.0,"13,736.28",0.048027559135369935,0.0
Domestic Bank Transfer in New Zealand Dollar (NZD),"$15,261.00",Australia,yyy,USD,NZD,15261.0,"14,969.59",0.019466799023887753,0.0
International Bank Transfer in US Dollars (USD),"$10,030.00",Australia,yyy,USD,USD,10030.0,10000,0.0,30.0
Domestic Bank Transfer in Euros (EUR),"8.742,00 €",Austria,yyy,USD,EUR,8742.0,"8,501.40",0.02830122097536881,0.0
VISA: Debit/Credit in EUR,"8.827,00 €",Austria,yyy,USD,EUR,8827.0,"8,501.40",0.03829957418778088,0.0
MasterCard: Debit/Credit in EUR,"8.827,00 €",Austria,yyy,USD,EUR,8827.0,"8,501.40",0.03829957418778088,0.0
American Express in EUR,"8.827,00 €",Austria,yyy,USD,EUR,8827.0,"8,501.40",0.03829957418778088,0.0
PayPal in EUR,"8.912,00 €",Austria,yyy,USD,EUR,8912.0,"8,501.40",0.04829792740019295,0.0
Online Bank Transfer,"8.742,00 €",Austria,yyy,USD,EUR,8742.0,"8,501.40",0.02830122097536881,0.0
International Bank Transfer in US Dollars (USD),"$10,030.00",Austria,yyy,USD,USD,10030.0,10000,0.0,30.0
MasterCard: Debit/Credit in AZN,"???17,877.00",Azerbaijan,yyy,USD,AZN,17877.0,"16,964.93",0.05376208448841226,0.0
VISA: Debit/Credit in AZN,"???17,877.00",Azerbaijan,yyy,USD,AZN,17877.0,"16,964.93",0.05376208448841226,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Azerbaijan,yyy,USD,USD,10000.0,10000,0.0,0.0
VISA: Debit/Credit in BSD,"$10,538.00",Bahamas,yyy,USD,BSD,10538.0,"10,000.00",0.0538,0.0
MasterCard: Debit/Credit in BSD,"$10,538.00",Bahamas,yyy,USD,BSD,10538.0,"10,000.00",0.0538,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Bahamas,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in Canadian Dollars (CAD),"$13,237.00",Bahamas,yyy,USD,CAD,13237.0,"12,914.93",0.024937804540945997,0.0
MasterCard: Debit/Credit in BHD,"?.?3,963.000",Bahrain,yyy,USD,BHD,3963.0,"3,760.00",0.05398936170212766,0.0
Visa: Debit/Credit in BHD,"?.?3,963.000",Bahrain,yyy,USD,BHD,3963.0,"3,760.00",0.05398936170212766,0.0
