0,1,2,3,4,5,6,7,8,9,,
Debit/Credit Card in AFN,"618,572.00 ?",Afghanistan,yyy,USD,AFN,618572,"7,58,567.00",-0.184551925,0,588036.4341,0.051928017
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Afghanistan,yyy,USD,CAD,10000,"12,922.24",-0.22614036,0,10017.24031,-0.001721064
International Bank Transfer in US Dollars (USD),"$7,877.00",Afghanistan,yyy,USD,USD,7877,10000,0,-2123,7751.937984,0.016133
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Albania,yyy,USD,CAD,10000,"12,922.24",-0.22614036,0,10017.24031,-0.001721064
International Bank Transfer in US Dollars (USD),"$7,877.00",Albania,yyy,USD,USD,7877,10000,0,-2123,7751.937984,0.016133
Debit/Credit Card in DZD,"963,200.00 ?.?",Algeria,yyy,USD,DZD,963200,"11,79,645.21",-0.183483312,0,914453.6512,0.053306528
International Bank Transfer in Euros (EUR),"6.777,00 €",Algeria,yyy,USD,EUR,6777,"8,513.67",-0.20398606,0,6599.744186,0.026857983
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Algeria,yyy,USD,CAD,10000,"12,919.19",-0.225957665,0,10014.87597,-0.001485387
International Bank Transfer in US Dollars (USD),"$7,877.00",Algeria,yyy,USD,USD,7877,10000,0,-2123,7751.937984,0.016133
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Angola,yyy,USD,CAD,10000,"12,919.19",-0.225957665,0,10014.87597,-0.001485387
International Bank Transfer in US Dollars (USD),"$7,879.00",Angola,yyy,USD,USD,7879,10000,0,-2121,7751.937984,0.016391
International Bank Transfer in South African Rand (ZAR),"R114,221.00",Angola,yyy,USD,ZAR,114221,"1,43,233.03",-0.202551255,0,111033.3566,0.028708881
International Bank Transfer in British Pounds (GBP),"£6,089.00",Angola,yyy,USD,GBP,6089,"7,649.44",-0.203994018,0,5929.79845,0.026847717
International Bank Transfer in Euros (EUR),"6.777,00 €",Angola,yyy,USD,EUR,6777,"8,513.67",-0.20398606,0,6599.744186,0.026857983
VISA: Debit/Credit in ARS,"$303.311,00",Argentina,yyy,USD,ARS,303311,"3,71,819.45",-0.184251927,0,288232.1318,0.052315015
MasterCard: Debit/Credit in ARS,"$303.311,00",Argentina,yyy,USD,ARS,303311,"3,71,819.45",-0.184251927,0,288232.1318,0.052315015
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Argentina,yyy,USD,CAD,10000,"12,917.63",-0.225864187,0,10013.66667,-0.001364801
International Bank Transfer in US Dollars (USD),"$7,879.00",Argentina,yyy,USD,USD,7879,10000,0,-2121,7751.937984,0.016391
VISA: Debit/Credit in USD,"$8,114.00",Argentina,yyy,USD,USD,8114,10000,0,-1886,7751.937984,0.046706
MasterCard: Debit/Credit in USD,"$8,114.00",Argentina,yyy,USD,USD,8114,10000,0,-1886,7751.937984,0.046706
Domestic Bank Transfer in AUD (EFT),"A$10,907.00",Australia,yyy,USD,AUD,10907,"13,727.59",-0.205468695,0,10641.54264,0.024945384
American Express in AUD,"A$10,928.00",Australia,yyy,USD,AUD,10928,"13,727.59",-0.203938929,0,10641.54264,0.026918782
VISA: Debit/Credit in AUD,"A$11,135.00",Australia,yyy,USD,AUD,11135,"13,727.59",-0.188859807,0,10641.54264,0.046370849
MasterCard: Debit/Credit in AUD,"A$11,135.00",Australia,yyy,USD,AUD,11135,"13,727.59",-0.188859807,0,10641.54264,0.046370849
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Australia,yyy,USD,CAD,10000,"12,923.73",-0.226229579,0,10018.39535,-0.001836157
Domestic Bank Transfer in New Zealand Dollar (NZD),"$11,811.00",Australia,yyy,USD,NZD,11811,"14,961.45",-0.210571168,0,11598.02326,0.018363193
International Bank Transfer in US Dollars (USD),"$7,880.00",Australia,yyy,USD,USD,7880,10000,0,-2120,7751.937984,0.01652
Domestic Bank Transfer in Euros (EUR),"6.776,00 €",Austria,yyy,USD,EUR,6776,"8,513.67",-0.204103518,0,6599.744186,0.026706461
VISA: Debit/Credit in EUR,"6.842,00 €",Austria,yyy,USD,EUR,6842,"8,513.67",-0.19635128,0,6599.744186,0.036706849
MasterCard: Debit/Credit in EUR,"6.842,00 €",Austria,yyy,USD,EUR,6842,"8,513.67",-0.19635128,0,6599.744186,0.036706849
American Express in EUR,"6.842,00 €",Austria,yyy,USD,EUR,6842,"8,513.67",-0.19635128,0,6599.744186,0.036706849
PayPal in EUR,"6.908,00 €",Austria,yyy,USD,EUR,6908,"8,513.67",-0.188599041,0,6599.744186,0.046707237
Online Bank Transfer,"6.776,00 €",Austria,yyy,USD,EUR,6776,"8,513.67",-0.204103518,0,6599.744186,0.026706461
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Austria,yyy,USD,CAD,10000,"12,919.95",-0.226003197,0,10015.46512,-0.001544124
International Bank Transfer in US Dollars (USD),"$7,876.00",Austria,yyy,USD,USD,7876,10000,0,-2124,7751.937984,0.016004
MasterCard: Debit/Credit in AZN,"???13,859.00",Azerbaijan,yyy,USD,AZN,13859,"17,000.00",-0.184764706,0,13178.29457,0.051653529
VISA: Debit/Credit in AZN,"???13,859.00",Azerbaijan,yyy,USD,AZN,13859,"17,000.00",-0.184764706,0,13178.29457,0.051653529
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Azerbaijan,yyy,USD,CAD,10000,"12,926.52",-0.226396586,0,10020.55814,-0.002051596
International Bank Transfer in US Dollars (USD),"$7,876.00",Azerbaijan,yyy,USD,USD,7876,10000,0,-2124,7751.937984,0.016004
MasterCard: Debit/Credit in BSD,"$8,152.00",Bahamas,yyy,USD,BSD,8152,"10,000.00",-0.1848,0,7751.937984,0.051608
