0,1,2,3,4,5,6,7,8,9
Debit/Credit Card in AFN,"618,572.00 ?",Afghanistan,yyy,USD,AFN,618572.0,"758,567.00",-0.18455192487941077,0.0
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Afghanistan,yyy,USD,CAD,10000.0,"12,922.24",-0.2261403595661433,0.0
International Bank Transfer in US Dollars (USD),"$7,877.00",Afghanistan,yyy,USD,USD,7877.0,10000,0.0,-2123.0
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Albania,yyy,USD,CAD,10000.0,"12,922.24",-0.2261403595661433,0.0
International Bank Transfer in US Dollars (USD),"$7,877.00",Albania,yyy,USD,USD,7877.0,10000,0.0,-2123.0
Debit/Credit Card in DZD,"963,200.00 ?.?",Algeria,yyy,USD,DZD,963200.0,"1,179,645.21",-0.18348331190188952,0.0
International Bank Transfer in Euros (EUR),"6.777,00 €",Algeria,yyy,USD,EUR,6777.0,"8,513.67",-0.2039860600657531,0.0
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Algeria,yyy,USD,CAD,10000.0,"12,919.19",-0.22595766452850374,0.0
International Bank Transfer in US Dollars (USD),"$7,877.00",Algeria,yyy,USD,USD,7877.0,10000,0.0,-2123.0
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Angola,yyy,USD,CAD,10000.0,"12,919.19",-0.22595766452850374,0.0
International Bank Transfer in US Dollars (USD),"$7,879.00",Angola,yyy,USD,USD,7879.0,10000,0.0,-2121.0
International Bank Transfer in South African Rand (ZAR),"R114,221.00",Angola,yyy,USD,ZAR,114221.0,"143,233.03",-0.20255125511203664,0.0
International Bank Transfer in British Pounds (GBP),"£6,089.00",Angola,yyy,USD,GBP,6089.0,"7,649.44",-0.20399401786274546,0.0
International Bank Transfer in Euros (EUR),"6.777,00 €",Angola,yyy,USD,EUR,6777.0,"8,513.67",-0.2039860600657531,0.0
VISA: Debit/Credit in ARS,"$303.311,00",Argentina,yyy,USD,ARS,303311.0,"371,819.45",-0.1842519265735023,0.0
MasterCard: Debit/Credit in ARS,"$303.311,00",Argentina,yyy,USD,ARS,303311.0,"371,819.45",-0.1842519265735023,0.0
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Argentina,yyy,USD,CAD,10000.0,"12,917.63",-0.22586418716126716,0.0
International Bank Transfer in US Dollars (USD),"$7,879.00",Argentina,yyy,USD,USD,7879.0,10000,0.0,-2121.0
VISA: Debit/Credit in USD,"$8,114.00",Argentina,yyy,USD,USD,8114.0,10000,0.0,-1886.0
MasterCard: Debit/Credit in USD,"$8,114.00",Argentina,yyy,USD,USD,8114.0,10000,0.0,-1886.0
Domestic Bank Transfer in AUD (EFT),"A$10,907.00",Australia,yyy,USD,AUD,10907.0,"13,727.59",-0.2054686947963918,0.0
American Express in AUD,"A$10,928.00",Australia,yyy,USD,AUD,10928.0,"13,727.59",-0.20393892882873105,0.0
VISA: Debit/Credit in AUD,"A$11,135.00",Australia,yyy,USD,AUD,11135.0,"13,727.59",-0.1888598071475037,0.0
MasterCard: Debit/Credit in AUD,"A$11,135.00",Australia,yyy,USD,AUD,11135.0,"13,727.59",-0.1888598071475037,0.0
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Australia,yyy,USD,CAD,10000.0,"12,923.73",-0.22622957923138287,0.0
Domestic Bank Transfer in New Zealand Dollar (NZD),"$11,811.00",Australia,yyy,USD,NZD,11811.0,"14,961.45",-0.2105711679015069,0.0
International Bank Transfer in US Dollars (USD),"$7,880.00",Australia,yyy,USD,USD,7880.0,10000,0.0,-2120.0
Domestic Bank Transfer in Euros (EUR),"6.776,00 €",Austria,yyy,USD,EUR,6776.0,"8,513.67",-0.20410351822422057,0.0
VISA: Debit/Credit in EUR,"6.842,00 €",Austria,yyy,USD,EUR,6842.0,"8,513.67",-0.1963512797653656,0.0
MasterCard: Debit/Credit in EUR,"6.842,00 €",Austria,yyy,USD,EUR,6842.0,"8,513.67",-0.1963512797653656,0.0
American Express in EUR,"6.842,00 €",Austria,yyy,USD,EUR,6842.0,"8,513.67",-0.1963512797653656,0.0
PayPal in EUR,"6.908,00 €",Austria,yyy,USD,EUR,6908.0,"8,513.67",-0.1885990413065106,0.0
Online Bank Transfer,"6.776,00 €",Austria,yyy,USD,EUR,6776.0,"8,513.67",-0.20410351822422057,0.0
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Austria,yyy,USD,CAD,10000.0,"12,919.95",-0.22600319660679805,0.0
International Bank Transfer in US Dollars (USD),"$7,876.00",Austria,yyy,USD,USD,7876.0,10000,0.0,-2124.0
MasterCard: Debit/Credit in AZN,"???13,859.00",Azerbaijan,yyy,USD,AZN,13859.0,"17,000.00",-0.18476470588235294,0.0
VISA: Debit/Credit in AZN,"???13,859.00",Azerbaijan,yyy,USD,AZN,13859.0,"17,000.00",-0.18476470588235294,0.0
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Azerbaijan,yyy,USD,CAD,10000.0,"12,926.52",-0.2263965862428558,0.0
