0,1,2,3,4,5,6,7,8,9
Debit/Credit Card in AFN,"797,727.00 ?",Afghanistan,yyy,USD,AFN,797727.0,"757,313.76",0.053363932011482255,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Afghanistan,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in Euros (EUR),"8.760,00 €",Albania,yyy,USD,EUR,8760.0,"8,516.34",0.028610882139510616,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Albania,yyy,USD,USD,10000.0,"8,516.34",0.0,-841634.0
Debit/Credit Card in DZD,"1,241,800.00 ?.?",Algeria,yyy,USD,DZD,1241800.0,"1,178,641.19",0.05358612148961132,0.0
VISA: Debit/Credit in EUR,"8.844,00 €",Algeria,yyy,USD,EUR,8844.0,"8,516.34",0.038474274160026474,0.0
MasterCard: Debit/Credit in EUR,"8.844,00 €",Algeria,yyy,USD,EUR,8844.0,"8,516.34",0.038474274160026474,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Algeria,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in Euros (EUR),"8.759,00 €",Algeria,yyy,USD,EUR,8759.0,"8,516.34",0.028493460805933048,0.0
Debit/Credit Card in AOA,"3,046,900.00 Kz",Angola,yyy,USD,AOA,3046900.0,"2,891,543.78",0.05372777720833963,0.0
VISA: Debit/Credit in EUR,"8.842,00 €",Angola,yyy,USD,EUR,8842.0,"8,516.34",0.03823943149287133,0.0
MasterCard: Debit/Credit in EUR,"8.842,00 €",Angola,yyy,USD,EUR,8842.0,"8,516.34",0.03823943149287133,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Angola,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in South African Rand (ZAR),"R147,362.00",Angola,yyy,USD,ZAR,147362.0,"143,124.73",0.029605435762219353,0.0
International Bank Transfer in British Pounds (GBP),"£7,868.00",Angola,yyy,USD,GBP,7868.0,"7,650.76",0.02839456472298174,0.0
International Bank Transfer in Euros (EUR),"8.758,00 €",Angola,yyy,USD,EUR,8758.0,"8,516.34",0.028376039472355476,0.0
VISA: Debit/Credit in ARS,"$397.073,00",Argentina,yyy,USD,ARS,397073.0,"376,821.36",0.05374334406096304,0.0
MasterCard: Debit/Credit in ARS,"$397.073,00",Argentina,yyy,USD,ARS,397073.0,"376,821.36",0.05374334406096304,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Argentina,yyy,USD,USD,10000.0,10000,0.0,0.0
Domestic Bank Transfer in AUD (EFT),"A$14,137.00",Australia,yyy,USD,AUD,14137.0,"13,736.18",0.029179873880511152,0.0
American Express in AUD,"A$14,137.00",Australia,yyy,USD,AUD,14137.0,"13,736.18",0.029179873880511152,0.0
VISA: Debit/Credit in AUD,"A$14,404.00",Australia,yyy,USD,AUD,14404.0,"13,736.18",0.048617592372843084,0.0
MasterCard: Debit/Credit in AUD,"A$14,404.00",Australia,yyy,USD,AUD,14404.0,"13,736.18",0.048617592372843084,0.0
Domestic Bank Transfer in New Zealand Dollar (NZD),"$15,271.00",Australia,yyy,USD,NZD,15271.0,"14,972.21",0.01995630571572272,0.0
International Bank Transfer in US Dollars (USD),"$10,030.00",Australia,yyy,USD,USD,10030.0,10000,0.0,30.0
Domestic Bank Transfer in Euros (EUR),"8.760,00 €",Austria,yyy,USD,EUR,8760.0,"8,516.34",0.028610882139510616,0.0
VISA: Debit/Credit in EUR,"8.845,00 €",Austria,yyy,USD,EUR,8845.0,"8,516.34",0.03859169549360404,0.0
MasterCard: Debit/Credit in EUR,"8.845,00 €",Austria,yyy,USD,EUR,8845.0,"8,516.34",0.03859169549360404,0.0
American Express in EUR,"8.845,00 €",Austria,yyy,USD,EUR,8845.0,"8,516.34",0.03859169549360404,0.0
PayPal in EUR,"8.930,00 €",Austria,yyy,USD,EUR,8930.0,"8,516.34",0.04857250884769747,0.0
Online Bank Transfer,"8.760,00 €",Austria,yyy,USD,EUR,8760.0,"8,516.34",0.028610882139510616,0.0
International Bank Transfer in US Dollars (USD),"$10,030.00",Austria,yyy,USD,USD,10030.0,10000,0.0,30.0
MasterCard: Debit/Credit in AZN,"???17,877.00",Azerbaijan,yyy,USD,AZN,17877.0,"16,964.92",0.053762705630206443,0.0
VISA: Debit/Credit in AZN,"???17,877.00",Azerbaijan,yyy,USD,AZN,17877.0,"16,964.92",0.053762705630206443,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Azerbaijan,yyy,USD,USD,10000.0,10000,0.0,0.0
VISA: Debit/Credit in BSD,"$10,538.00",Bahamas,yyy,USD,BSD,10538.0,"10,000.00",0.0538,0.0
MasterCard: Debit/Credit in BSD,"$10,538.00",Bahamas,yyy,USD,BSD,10538.0,"10,000.00",0.0538,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Bahamas,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in Canadian Dollars (CAD),"$13,244.00",Bahamas,yyy,USD,CAD,13244.0,"12,913.26",0.02561243249187268,0.0
MasterCard: Debit/Credit in BHD,"?.?3,963.000",Bahrain,yyy,USD,BHD,3963.0,"3,760.00",0.05398936170212766,0.0
Visa: Debit/Credit in BHD,"?.?3,963.000",Bahrain,yyy,USD,BHD,3963.0,"3,760.00",0.05398936170212766,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Bahrain,yyy,USD,USD,10000.0,10000,0.0,0.0
MasterCard: Debit/Credit in BDT,"?882,710.00",Bangladesh,yyy,USD,BDT,882710.0,"837,632.87",0.05381490103176109,0.0
VISA: Debit/Credit in BDT,"?882,710.00",Bangladesh,yyy,USD,BDT,882710.0,"837,632.87",0.05381490103176109,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Bangladesh,yyy,USD,USD,10000.0,10000,0.0,0.0
