0,1,2,3,4,5,6,7,8,9
VISA: Debit/Credit in MVR,"162,270.00 Rf",Maldives,yyy,USD,MVR,162270.0,"153,979.68",0.053840350882661966,0.0
MasterCard: Debit/Credit in MVR,"162,270.00 Rf",Maldives,yyy,USD,MVR,162270.0,"153,979.68",0.053840350882661966,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Maldives,yyy,USD,USD,10000.0,10000,0.0,0.0
Domestic Bank Transfer in Euros (EUR),"8.757,00 €",Malta,yyy,USD,EUR,8757.0,"8,516.78",0.02820549550416934,0.0
VISA: Debit/Credit in EUR,"8.841,00 €",Malta,yyy,USD,EUR,8841.0,"8,516.78",0.03806837795504866,0.0
MasterCard: Debit/Credit in EUR,"8.841,00 €",Malta,yyy,USD,EUR,8841.0,"8,516.78",0.03806837795504866,0.0
American Express in EUR,"8.841,00 €",Malta,yyy,USD,EUR,8841.0,"8,516.78",0.03806837795504866,0.0
PayPal in EUR,"8.926,00 €",Malta,yyy,USD,EUR,8926.0,"8,516.78",0.048048675673200356,0.0
Online Bank Transfer,"8.757,00 €",Malta,yyy,USD,EUR,8757.0,"8,516.78",0.02820549550416934,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Malta,yyy,USD,USD,10000.0,"8,516.78",0.0,-841678.0
MasterCard: Debit/Credit in MUR,"?359,523.00",Mauritius,yyy,USD,MUR,359523.0,"341,114.14",0.05396686282192813,0.0
VISA: Debit/Credit in MUR,"?359,523.00",Mauritius,yyy,USD,MUR,359523.0,"341,114.14",0.05396686282192813,0.0
Bank Transfer in Mauritian Rupee (MUR),"?348,150.00",Mauritius,yyy,USD,MUR,348150.0,"341,114.14",0.020626116525102083,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Mauritius,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in British Pounds (GBP),"£7,861.00",Mauritius,yyy,USD,GBP,7861.0,"7,646.52",0.028049361016514642,0.0
Domestic Bank Transfer in Mexican Pesos (MXN),"$195,058.00",Mexico,yyy,USD,MXN,195058.0,"188,271.32",0.03604733849000471,0.0
MasterCard: Debit/Credit in MXN,"$198,347.00",Mexico,yyy,USD,MXN,198347.0,"188,271.32",0.0535168075519946,0.0
VISA: Debit/Credit in MXN,"$198,347.00",Mexico,yyy,USD,MXN,198347.0,"188,271.32",0.0535168075519946,0.0
International Bank Transfer in US Dollars (USD),"$10,030.00",Mexico,yyy,USD,USD,10030.0,10000,0.0,30.0
International Bank Transfer in British Pounds (GBP),"£7,863.00",Mexico,yyy,USD,GBP,7863.0,"7,646.30",0.028340504557759938,0.0
Debit/Credit Card in MDL,"176,900.00 MDL","Moldova, Republic of",yyy,USD,MDL,176900.0,"167,947.35",0.05330628914359169,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00","Moldova, Republic of",yyy,USD,USD,10000.0,10000,0.0,0.0
Domestic Bank Transfer in Euros (EUR),"8.756,00 €",Monaco,yyy,USD,EUR,8756.0,"8,516.78",0.028088080236896965,0.0
VISA: Debit/Credit in EUR,"8.841,00 €",Monaco,yyy,USD,EUR,8841.0,"8,516.78",0.03806837795504866,0.0
MasterCard: Debit/Credit in EUR,"8.841,00 €",Monaco,yyy,USD,EUR,8841.0,"8,516.78",0.03806837795504866,0.0
American Express in EUR,"8.841,00 €",Monaco,yyy,USD,EUR,8841.0,"8,516.78",0.03806837795504866,0.0
PayPal in EUR,"8.926,00 €",Monaco,yyy,USD,EUR,8926.0,"8,516.78",0.048048675673200356,0.0
International Bank Transfer in US Dollars (USD),"$10,030.00",Monaco,yyy,USD,USD,10030.0,10000,0.0,30.0
Debit/Credit Card in MNT,"26,524,500.00 ?",Mongolia,yyy,USD,MNT,26524500.0,"25,197,590.90",0.052660157285115756,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Mongolia,yyy,USD,USD,10000.0,10000,0.0,0.0
Domestic Bank Transfer in Euros (EUR),"8.756,00 €",Montenegro,yyy,USD,EUR,8756.0,"8,516.78",0.028088080236896965,0.0
VISA: Debit/Credit in EUR,"8.841,00 €",Montenegro,yyy,USD,EUR,8841.0,"8,516.78",0.03806837795504866,0.0
MasterCard: Debit/Credit in EUR,"8.841,00 €",Montenegro,yyy,USD,EUR,8841.0,"8,516.78",0.03806837795504866,0.0
American Express in EUR,"8.841,00 €",Montenegro,yyy,USD,EUR,8841.0,"8,516.78",0.03806837795504866,0.0
PayPal in EUR,"8.926,00 €",Montenegro,yyy,USD,EUR,8926.0,"8,516.78",0.048048675673200356,0.0
International Bank Transfer in US Dollars (USD),"$10,030.00",Montenegro,yyy,USD,USD,10030.0,10000,0.0,30.0
MasterCard: Debit/Credit in MAD,"98,626.00 ?.?.",Morocco,yyy,USD,MAD,98626.0,"93,580.54",0.053915696575377814,0.0
VISA: Debit/Credit in MAD,"98,626.00 ?.?.",Morocco,yyy,USD,MAD,98626.0,"93,580.54",0.053915696575377814,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Morocco,yyy,USD,USD,10000.0,10000,0.0,0.0
Debit/Credit Card in MZN,"MTn638.200,00",Mozambique,yyy,USD,MZN,638200.0,"605,504.66",0.05399684289795551,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Mozambique,yyy,USD,USD,10000.0,10000,0.0,0.0
Debit/Credit Card in MMK,"17,134,000.00 K",Myanmar,yyy,USD,MMK,17134000.0,"16,260,019.74",0.05375025823923137,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Myanmar,yyy,USD,USD,10000.0,10000,0.0,0.0
VISA: Debit/Credit in NAD,"150,783.00 N$",Namibia,yyy,USD,NAD,150783.0,"143,085.91",0.0537934867241645,0.0
Mastercard: Debit/Credit in NAD,"150,783.00 N$",Namibia,yyy,USD,NAD,150783.0,"143,085.91",0.0537934867241645,0.0
MasterCard: Debit/Credit in ZAR,"R149,935.00",Namibia,yyy,USD,ZAR,149935.0,"143,085.91",0.047866977258627326,0.0
VISA: Debit/Credit in ZAR,"R149,929.00",Namibia,yyy,USD,ZAR,149929.0,"143,085.91",0.04782504440863532,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Namibia,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in South African Rand (ZAR),"R147,077.00",Namibia,yyy,USD,ZAR,147077.0,"143,085.91",0.027892963045767376,0.0
MasterCard: Debit/Credit in NPR,"?1,223,970.00",Nepal,yyy,USD,NPR,1223970.0,"1,161,542.23",0.05374558788103642,0.0
VISA: Debit/Credit in NPR,"?1,223,970.00",Nepal,yyy,USD,NPR,1223970.0,"1,161,542.23",0.05374558788103642,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Nepal,yyy,USD,USD,10000.0,10000,0.0,0.0
Online Bank Transfer,"8.758,00 €",Netherlands,yyy,USD,EUR,8758.0,"8,516.78",0.02832291077144171,0.0
Domestic Bank Transfer in Euros (EUR),"8.758,00 €",Netherlands,yyy,USD,EUR,8758.0,"8,516.78",0.02832291077144171,0.0
VISA: Debit/Credit in EUR,"8.842,00 €",Netherlands,yyy,USD,EUR,8842.0,"8,516.78",0.03818579322232103,0.0
MasterCard: Debit/Credit in EUR,"8.842,00 €",Netherlands,yyy,USD,EUR,8842.0,"8,516.78",0.03818579322232103,0.0
American Express in EUR,"8.842,00 €",Netherlands,yyy,USD,EUR,8842.0,"8,516.78",0.03818579322232103,0.0
PayPal in EUR,"8.928,00 €",Netherlands,yyy,USD,EUR,8928.0,"8,516.78",0.0482835062077451,0.0
International Bank Transfer in US Dollars (USD),"$10,030.00",Netherlands,yyy,USD,USD,10030.0,10000,0.0,30.0
Domestic Bank Transfer in New Zealand Dollar (NZD),"$15,447.00",New Zealand,yyy,USD,NZD,15447.0,"14,982.01",0.031036556510107775,0.0
VISA: Debit/Credit in NZD,"$15,706.00",New Zealand,yyy,USD,NZD,15706.0,"14,982.01",0.048323956531867204,0.0
MasterCard: Debit/Credit in NZD,"$15,706.00",New Zealand,yyy,USD,NZD,15706.0,"14,982.01",0.048323956531867204,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",New Zealand,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in British Pounds (GBP),"£7,864.00",New Zealand,yyy,USD,GBP,7864.0,"7,646.46",0.028449766297083873,0.0
VISA: Debit/Credit in NIO,"339,600.00 C$",Nicaragua,yyy,USD,NIO,339600.0,"322,616.39",0.05264335764218298,0.0
MasterCard: Debit/Credit in NIO,"339,600.00 C$",Nicaragua,yyy,USD,NIO,339600.0,"322,616.39",0.05264335764218298,0.0
