0,1,2,3,4,5,6,7,8,9
Debit/Credit Card in AFN,"799,333.00 ?",Afghanistan,yyy,USD,AFN,799333.0,"758,567.00",0.05374080338322126,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Afghanistan,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in Euros (EUR),"8.754,00 €",Albania,yyy,USD,EUR,8754.0,"8,514.59",0.028117619286424814,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Albania,yyy,USD,USD,10000.0,"8,514.59",0.0,-841459.0
Debit/Credit Card in DZD,"1,244,500.00 ?.?",Algeria,yyy,USD,DZD,1244500.0,"1,180,996.01",0.0537715533856884,0.0
VISA: Debit/Credit in EUR,"8.840,00 €",Algeria,yyy,USD,EUR,8840.0,"8,514.59",0.038217929459903516,0.0
MasterCard: Debit/Credit in EUR,"8.840,00 €",Algeria,yyy,USD,EUR,8840.0,"8,514.59",0.038217929459903516,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Algeria,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in Euros (EUR),"8.756,00 €",Algeria,yyy,USD,EUR,8756.0,"8,514.59",0.02835251022069176,0.0
Debit/Credit Card in AOA,"3,046,900.00 Kz",Angola,yyy,USD,AOA,3046900.0,"2,891,490.10",0.053747339477316525,0.0
VISA: Debit/Credit in EUR,"8.840,00 €",Angola,yyy,USD,EUR,8840.0,"8,514.59",0.038217929459903516,0.0
MasterCard: Debit/Credit in EUR,"8.840,00 €",Angola,yyy,USD,EUR,8840.0,"8,514.59",0.038217929459903516,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Angola,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in South African Rand (ZAR),"R147,655.00",Angola,yyy,USD,ZAR,147655.0,"143,372.72",0.02986816459923477,0.0
International Bank Transfer in British Pounds (GBP),"£7,868.00",Angola,yyy,USD,GBP,7868.0,"7,651.57",0.028285698229252337,0.0
International Bank Transfer in Euros (EUR),"8.756,00 €",Angola,yyy,USD,EUR,8756.0,"8,514.59",0.02835251022069176,0.0
VISA: Debit/Credit in ARS,"$391.943,00",Argentina,yyy,USD,ARS,391943.0,"371,863.56",0.05399679387784058,0.0
MasterCard: Debit/Credit in ARS,"$391.943,00",Argentina,yyy,USD,ARS,391943.0,"371,863.56",0.05399679387784058,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Argentina,yyy,USD,USD,10000.0,10000,0.0,0.0
Domestic Bank Transfer in AUD (EFT),"A$14,118.00",Australia,yyy,USD,AUD,14118.0,"13,722.45",0.02882502760075637,0.0
American Express in AUD,"A$14,118.00",Australia,yyy,USD,AUD,14118.0,"13,722.45",0.02882502760075637,0.0
VISA: Debit/Credit in AUD,"A$14,385.00",Australia,yyy,USD,AUD,14385.0,"13,722.45",0.048282194506083044,0.0
MasterCard: Debit/Credit in AUD,"A$14,385.00",Australia,yyy,USD,AUD,14385.0,"13,722.45",0.048282194506083044,0.0
Domestic Bank Transfer in New Zealand Dollar (NZD),"$15,257.00",Australia,yyy,USD,NZD,15257.0,"14,962.31",0.019695488196675548,0.0
International Bank Transfer in US Dollars (USD),"$10,030.00",Australia,yyy,USD,USD,10030.0,10000,0.0,30.0
Domestic Bank Transfer in Euros (EUR),"8.754,00 €",Austria,yyy,USD,EUR,8754.0,"8,514.59",0.028117619286424814,0.0
VISA: Debit/Credit in EUR,"8.839,00 €",Austria,yyy,USD,EUR,8839.0,"8,514.59",0.03810048399277004,0.0
MasterCard: Debit/Credit in EUR,"8.839,00 €",Austria,yyy,USD,EUR,8839.0,"8,514.59",0.03810048399277004,0.0
American Express in EUR,"8.839,00 €",Austria,yyy,USD,EUR,8839.0,"8,514.59",0.03810048399277004,0.0
PayPal in EUR,"8.924,00 €",Austria,yyy,USD,EUR,8924.0,"8,514.59",0.048083348699115264,0.0
