0,1,2,3,4,5,6,7,8,9
Debit/Credit Card in AFN,"799,333.00 ?",Afghanistan,yyy,USD,AFN,799333.0,"758,566.99",0.05374081727442425,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Afghanistan,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in Euros (EUR),"8.764,00 €",Albania,yyy,USD,EUR,8764.0,"8,523.61",0.02820283893796166,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Albania,yyy,USD,USD,10000.0,10000,0.0,0.0
Debit/Credit Card in DZD,"1,248,700.00 ?.?",Algeria,yyy,USD,DZD,1248700.0,"1,184,961.60",0.053789422374530875,0.0
VISA: Debit/Credit in EUR,"8.850,00 €",Algeria,yyy,USD,EUR,8850.0,"8,523.61",0.03829246058888187,0.0
MasterCard: Debit/Credit in EUR,"8.850,00 €",Algeria,yyy,USD,EUR,8850.0,"8,523.61",0.03829246058888187,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Algeria,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in Euros (EUR),"8.765,00 €",Algeria,yyy,USD,EUR,8765.0,"8,523.61",0.028320160119949107,0.0
Debit/Credit Card in AOA,"3,046,900.00 Kz",Angola,yyy,USD,AOA,3046900.0,"2,891,491.15",0.053746956825373685,0.0
VISA: Debit/Credit in EUR,"8.850,00 €",Angola,yyy,USD,EUR,8850.0,"8,523.61",0.03829246058888187,0.0
MasterCard: Debit/Credit in EUR,"8.850,00 €",Angola,yyy,USD,EUR,8850.0,"8,523.61",0.03829246058888187,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Angola,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in South African Rand (ZAR),"R147,937.00",Angola,yyy,USD,ZAR,147937.0,"143,646.62",0.029867601479241244,0.0
International Bank Transfer in British Pounds (GBP),"£7,875.00",Angola,yyy,USD,GBP,7875.0,"7,657.86",0.02835518016782761,0.0
International Bank Transfer in Euros (EUR),"8.765,00 €",Angola,yyy,USD,EUR,8765.0,"8,523.61",0.028320160119949107,0.0
VISA: Debit/Credit in ARS,"$392.208,00",Argentina,yyy,USD,ARS,392208.0,"372,205.01",0.053741861239320746,0.0
MasterCard: Debit/Credit in ARS,"$392.208,00",Argentina,yyy,USD,ARS,392208.0,"372,205.01",0.053741861239320746,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Argentina,yyy,USD,USD,10000.0,10000,0.0,0.0
Domestic Bank Transfer in AUD (EFT),"A$14,129.00",Australia,yyy,USD,AUD,14129.0,"13,733.01",0.02883490218094939,0.0
American Express in AUD,"A$14,129.00",Australia,yyy,USD,AUD,14129.0,"13,733.01",0.02883490218094939,0.0
VISA: Debit/Credit in AUD,"A$14,396.00",Australia,yyy,USD,AUD,14396.0,"13,733.01",0.04827710749500654,0.0
MasterCard: Debit/Credit in AUD,"A$14,396.00",Australia,yyy,USD,AUD,14396.0,"13,733.01",0.04827710749500654,0.0
Domestic Bank Transfer in New Zealand Dollar (NZD),"$15,252.00",Australia,yyy,USD,NZD,15252.0,"14,957.00",0.019723206525372735,0.0
International Bank Transfer in US Dollars (USD),"$10,030.00",Australia,yyy,USD,USD,10030.0,10000,0.0,30.0
Domestic Bank Transfer in Euros (EUR),"8.691,00 €",Austria,yyy,USD,EUR,8691.0,"8,523.61",0.019638392652878228,0.0
VISA: Debit/Credit in EUR,"8.850,00 €",Austria,yyy,USD,EUR,8850.0,"8,523.61",0.03829246058888187,0.0
MasterCard: Debit/Credit in EUR,"8.850,00 €",Austria,yyy,USD,EUR,8850.0,"8,523.61",0.03829246058888187,0.0
American Express in EUR,"8.850,00 €",Austria,yyy,USD,EUR,8850.0,"8,523.61",0.03829246058888187,0.0
PayPal in EUR,"8.935,00 €",Austria,yyy,USD,EUR,8935.0,"8,523.61",0.04826476105781463,0.0
Online Bank Transfer,"8.765,00 €",Austria,yyy,USD,EUR,8765.0,"8,523.61",0.028320160119949107,0.0
International Bank Transfer in US Dollars (USD),"$10,030.00",Austria,yyy,USD,USD,10030.0,10000,0.0,30.0
MasterCard: Debit/Credit in AZN,"???17,914.00",Azerbaijan,yyy,USD,AZN,17914.0,"17,000.00",0.053764705882352944,0.0
VISA: Debit/Credit in AZN,"???17,914.00",Azerbaijan,yyy,USD,AZN,17914.0,"17,000.00",0.053764705882352944,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Azerbaijan,yyy,USD,USD,10000.0,10000,0.0,0.0
VISA: Debit/Credit in BSD,"$10,538.00",Bahamas,yyy,USD,BSD,10538.0,"10,000.00",0.0538,0.0
MasterCard: Debit/Credit in BSD,"$10,538.00",Bahamas,yyy,USD,BSD,10538.0,"10,000.00",0.0538,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Bahamas,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in Canadian Dollars (CAD),"$13,262.00",Bahamas,yyy,USD,CAD,13262.0,"12,929.88",0.02568623993416805,0.0
MasterCard: Debit/Credit in BHD,"?.?3,963.000",Bahrain,yyy,USD,BHD,3963.0,"3,760.00",0.05398936170212766,0.0
