0,1,2,3,4,5,6,7,8,9
Debit/Credit Card in AFN,"799,333.00 ?",Afghanistan,yyy,USD,AFN,799333.0,"758,566.92",0.053740914512855315,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Afghanistan,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in Euros (EUR),"8.767,00 €",Albania,yyy,USD,EUR,8767.0,"8,524.99",0.028388303094783716,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Albania,yyy,USD,USD,10000.0,10000,0.0,0.0
Debit/Credit Card in DZD,"1,248,700.00 ?.?",Algeria,yyy,USD,DZD,1248700.0,"1,184,961.51",0.05378950241177031,0.0
International Bank Transfer in Euros (EUR),"8.767,00 €",Algeria,yyy,USD,EUR,8767.0,"8,524.99",0.028388303094783716,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Algeria,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Angola,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in South African Rand (ZAR),"R147,889.00",Angola,yyy,USD,ZAR,147889.0,"143,599.33",0.029872493137676988,0.0
International Bank Transfer in British Pounds (GBP),"£7,875.00",Angola,yyy,USD,GBP,7875.0,"7,657.54",0.028398153976342277,0.0
International Bank Transfer in Euros (EUR),"8.767,00 €",Angola,yyy,USD,EUR,8767.0,"8,524.99",0.028388303094783716,0.0
VISA: Debit/Credit in ARS,"$392.208,00",Argentina,yyy,USD,ARS,392208.0,"372,205.04",0.05374177630695173,0.0
MasterCard: Debit/Credit in ARS,"$392.208,00",Argentina,yyy,USD,ARS,392208.0,"372,205.04",0.05374177630695173,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Argentina,yyy,USD,USD,10000.0,10000,0.0,0.0
Domestic Bank Transfer in AUD (EFT),"A$14,128.00",Australia,yyy,USD,AUD,14128.0,"13,732.29",0.02881602412998845,0.0
American Express in AUD,"A$14,128.00",Australia,yyy,USD,AUD,14128.0,"13,732.29",0.02881602412998845,0.0
VISA: Debit/Credit in AUD,"A$14,395.00",Australia,yyy,USD,AUD,14395.0,"13,732.29",0.04825924882157303,0.0
MasterCard: Debit/Credit in AUD,"A$14,395.00",Australia,yyy,USD,AUD,14395.0,"13,732.29",0.04825924882157303,0.0
Domestic Bank Transfer in New Zealand Dollar (NZD),"$15,252.00",Australia,yyy,USD,NZD,15252.0,"14,956.98",0.01972457006695205,0.0
International Bank Transfer in US Dollars (USD),"$10,030.00",Australia,yyy,USD,USD,10030.0,10000,0.0,30.0
Domestic Bank Transfer in Euros (EUR),"8.693,00 €",Austria,yyy,USD,EUR,8693.0,"8,524.99",0.01970794100638244,0.0
MasterCard: Debit/Credit in EUR,"8.851,00 €",Austria,yyy,USD,EUR,8851.0,"8,524.99",0.038241687087023,0.0
VISA: Debit/Credit in EUR,"8.851,00 €",Austria,yyy,USD,EUR,8851.0,"8,524.99",0.038241687087023,0.0
American Express in EUR,"8.851,00 €",Austria,yyy,USD,EUR,8851.0,"8,524.99",0.038241687087023,0.0
PayPal in EUR,"8.937,00 €",Austria,yyy,USD,EUR,8937.0,"8,524.99",0.04832967546002989,0.0
Online Bank Transfer,"8.767,00 €",Austria,yyy,USD,EUR,8767.0,"8,524.99",0.028388303094783716,0.0
International Bank Transfer in US Dollars (USD),"$10,030.00",Austria,yyy,USD,USD,10030.0,10000,0.0,30.0
MasterCard: Debit/Credit in AZN,"???17,914.00",Azerbaijan,yyy,USD,AZN,17914.0,"17,000.00",0.053764705882352944,0.0
