0,1,2,3,4,5,6,7,8,9
Debit/Credit Card in AFN,"799,240.00 ?",Afghanistan,yyy,USD,AFN,799240.0,"758,521.54",0.05368134964235816,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Afghanistan,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in Euros (EUR),"8.760,00 €",Albania,yyy,USD,EUR,8760.0,"8,518.37",0.028365755420344405,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Albania,yyy,USD,USD,10000.0,10000,0.0,0.0
Debit/Credit Card in DZD,"1,248,600.00 ?.?",Algeria,yyy,USD,DZD,1248600.0,"1,184,920.25",0.05374180245463777,0.0
International Bank Transfer in Euros (EUR),"8.760,00 €",Algeria,yyy,USD,EUR,8760.0,"8,518.37",0.028365755420344405,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Algeria,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Angola,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in South African Rand (ZAR),"R147,739.00",Angola,yyy,USD,ZAR,147739.0,"143,453.96",0.02987048945877833,0.0
International Bank Transfer in British Pounds (GBP),"£7,872.00",Angola,yyy,USD,GBP,7872.0,"7,654.93",0.028356888959141326,0.0
International Bank Transfer in Euros (EUR),"8.760,00 €",Angola,yyy,USD,EUR,8760.0,"8,518.37",0.028365755420344405,0.0
VISA: Debit/Credit in ARS,"$392.226,00",Argentina,yyy,USD,ARS,392226.0,"372,222.33",0.05374118742419345,0.0
MasterCard: Debit/Credit in ARS,"$392.226,00",Argentina,yyy,USD,ARS,392226.0,"372,222.33",0.05374118742419345,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Argentina,yyy,USD,USD,10000.0,10000,0.0,0.0
Domestic Bank Transfer in AUD (EFT),"A$14,124.00",Australia,yyy,USD,AUD,14124.0,"13,727.70",0.028868637863589622,0.0
American Express in AUD,"A$14,124.00",Australia,yyy,USD,AUD,14124.0,"13,727.70",0.028868637863589622,0.0
VISA: Debit/Credit in AUD,"A$14,390.00",Australia,yyy,USD,AUD,14390.0,"13,727.70",0.04824551818585773,0.0
MasterCard: Debit/Credit in AUD,"A$14,390.00",Australia,yyy,USD,AUD,14390.0,"13,727.70",0.04824551818585773,0.0
Domestic Bank Transfer in New Zealand Dollar (NZD),"$15,251.00",Australia,yyy,USD,NZD,15251.0,"14,955.98",0.019725888908650617,0.0
International Bank Transfer in US Dollars (USD),"$10,030.00",Australia,yyy,USD,USD,10030.0,10000,0.0,30.0
Domestic Bank Transfer in Euros (EUR),"8.686,00 €",Austria,yyy,USD,EUR,8686.0,"8,518.37",0.019678647440766153,0.0
MasterCard: Debit/Credit in EUR,"8.844,00 €",Austria,yyy,USD,EUR,8844.0,"8,518.37",0.03822679691067647,0.0
VISA: Debit/Credit in EUR,"8.844,00 €",Austria,yyy,USD,EUR,8844.0,"8,518.37",0.03822679691067647,0.0
American Express in EUR,"8.844,00 €",Austria,yyy,USD,EUR,8844.0,"8,518.37",0.03822679691067647,0.0
PayPal in EUR,"8.930,00 €",Austria,yyy,USD,EUR,8930.0,"8,518.37",0.04832262510315931,0.0
Online Bank Transfer,"8.760,00 €",Austria,yyy,USD,EUR,8760.0,"8,518.37",0.028365755420344405,0.0
International Bank Transfer in US Dollars (USD),"$10,030.00",Austria,yyy,USD,USD,10030.0,10000,0.0,30.0
MasterCard: Debit/Credit in AZN,"???17,914.00",Azerbaijan,yyy,USD,AZN,17914.0,"17,000.00",0.053764705882352944,0.0
VISA: Debit/Credit in AZN,"???17,914.00",Azerbaijan,yyy,USD,AZN,17914.0,"17,000.00",0.053764705882352944,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Azerbaijan,yyy,USD,USD,10000.0,10000,0.0,0.0
MasterCard: Debit/Credit in BSD,"$10,538.00",Bahamas,yyy,USD,BSD,10538.0,"10,000.00",0.0538,0.0
VISA: Debit/Credit in BSD,"$10,538.00",Bahamas,yyy,USD,BSD,10538.0,"10,000.00",0.0538,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Bahamas,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in Canadian Dollars (CAD),"$13,259.00",Bahamas,yyy,USD,CAD,13259.0,"12,928.48",0.02556526366595303,0.0
MasterCard: Debit/Credit in BHD,"?.?3,963.000",Bahrain,yyy,USD,BHD,3963.0,"3,760.00",0.05398936170212766,0.0
Visa: Debit/Credit in BHD,"?.?3,963.000",Bahrain,yyy,USD,BHD,3963.0,"3,760.00",0.05398936170212766,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Bahrain,yyy,USD,USD,10000.0,10000,0.0,0.0
MasterCard: Debit/Credit in BDT,"?884,110.00",Bangladesh,yyy,USD,BDT,884110.0,"839,018.84",0.05374272644461719,0.0
VISA: Debit/Credit in BDT,"?884,110.00",Bangladesh,yyy,USD,BDT,884110.0,"839,018.84",0.05374272644461719,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Bangladesh,yyy,USD,USD,10000.0,10000,0.0,0.0
MasterCard: Debit/Credit in BBD,"21,075.00 $",Barbados,yyy,USD,BBD,21075.0,"20,000.00",0.05375,0.0
VISA: Debit/Credit in BBD,"21,075.00 $",Barbados,yyy,USD,BBD,21075.0,"20,000.00",0.05375,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Barbados,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in Canadian Dollars (CAD),"$13,260.00",Barbados,yyy,USD,CAD,13260.0,"12,928.48",0.025642612279247093,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Belarus,yyy,USD,USD,10000.0,10000,0.0,0.0
Online Bank Transfer,"8.762,00 €",Belgium,yyy,USD,EUR,8762.0,"8,518.37",0.02860054212249517,0.0
Domestic Bank Transfer in Euros (EUR),"8.688,00 €",Belgium,yyy,USD,EUR,8688.0,"8,518.37",0.01991343414291692,0.0
MasterCard: Debit/Credit in EUR,"8.847,00 €",Belgium,yyy,USD,EUR,8847.0,"8,518.37",0.03857897696390262,0.0
VISA: Debit/Credit in EUR,"8.847,00 €",Belgium,yyy,USD,EUR,8847.0,"8,518.37",0.03857897696390262,0.0
American Express in EUR,"8.847,00 €",Belgium,yyy,USD,EUR,8847.0,"8,518.37",0.03857897696390262,0.0
PayPal in EUR,"8.932,00 €",Belgium,yyy,USD,EUR,8932.0,"8,518.37",0.04855741180531007,0.0
International Bank Transfer in US Dollars (USD),"$10,030.00",Belgium,yyy,USD,USD,10030.0,10000,0.0,30.0
Debit/Credit Card in BTN,"762,070.00 Nu",Bhutan,yyy,USD,BTN,762070.0,"723,203.99",0.053741420867990525,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Bhutan,yyy,USD,USD,10000.0,10000,0.0,0.0
VISA: Debit/Credit in BOB,"Bs72,631.00",Bolivia,yyy,USD,BOB,72631.0,"68,926.32",0.05374840844542393,0.0
Mastercard: Debit/Credit in BOB,"Bs72,631.00",Bolivia,yyy,USD,BOB,72631.0,"68,926.32",0.05374840844542393,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Bolivia,yyy,USD,USD,10000.0,10000,0.0,0.0
VISA: Debit/Credit in BAM,"17,561.00 KM",Bosnia and Herzegovina,yyy,USD,BAM,17561.0,"16,664.84",0.053775493794119826,0.0
MasterCard: Debit/Credit in BAM,"17,561.00 KM",Bosnia and Herzegovina,yyy,USD,BAM,17561.0,"16,664.84",0.053775493794119826,0.0
International Bank Transfer in Euros (EUR),"8.762,00 €",Bosnia and Herzegovina,yyy,USD,EUR,8762.0,"8,518.37",0.02860054212249517,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Bosnia and Herzegovina,yyy,USD,USD,10000.0,10000,0.0,0.0
Mastercard: Debit/Credit in BWP,"P112,000.00",Botswana,yyy,USD,BWP,112000.0,"106,270.00",0.05391926225651642,0.0
VISA: Debit/Credit in BWP,"P112,000.00",Botswana,yyy,USD,BWP,112000.0,"106,270.00",0.05391926225651642,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Botswana,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in South African Rand (ZAR),"R147,836.00",Botswana,yyy,USD,ZAR,147836.0,"143,596.12",0.02952642453013358,0.0
International Bank Transfer in British Pounds (GBP),"£7,873.00",Botswana,yyy,USD,GBP,7873.0,"7,657.03",0.028205453028132352,0.0
Boleto,"R$45.003,00",Brazil,yyy,USD,BRL,45003.0,"40,555.32",0.10966945890206267,0.0
Cartão de Crédito/Débito em Reais,"R$45.765,00",Brazil,yyy,USD,BRL,45765.0,"40,555.32",0.12845860912945578,0.0
Pagamento com Débito em Conta,"R$45.765,00",Brazil,yyy,USD,BRL,45765.0,"40,555.32",0.12845860912945578,0.0
Pagamento Parcelado via Cartão de Crédito em Reais,"R$45.765,00",Brazil,yyy,USD,BRL,45765.0,"40,555.32",0.12845860912945578,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Brazil,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in Euros (EUR),"8.764,00 €",Brazil,yyy,USD,EUR,8764.0,"8,518.37",0.028835328824645932,0.0
International Bank Transfer in British Pounds (GBP),"£7,874.00",Brazil,yyy,USD,GBP,7874.0,"7,657.03",0.028336051967930157,0.0
VISA: Debit/Credit in BND,"$14,400.00",Brunei Darussalam,yyy,USD,BND,14400.0,"13,664.32",0.05383948853656825,0.0
MasterCard: Debit/Credit in BND,"$14,400.00",Brunei Darussalam,yyy,USD,BND,14400.0,"13,664.32",0.05383948853656825,0.0
MasterCard: Debit/Credit in SGD,"S$14,324.00",Brunei Darussalam,yyy,USD,SGD,14324.0,"13,664.32",0.04827755790262525,0.0
VISA: Debit/Credit in SGD,"S$14,324.00",Brunei Darussalam,yyy,USD,SGD,14324.0,"13,664.32",0.04827755790262525,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Brunei Darussalam,yyy,USD,USD,10000.0,10000,0.0,0.0
MasterCard: Debit/Credit in BGN,"??17,565.00",Bulgaria,yyy,USD,BGN,17565.0,"16,668.32",0.05379546349002181,0.0
VISA: Debit/Credit in BGN,"??17,565.00",Bulgaria,yyy,USD,BGN,17565.0,"16,668.32",0.05379546349002181,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Bulgaria,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in British Pounds (GBP),"£7,874.00",Bulgaria,yyy,USD,GBP,7874.0,"7,657.03",0.028336051967930157,0.0
International Bank Transfer in Euros (EUR),"8.764,00 €",Bulgaria,yyy,USD,EUR,8764.0,"8,518.37",0.028835328824645932,0.0
American Express in EUR,"8.848,00 €",Bulgaria,yyy,USD,EUR,8848.0,"8,518.37",0.038696370314978,0.0
