0,1,2,3,4,5,6,7,8,9
Debit/Credit Card in AFN,"797,456.00 ?",Afghanistan,yyy,USD,AFN,797456.0,"756,518.99",0.054112336294426674,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Afghanistan,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in Euros (EUR),"8.731,00 €",Albania,yyy,USD,EUR,8731.0,"8,489.39",0.028460230947099922,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Albania,yyy,USD,USD,10000.0,"8,489.39",0.0,-838939.0
Debit/Credit Card in DZD,"1,242,000.00 ?.?",Algeria,yyy,USD,DZD,1242000.0,"1,179,681.78",0.05282629693577193,0.0
VISA: Debit/Credit in EUR,"8.816,00 €",Algeria,yyy,USD,EUR,8816.0,"8,489.39",0.03847272890042754,0.0
MasterCard: Debit/Credit in EUR,"8.816,00 €",Algeria,yyy,USD,EUR,8816.0,"8,489.39",0.03847272890042754,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Algeria,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in Euros (EUR),"8.731,00 €",Algeria,yyy,USD,EUR,8731.0,"8,489.39",0.028460230947099922,0.0
Debit/Credit Card in AOA,"3,034,300.00 Kz",Angola,yyy,USD,AOA,3034300.0,"2,879,485.81",0.053764526104749216,0.0
VISA: Debit/Credit in EUR,"8.815,00 €",Angola,yyy,USD,EUR,8815.0,"8,489.39",0.03835493480685898,0.0
MasterCard: Debit/Credit in EUR,"8.815,00 €",Angola,yyy,USD,EUR,8815.0,"8,489.39",0.03835493480685898,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Angola,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in South African Rand (ZAR),"R147,129.00",Angola,yyy,USD,ZAR,147129.0,"142,852.18",0.029938780073219793,0.0
International Bank Transfer in British Pounds (GBP),"£7,750.00",Angola,yyy,USD,GBP,7750.0,"7,535.86",0.02841613299610135,0.0
International Bank Transfer in Euros (EUR),"8.731,00 €",Angola,yyy,USD,EUR,8731.0,"8,489.39",0.028460230947099922,0.0
VISA: Debit/Credit in ARS,"$402.616,00",Argentina,yyy,USD,ARS,402616.0,"382,071.79",0.05377054924677905,0.0
MasterCard: Debit/Credit in ARS,"$402.616,00",Argentina,yyy,USD,ARS,402616.0,"382,071.79",0.05377054924677905,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Argentina,yyy,USD,USD,10000.0,10000,0.0,0.0
Domestic Bank Transfer in AUD (EFT),"A$14,110.00",Australia,yyy,USD,AUD,14110.0,"13,714.08",0.02886959971066233,0.0
American Express in AUD,"A$14,110.00",Australia,yyy,USD,AUD,14110.0,"13,714.08",0.02886959971066233,0.0
VISA: Debit/Credit in AUD,"A$14,376.00",Australia,yyy,USD,AUD,14376.0,"13,714.08",0.04826572398585979,0.0
MasterCard: Debit/Credit in AUD,"A$14,376.00",Australia,yyy,USD,AUD,14376.0,"13,714.08",0.04826572398585979,0.0
Domestic Bank Transfer in New Zealand Dollar (NZD),"$15,247.00",Australia,yyy,USD,NZD,15247.0,"14,952.12",0.019721618071551004,0.0
International Bank Transfer in US Dollars (USD),"$10,030.00",Australia,yyy,USD,USD,10030.0,10000,0.0,30.0
Domestic Bank Transfer in Euros (EUR),"8.730,00 €",Austria,yyy,USD,EUR,8730.0,"8,489.39",0.028342436853531362,0.0
