0,1,2,3,4,5,6,7,8,9
Debit/Credit Card in AFN,"797,523.00 ?",Afghanistan,yyy,USD,AFN,797523.0,"756,849.31",0.05374080343681616,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Afghanistan,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in Euros (EUR),"8.731,00 €",Albania,yyy,USD,EUR,8731.0,"8,490.39",0.02833909867509038,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Albania,yyy,USD,USD,10000.0,"8,490.39",0.0,-839039.0
Debit/Credit Card in DZD,"1,242,500.00 ?.?",Algeria,yyy,USD,DZD,1242500.0,"1,178,945.27",0.053908125862365076,0.0
VISA: Debit/Credit in EUR,"8.815,00 €",Algeria,yyy,USD,EUR,8815.0,"8,490.39",0.038232637134454434,0.0
MasterCard: Debit/Credit in EUR,"8.815,00 €",Algeria,yyy,USD,EUR,8815.0,"8,490.39",0.038232637134454434,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Algeria,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in Euros (EUR),"8.731,00 €",Algeria,yyy,USD,EUR,8731.0,"8,490.39",0.02833909867509038,0.0
Debit/Credit Card in AOA,"3,039,000.00 Kz",Angola,yyy,USD,AOA,3039000.0,"2,885,136.50",0.053329712476342106,0.0
VISA: Debit/Credit in EUR,"8.816,00 €",Angola,yyy,USD,EUR,8816.0,"8,490.39",0.03835041735420877,0.0
MasterCard: Debit/Credit in EUR,"8.816,00 €",Angola,yyy,USD,EUR,8816.0,"8,490.39",0.03835041735420877,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Angola,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in South African Rand (ZAR),"R147,306.00",Angola,yyy,USD,ZAR,147306.0,"143,028.62",0.029905762916540794,0.0
International Bank Transfer in British Pounds (GBP),"£7,748.00",Angola,yyy,USD,GBP,7748.0,"7,534.21",0.028375901388466736,0.0
International Bank Transfer in Euros (EUR),"8.731,00 €",Angola,yyy,USD,EUR,8731.0,"8,490.39",0.02833909867509038,0.0
VISA: Debit/Credit in ARS,"$402.528,00",Argentina,yyy,USD,ARS,402528.0,"381,971.25",0.053817532078657755,0.0
MasterCard: Debit/Credit in ARS,"$402.528,00",Argentina,yyy,USD,ARS,402528.0,"381,971.25",0.053817532078657755,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Argentina,yyy,USD,USD,10000.0,10000,0.0,0.0
Domestic Bank Transfer in AUD (EFT),"A$14,120.00",Australia,yyy,USD,AUD,14120.0,"13,723.76",0.02887255387736304,0.0
American Express in AUD,"A$14,120.00",Australia,yyy,USD,AUD,14120.0,"13,723.76",0.02887255387736304,0.0
VISA: Debit/Credit in AUD,"A$14,386.00",Australia,yyy,USD,AUD,14386.0,"13,723.76",0.04825499717278645,0.0
