0,1,2,3,4,5,6,7,8,9
Debit/Credit Card in AFN,"797,711.00 ?",Afghanistan,xxx,USD,AFN,797711.0,"757,232.75",0.05345549304358534,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Afghanistan,xxx,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in Euros (EUR),"8.786,00 €",Albania,xxx,USD,EUR,8786.0,"8,544.18",0.02830230636526849,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Albania,xxx,USD,USD,10000.0,"8,544.18",0.0,-844418.0
Debit/Credit Card in DZD,"1,244,600.00 ?.?",Algeria,xxx,USD,DZD,1244600.0,"1,181,209.59",0.053665675030626796,0.0
International Bank Transfer in Euros (EUR),"8.787,00 €",Algeria,xxx,USD,EUR,8787.0,"8,544.18",0.02841934509806672,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Algeria,xxx,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Angola,xxx,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in South African Rand (ZAR),"R148,926.00",Angola,xxx,USD,ZAR,148926.0,"144,541.03",0.030337199063822925,0.0
International Bank Transfer in British Pounds (GBP),"£7,783.00",Angola,xxx,USD,GBP,7783.0,"7,568.37",0.028358814381432212,0.0
International Bank Transfer in Euros (EUR),"8.787,00 €",Angola,xxx,USD,EUR,8787.0,"8,544.18",0.02841934509806672,0.0
VISA: Debit/Credit in ARS,"$414.135,00",Argentina,xxx,USD,ARS,414135.0,"393,051.49",0.053640580271047976,0.0
MasterCard: Debit/Credit in ARS,"$414.135,00",Argentina,xxx,USD,ARS,414135.0,"393,051.49",0.053640580271047976,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Argentina,xxx,USD,USD,10000.0,10000,0.0,0.0
Domestic Bank Transfer in AUD (EFT),"A$14,161.00",Australia,xxx,USD,AUD,14161.0,"13,764.67",0.02879328018761074,0.0
MasterCard: Debit/Credit in AUD,"A$14,428.00",Australia,xxx,USD,AUD,14428.0,"13,764.67",0.04819076665114383,0.0
VISA: Debit/Credit in AUD,"A$14,428.00",Australia,xxx,USD,AUD,14428.0,"13,764.67",0.04819076665114383,0.0
American Express in AUD,"A$14,161.00",Australia,xxx,USD,AUD,14161.0,"13,764.67",0.02879328018761074,0.0
Domestic Bank Transfer in New Zealand Dollar (NZD),"$15,309.00",Australia,xxx,USD,NZD,15309.0,"15,014.07",0.01964357432728103,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Australia,xxx,USD,USD,10000.0,10000,0.0,0.0
Domestic Bank Transfer in Euros (EUR),"8.786,00 €",Austria,xxx,USD,EUR,8786.0,"8,544.18",0.02830230636526849,0.0
MasterCard: Debit/Credit in EUR,"8.871,00 €",Austria,xxx,USD,EUR,8871.0,"8,544.18",0.03825059865311823,0.0
American Express in EUR,"8.871,00 €",Austria,xxx,USD,EUR,8871.0,"8,544.18",0.03825059865311823,0.0
VISA: Debit/Credit in EUR,"8.871,00 €",Austria,xxx,USD,EUR,8871.0,"8,544.18",0.03825059865311823,0.0
PayPal in EUR,"8.956,00 €",Austria,xxx,USD,EUR,8956.0,"8,544.18",0.04819889094096797,0.0
Online Bank Transfer,"8.786,00 €",Austria,xxx,USD,EUR,8786.0,"8,544.18",0.02830230636526849,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Austria,xxx,USD,USD,10000.0,10000,0.0,0.0
MasterCard: Debit/Credit in AZN,"???17,877.00",Azerbaijan,xxx,USD,AZN,17877.0,"16,964.99",0.053758357653025335,0.0
VISA: Debit/Credit in AZN,"???17,877.00",Azerbaijan,xxx,USD,AZN,17877.0,"16,964.99",0.053758357653025335,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Azerbaijan,xxx,USD,USD,10000.0,10000,0.0,0.0
MasterCard: Debit/Credit in BSD,"$10,538.00",Bahamas,xxx,USD,BSD,10538.0,"10,000.00",0.0538,0.0
VISA: Debit/Credit in BSD,"$10,538.00",Bahamas,xxx,USD,BSD,10538.0,"10,000.00",0.0538,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Bahamas,xxx,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in Canadian Dollars (CAD),"$13,243.00",Bahamas,xxx,USD,CAD,13243.0,"12,910.64",0.025743108010137423,0.0
MasterCard: Debit/Credit in BHD,"?.?3,963.000",Bahrain,xxx,USD,BHD,3963.0,"3,760.00",0.05398936170212766,0.0
Visa: Debit/Credit in BHD,"?.?3,963.000",Bahrain,xxx,USD,BHD,3963.0,"3,760.00",0.05398936170212766,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Bahrain,xxx,USD,USD,10000.0,10000,0.0,0.0
MasterCard: Debit/Credit in BDT,"?885,490.00",Bangladesh,xxx,USD,BDT,885490.0,"840,305.02",0.053772117177165,0.0
VISA: Debit/Credit in BDT,"?885,490.00",Bangladesh,xxx,USD,BDT,885490.0,"840,305.02",0.053772117177165,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Bangladesh,xxx,USD,USD,10000.0,10000,0.0,0.0
MasterCard: Debit/Credit in BBD,"21,075.00 $",Barbados,xxx,USD,BBD,21075.0,"20,000.00",0.05375,0.0
VISA: Debit/Credit in BBD,"21,075.00 $",Barbados,xxx,USD,BBD,21075.0,"20,000.00",0.05375,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Barbados,xxx,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in Canadian Dollars (CAD),"$13,242.00",Barbados,xxx,USD,CAD,13242.0,"12,911.36",0.025608456429067068,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Belarus,xxx,USD,USD,10000.0,10000,0.0,0.0
Domestic Bank Transfer in Euros (EUR),"8.787,00 €",Belgium,xxx,USD,EUR,8787.0,"8,544.18",0.02841934509806672,0.0
MasterCard: Debit/Credit in EUR,"8.872,00 €",Belgium,xxx,USD,EUR,8872.0,"8,544.18",0.03836763738591646,0.0
American Express in EUR,"8.872,00 €",Belgium,xxx,USD,EUR,8872.0,"8,544.18",0.03836763738591646,0.0
VISA: Debit/Credit in EUR,"8.872,00 €",Belgium,xxx,USD,EUR,8872.0,"8,544.18",0.03836763738591646,0.0
PayPal in EUR,"8.958,00 €",Belgium,xxx,USD,EUR,8958.0,"8,544.18",0.048432968406564435,0.0
Online Bank Transfer,"8.787,00 €",Belgium,xxx,USD,EUR,8787.0,"8,544.18",0.02841934509806672,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Belgium,xxx,USD,USD,10000.0,10000,0.0,0.0
Debit/Credit Card in BTN,"758,940.00 Nu",Bhutan,xxx,USD,BTN,758940.0,"720,639.52",0.053147903961747726,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Bhutan,xxx,USD,USD,10000.0,10000,0.0,0.0
Mastercard: Debit/Credit in BOB,"Bs72,874.00",Bolivia,xxx,USD,BOB,72874.0,"69,154.98",0.05377805040215476,0.0
VISA: Debit/Credit in BOB,"Bs72,874.00",Bolivia,xxx,USD,BOB,72874.0,"69,154.98",0.05377805040215476,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Bolivia,xxx,USD,USD,10000.0,10000,0.0,0.0
VISA: Debit/Credit in BAM,"17,610.00 KM",Bosnia and Herzegovina,xxx,USD,BAM,17610.0,"16,711.50",0.05376537115160219,0.0
MasterCard: Debit/Credit in BAM,"17,610.00 KM",Bosnia and Herzegovina,xxx,USD,BAM,17610.0,"16,711.50",0.05376537115160219,0.0
International Bank Transfer in Euros (EUR),"8.787,00 €",Bosnia and Herzegovina,xxx,USD,EUR,8787.0,"8,544.18",0.02841934509806672,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Bosnia and Herzegovina,xxx,USD,USD,10000.0,10000,0.0,0.0
VISA: Debit/Credit in BWP,"P113,300.00",Botswana,xxx,USD,BWP,113300.0,"107,435.34",0.05458781067756665,0.0
Mastercard: Debit/Credit in BWP,"P113,300.00",Botswana,xxx,USD,BWP,113300.0,"107,435.34",0.05458781067756665,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Botswana,xxx,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in South African Rand (ZAR),"R149,081.00",Botswana,xxx,USD,ZAR,149081.0,"144,657.20",0.030581263843071676,0.0
International Bank Transfer in British Pounds (GBP),"£7,783.00",Botswana,xxx,USD,GBP,7783.0,"7,568.89",0.028288163786235453,0.0
Boleto,"R$45.864,00",Brazil,xxx,USD,BRL,45864.0,"41,315.00",0.1101052886360886,0.0
Cartão de Crédito/Débito em Reais,"R$46.641,00",Brazil,xxx,USD,BRL,46641.0,"41,315.00",0.1289120174270846,0.0
Pagamento Parcelado via Cartão de Crédito em Reais,"R$46.641,00",Brazil,xxx,USD,BRL,46641.0,"41,315.00",0.1289120174270846,0.0
Pagamento com Débito em Conta,"R$46.641,00",Brazil,xxx,USD,BRL,46641.0,"41,315.00",0.1289120174270846,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Brazil,xxx,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in Euros (EUR),"8.786,00 €",Brazil,xxx,USD,EUR,8786.0,"8,544.18",0.02830230636526849,0.0
International Bank Transfer in British Pounds (GBP),"£7,784.00",Brazil,xxx,USD,GBP,7784.0,"7,569.06",0.028397185383653926,0.0
Boleto,"R$45.864,00",Brunei Darussalam,xxx,USD,BRL,45864.0,"41,316.58",0.11006283675948005,0.0
Cartão de Crédito/Débito em Reais,"R$46.641,00",Brunei Darussalam,xxx,USD,BRL,46641.0,"41,316.58",0.1288688463565958,0.0
Pagamento Parcelado via Cartão de Crédito em Reais,"R$46.641,00",Brunei Darussalam,xxx,USD,BRL,46641.0,"41,316.58",0.1288688463565958,0.0
Pagamento com Débito em Conta,"R$46.641,00",Brunei Darussalam,xxx,USD,BRL,46641.0,"41,316.58",0.1288688463565958,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Brunei Darussalam,xxx,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in Euros (EUR),"8.785,00 €",Brunei Darussalam,xxx,USD,EUR,8785.0,"8,544.18",0.028185267632470253,0.0
International Bank Transfer in British Pounds (GBP),"£7,783.00",Brunei Darussalam,xxx,USD,GBP,7783.0,"7,569.63",0.028187639290163442,0.0
MasterCard: Debit/Credit in BGN,"??17,611.00",Bulgaria,xxx,USD,BGN,17611.0,"16,710.27",0.05390277954814611,0.0
VISA: Debit/Credit in BGN,"??17,611.00",Bulgaria,xxx,USD,BGN,17611.0,"16,710.27",0.05390277954814611,0.0
American Express in EUR,"8.871,00 €",Bulgaria,xxx,USD,EUR,8871.0,"8,544.18",0.03825059865311823,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Bulgaria,xxx,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in British Pounds (GBP),"£7,783.00",Bulgaria,xxx,USD,GBP,7783.0,"7,568.86",0.02829223951823661,0.0
International Bank Transfer in Euros (EUR),"8.786,00 €",Bulgaria,xxx,USD,EUR,8786.0,"8,544.18",0.02830230636526849,0.0
Debit/Credit Card in BIF,"18,684,000.00 FBu",Burundi,xxx,USD,BIF,18684000.0,"17,731,225.66",0.0537342628349359,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Burundi,xxx,USD,USD,10000.0,10000,0.0,0.0
Debit/Credit Card in KHR,"43,205,000.00 ?",Cambodia,xxx,USD,KHR,43205000.0,"40,993,609.39",0.053944764632983186,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Cambodia,xxx,USD,USD,10000.0,10000,0.0,0.0
MasterCard: Debit/Credit in XAF,"5,905,600.00 Fr",Cameroon,xxx,USD,XAF,5905600.0,"5,604,397.45",0.05374396671313877,0.0
VISA: Debit/Credit in XAF,"5,905,600.00 Fr",Cameroon,xxx,USD,XAF,5905600.0,"5,604,397.45",0.05374396671313877,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Cameroon,xxx,USD,USD,10000.0,10000,0.0,0.0
Bank Transfer in Canadian Dollars,"$13,239.00",Canada,xxx,USD,CAD,13239.0,"12,909.97",0.02548650384160464,0.0
Online Bill Pay,"$13,239.00",Canada,xxx,USD,CAD,13239.0,"12,909.97",0.02548650384160464,0.0
VISA: Debit/Credit in CAD,"$13,530.00",Canada,xxx,USD,CAD,13530.0,"12,909.97",0.048027222371547,0.0
MasterCard: Debit/Credit in CAD,"$13,530.00",Canada,xxx,USD,CAD,13530.0,"12,909.97",0.048027222371547,0.0
PayPal in CAD,"$13,446.00",Canada,xxx,USD,CAD,13446.0,"12,909.97",0.041520623208264676,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Canada,xxx,USD,USD,10000.0,10000,0.0,0.0
VISA: Debit/Credit in XAF,"5,905,500.00 Fr",Central African Republic,xxx,USD,XAF,5905500.0,"5,604,505.25",0.05370585565960528,0.0
MasterCard: Debit/Credit in XAF,"5,905,500.00 Fr",Central African Republic,xxx,USD,XAF,5905500.0,"5,604,505.25",0.05370585565960528,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Central African Republic,xxx,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Chad,xxx,USD,USD,10000.0,10000,0.0,0.0
MasterCard: Debit/Credit in CLP,$7.163.000,Chile,xxx,USD,CLP,7163000.0,"6,797,966.26",0.05369749216731185,0.0
VISA: Debit/Credit in CLP,$7.163.000,Chile,xxx,USD,CLP,7163000.0,"6,797,966.26",0.05369749216731185,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Chile,xxx,USD,USD,10000.0,10000,0.0,0.0
??????????-Domestic RMB Transfer ????????????,"CNY69,702.00",China,xxx,USD,CNY,69702.0,"68,563.56",0.01660415532682379,0.0
???-Alipay,"CNY69,702.00",China,xxx,USD,CNY,69702.0,"68,563.56",0.01660415532682379,0.0
????-UnionPay,"CNY69,702.00",China,xxx,USD,CNY,69702.0,"68,563.56",0.01660415532682379,0.0
????-mastercard?????,"CNY72,342.00",China,xxx,USD,CNY,72342.0,"68,563.56",0.055108573708833125,0.0
???-VISA?????,"CNY72,342.00",China,xxx,USD,CNY,72342.0,"68,563.56",0.055108573708833125,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",China,xxx,USD,USD,10000.0,10000,0.0,0.0
Debit/Credit Card in COP,"COL$31.924.000,00",Colombia,xxx,USD,COP,31924000.0,"30,295,828.09",0.05374244616001847,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Colombia,xxx,USD,USD,10000.0,10000,0.0,0.0
VISA: Debit/Credit in XAF,"5,904,500.00 Fr",Congo,xxx,USD,XAF,5904500.0,"5,603,169.53",0.05377857449906566,0.0
MasterCard: Debit/Credit in XAF,"5,904,500.00 Fr",Congo,xxx,USD,XAF,5904500.0,"5,603,169.53",0.05377857449906566,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Congo,xxx,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in South African Rand (ZAR),"R149,098.00",Congo,xxx,USD,ZAR,149098.0,"144,657.51",0.03069657427395225,0.0
MasterCard: Debit/Credit in CRC,"?6.190.600,00",Costa Rica,xxx,USD,CRC,6190600.0,"5,787,403.80",0.06966788804333995,0.0
VISA: Debit/Credit in CRC,"?6.190.600,00",Costa Rica,xxx,USD,CRC,6190600.0,"5,787,403.80",0.06966788804333995,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Costa Rica,xxx,USD,USD,10000.0,10000,0.0,0.0
Bank Transfer in Croatian Kuna (HRK),"kn65.578,00",Croatia,xxx,USD,HRK,65578.0,"63,461.73",0.03334718420061975,0.0
VISA,"kn66.856,00",Croatia,xxx,USD,HRK,66856.0,"63,461.73",0.0534853052382908,0.0
MasterCard,"kn66.856,00",Croatia,xxx,USD,HRK,66856.0,"63,461.73",0.0534853052382908,0.0
Online Bank Transfer,"kn65.578,00",Croatia,xxx,USD,HRK,65578.0,"63,461.73",0.03334718420061975,0.0
International Bank Transfer in Euros (EUR),"8.785,00 €",Croatia,xxx,USD,EUR,8785.0,"8,544.18",0.028185267632470253,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Croatia,xxx,USD,USD,10000.0,10000,0.0,0.0
American Express in EUR,"8.870,00 €",Croatia,xxx,USD,EUR,8870.0,"8,544.18",0.03813355992032,0.0
International Bank Transfer in British Pounds (GBP),"£7,786.00",Croatia,xxx,USD,GBP,7786.0,"7,569.86",0.028552707711899605,0.0
Domestic Bank Transfer in Euros (EUR),"8.786,00 €",Cyprus,xxx,USD,EUR,8786.0,"8,544.18",0.02830230636526849,0.0
MasterCard: Debit/Credit in EUR,"8.870,00 €",Cyprus,xxx,USD,EUR,8870.0,"8,544.18",0.03813355992032,0.0
American Express in EUR,"8.870,00 €",Cyprus,xxx,USD,EUR,8870.0,"8,544.18",0.03813355992032,0.0
VISA: Debit/Credit in EUR,"8.870,00 €",Cyprus,xxx,USD,EUR,8870.0,"8,544.18",0.03813355992032,0.0
PayPal in EUR,"8.956,00 €",Cyprus,xxx,USD,EUR,8956.0,"8,544.18",0.04819889094096797,0.0
Online Bank Transfer,"8.785,00 €",Cyprus,xxx,USD,EUR,8785.0,"8,544.18",0.028185267632470253,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Cyprus,xxx,USD,USD,10000.0,10000,0.0,0.0
Bank Transfer from a Czech Koruna (CZK) Account,"K?225.078,00",Czech Republic,xxx,USD,CZK,225078.0,"218,335.23",0.03088264775226604,0.0
MasterCard: Debit/Credit in CZK,"K?230.059,00",Czech Republic,xxx,USD,CZK,230059.0,"218,335.23",0.0536961900285171,0.0
VISA: Debit/Credit in CZK,"K?230.059,00",Czech Republic,xxx,USD,CZK,230059.0,"218,335.23",0.0536961900285171,0.0
Online Bank Transfer,"K?225.078,00",Czech Republic,xxx,USD,CZK,225078.0,"218,335.23",0.03088264775226604,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Czech Republic,xxx,USD,USD,10000.0,10000,0.0,0.0
American Express in EUR,"8.869,00 €",Czech Republic,xxx,USD,EUR,8869.0,"8,544.18",0.038016521187521767,0.0
International Bank Transfer in Euros (EUR),"8.785,00 €",Czech Republic,xxx,USD,EUR,8785.0,"8,544.18",0.028185267632470253,0.0
International Bank Transfer in British Pounds (GBP),"£7,785.00",Czech Republic,xxx,USD,GBP,7785.0,"7,570.71",0.0283051391481116,0.0
