Pyment_method,Pt_Amount,From_Country,Institute
Debit/Credit Card in AFN,"774,664.00 ?",Afghanistan,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Afghanistan,Miami University receives
International Bank Transfer in Norwegian Krone (NOK),"kr82.133,00",Åland Islands,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Åland Islands,Miami University receives
International Bank Transfer in Euros (EUR),"8.818,00 €",Albania,Miami University receives
Debit/Credit Card in DZD,"1,244,300.00 ?.?",Algeria,Miami University receives
VISA: Debit/Credit in EUR,"8.903,00 €",Algeria,Miami University receives
MasterCard: Debit/Credit in EUR,"8.903,00 €",Algeria,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Algeria,Miami University receives
International Bank Transfer in Euros (EUR),"8.818,00 €",Algeria,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",American Samoa,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.817,00 €",Andorra,Miami University receives
VISA: Debit/Credit in EUR,"8.903,00 €",Andorra,Miami University receives
MasterCard: Debit/Credit in EUR,"8.903,00 €",Andorra,Miami University receives
Debit/Credit Card in AOA,"2,649,400.00 Kz",Angola,Miami University receives
VISA: Debit/Credit in EUR,"8.903,00 €",Angola,Miami University receives
MasterCard: Debit/Credit in EUR,"8.903,00 €",Angola,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Angola,Miami University receives
International Bank Transfer in South African Rand (ZAR),"R140,533.00",Angola,Miami University receives
International Bank Transfer in British Pounds (GBP),"£7,790.00",Angola,Miami University receives
International Bank Transfer in Euros (EUR),"8.818,00 €",Angola,Miami University receives
MasterCard: Debit/Credit in XCD,"$28,500.00",Anguilla,Miami University receives
VISA: Debit/Credit in XCD,"$28,500.00",Anguilla,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Anguilla,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Antarctica,Miami University receives
Debit/Credit Card in XCD,"$28,500.00",Antigua and Barbuda,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Antigua and Barbuda,Miami University receives
Debit/Credit Card in ARS,"$294.541,00",Argentina,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Argentina,Miami University receives
Debit/Credit Card in AMD,"5,086,200.00 AMD",Armenia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Armenia,Miami University receives
Debit/Credit Card in AWG,"18,862.00 Afl",Aruba,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Aruba,Miami University receives
