Debit/Credit Card in AFN,"774,633.00 ?",Afghanistan,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Afghanistan,Miami University receives
International Bank Transfer in Norwegian Krone (NOK),"kr81.996,00",Åland Islands,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Åland Islands,Miami University receives
International Bank Transfer in Euros (EUR),"8.825,00 €",Albania,Miami University receives
Debit/Credit Card in DZD,"1,241,600.00 ?.?",Algeria,Miami University receives
VISA: Debit/Credit in EUR,"8.911,00 €",Algeria,Miami University receives
MasterCard: Debit/Credit in EUR,"8.911,00 €",Algeria,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Algeria,Miami University receives
International Bank Transfer in Euros (EUR),"8.826,00 €",Algeria,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",American Samoa,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.825,00 €",Andorra,Miami University receives
VISA: Debit/Credit in EUR,"8.911,00 €",Andorra,Miami University receives
MasterCard: Debit/Credit in EUR,"8.911,00 €",Andorra,Miami University receives
Debit/Credit Card in AOA,"2,649,400.00 Kz",Angola,Miami University receives
VISA: Debit/Credit in EUR,"8.911,00 €",Angola,Miami University receives
MasterCard: Debit/Credit in EUR,"8.911,00 €",Angola,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Angola,Miami University receives
International Bank Transfer in South African Rand (ZAR),"R141,215.00",Angola,Miami University receives
International Bank Transfer in British Pounds (GBP),"£7,796.00",Angola,Miami University receives
International Bank Transfer in Euros (EUR),"8.826,00 €",Angola,Miami University receives
MasterCard: Debit/Credit in XCD,"$28,500.00",Anguilla,Miami University receives
VISA: Debit/Credit in XCD,"$28,500.00",Anguilla,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Anguilla,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Antarctica,Miami University receives
Debit/Credit Card in XCD,"$28,500.00",Antigua and Barbuda,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Antigua and Barbuda,Miami University receives
Debit/Credit Card in ARS,"$294.559,00",Argentina,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Argentina,Miami University receives
Debit/Credit Card in AMD,"5,086,500.00 AMD",Armenia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Armenia,Miami University receives
Debit/Credit Card in AWG,"18,862.00 Afl",Aruba,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Aruba,Miami University receives
International Bank Transfer in Canadian Dollars (CAD),"$13,495.00",Aruba,Miami University receives
Domestic Bank Transfer in AUD (EFT),"A$13,929.00",Australia,Miami University receives
VISA: Debit/Credit in AUD,"A$14,192.00",Australia,Miami University receives
MasterCard: Debit/Credit in AUD,"A$14,192.00",Australia,Miami University receives
American Express in AUD,"A$14,192.00",Australia,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.826,00 €",Austria,Miami University receives
VISA: Debit/Credit in EUR,"8.911,00 €",Austria,Miami University receives
MasterCard: Debit/Credit in EUR,"8.911,00 €",Austria,Miami University receives
American Express in EUR,"8.911,00 €",Austria,Miami University receives
PayPal in EUR,"8.997,00 €",Austria,Miami University receives
Online Bank Transfer,"8.826,00 €",Austria,Miami University receives
Debit/Credit Card in AZN,"???17,932.00",Azerbaijan,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Azerbaijan,Miami University receives
