Terms,http://www.xe.com/legal/dfs.php,Privacy,http://www.xe.com/privacy.php
from,amount,timestamp,quotecurrency,mid
USD,10000.0,2018-07-03T00:00:00Z,FJD,21088.8440315853
USD,10000.0,2018-07-03T00:00:00Z,MXN,199686.3719147097
USD,10000.0,2018-07-03T00:00:00Z,STD,2.1025866602962676E8
USD,10000.0,2018-07-03T00:00:00Z,EUR,8589.7301417416
USD,10000.0,2018-07-03T00:00:00Z,SCR,135485.5738247669
USD,10000.0,2018-07-03T00:00:00Z,TVD,13627.0643031379
USD,10000.0,2018-07-03T00:00:00Z,CDF,1.6096117049693584E7
USD,10000.0,2018-07-03T00:00:00Z,BBD,20000.0
USD,10000.0,2018-07-03T00:00:00Z,HNL,240185.111245176
USD,10000.0,2018-07-03T00:00:00Z,UGX,3.8698029757547125E7
USD,10000.0,2018-07-03T00:00:00Z,ZAR,138428.391695825
USD,10000.0,2018-07-03T00:00:00Z,STN,210258.6660296268
USD,10000.0,2018-07-03T00:00:00Z,CUC,10000.0
USD,10000.0,2018-07-03T00:00:00Z,BSD,10000.0
USD,10000.0,2018-07-03T00:00:00Z,SDG,180448.821973044
USD,10000.0,2018-07-03T00:00:00Z,SDG,180448.821973044
USD,10000.0,2018-07-03T00:00:00Z,IQD,1.1885612812779276E7
USD,10000.0,2018-07-03T00:00:00Z,CUP,265000.0
USD,10000.0,2018-07-03T00:00:00Z,GMD,471989.0025756116
USD,10000.0,2018-07-03T00:00:00Z,TWD,305620.4852836912
USD,10000.0,2018-07-03T00:00:00Z,RSD,1013555.4755806231
USD,10000.0,2018-07-03T00:00:00Z,MYR,40404.7661325143
USD,10000.0,2018-07-03T00:00:00Z,FKP,7608.870266958
USD,10000.0,2018-07-03T00:00:00Z,XOF,5634493.614586361
USD,10000.0,2018-07-03T00:00:00Z,UYU,313406.0220166321
USD,10000.0,2018-07-03T00:00:00Z,CVE,947189.5427298405
USD,10000.0,2018-07-03T00:00:00Z,OMR,3845.0
USD,10000.0,2018-07-03T00:00:00Z,KES,1010052.8308578575
USD,10000.0,2018-07-03T00:00:00Z,SEK,89635.2722514977
USD,10000.0,2018-07-03T00:00:00Z,BTN,687144.0296908019
USD,10000.0,2018-07-03T00:00:00Z,GNF,9.039681323142901E7
USD,10000.0,2018-07-03T00:00:00Z,MZN,593822.0140524105
USD,10000.0,2018-07-03T00:00:00Z,MZN,593822.0140524105
USD,10000.0,2018-07-03T00:00:00Z,SVC,87500.0
USD,10000.0,2018-07-03T00:00:00Z,ARS,282852.0923165099
USD,10000.0,2018-07-03T00:00:00Z,QAR,36400.0
USD,10000.0,2018-07-03T00:00:00Z,IRR,4.265966019415377E8
USD,10000.0,2018-07-03T00:00:00Z,EUR,8589.7301417416
USD,10000.0,2018-07-03T00:00:00Z,XPD,10.5882926467
USD,10000.0,2018-07-03T00:00:00Z,THB,331698.3118863959
USD,10000.0,2018-07-03T00:00:00Z,UZS,7.848930987947412E7
USD,10000.0,2018-07-03T00:00:00Z,XPF,1025027.4632112302
USD,10000.0,2018-07-03T00:00:00Z,BDT,834858.2754189329
USD,10000.0,2018-07-03T00:00:00Z,LYD,13784.1264287008
USD,10000.0,2018-07-03T00:00:00Z,KWD,3026.2694230654
USD,10000.0,2018-07-03T00:00:00Z,XPT,12.185868893
USD,10000.0,2018-07-03T00:00:00Z,RUB,635541.9525995184
USD,10000.0,2018-07-03T00:00:00Z,ISK,1071001.6028556789
USD,10000.0,2018-07-03T00:00:00Z,EUR,8589.7301417416
USD,10000.0,2018-07-03T00:00:00Z,MKD,528247.3111666557
USD,10000.0,2018-07-03T00:00:00Z,DZD,1180754.8981509143
USD,10000.0,2018-07-03T00:00:00Z,PAB,10000.0
USD,10000.0,2018-07-03T00:00:00Z,SGD,13689.9262604923
USD,10000.0,2018-07-03T00:00:00Z,JEP,7608.870266958
USD,10000.0,2018-07-03T00:00:00Z,KGS,681607.3249570255
USD,10000.0,2018-07-03T00:00:00Z,XAF,5634493.614586361
USD,10000.0,2018-07-03T00:00:00Z,XAG,630.4835337401
USD,10000.0,2018-07-03T00:00:00Z,EUR,8589.7301417416
USD,10000.0,2018-07-03T00:00:00Z,CHF,9933.4381983463
USD,10000.0,2018-07-03T00:00:00Z,HRK,63417.5722641247
USD,10000.0,2018-07-03T00:00:00Z,EUR,8589.7301417416
USD,10000.0,2018-07-03T00:00:00Z,DJF,1779962.9058987494
USD,10000.0,2018-07-03T00:00:00Z,TZS,2.2753797089305084E7
USD,10000.0,2018-07-03T00:00:00Z,VND,2.2968852664442286E8
USD,10000.0,2018-07-03T00:00:00Z,XAU,8.0491866971
USD,10000.0,2018-07-03T00:00:00Z,AUD,13627.0643031379
USD,10000.0,2018-07-03T00:00:00Z,KHR,4.054731637757256E7
USD,10000.0,2018-07-03T00:00:00Z,IDR,1.43562693009241E8
USD,10000.0,2018-07-03T00:00:00Z,KYD,8200.0081817802
USD,10000.0,2018-07-03T00:00:00Z,BWP,104425.3234599695
USD,10000.0,2018-07-03T00:00:00Z,SHP,7608.870266958
USD,10000.0,2018-07-03T00:00:00Z,EUR,8589.7301417416
USD,10000.0,2018-07-03T00:00:00Z,TJS,91574.0455837738
USD,10000.0,2018-07-03T00:00:00Z,RWF,8594010.739122305
USD,10000.0,2018-07-03T00:00:00Z,DKK,63998.723990301
USD,10000.0,2018-07-03T00:00:00Z,BGN,16800.0519031224
USD,10000.0,2018-07-03T00:00:00Z,MMK,1.40593080587696E7
USD,10000.0,2018-07-03T00:00:00Z,NOK,81685.4470238327
USD,10000.0,2018-07-03T00:00:00Z,SYP,5150407.868585663
USD,10000.0,2018-07-03T00:00:00Z,XBT,1.5144641785
USD,10000.0,2018-07-03T00:00:00Z,LKR,1583919.603467241
USD,10000.0,2018-07-03T00:00:00Z,CZK,224030.8668974157
USD,10000.0,2018-07-03T00:00:00Z,EUR,8589.7301417416
USD,10000.0,2018-07-03T00:00:00Z,EUR,8589.7301417416
USD,10000.0,2018-07-03T00:00:00Z,XCD,27024.9149174089
USD,10000.0,2018-07-03T00:00:00Z,HTG,662419.7804968947
USD,10000.0,2018-07-03T00:00:00Z,BHD,3760.0
USD,10000.0,2018-07-03T00:00:00Z,EUR,8589.7301417416
USD,10000.0,2018-07-03T00:00:00Z,EUR,8589.7301417416
USD,10000.0,2018-07-03T00:00:00Z,KZT,3415642.8083662195
USD,10000.0,2018-07-03T00:00:00Z,SZL,138428.391695825
USD,10000.0,2018-07-03T00:00:00Z,YER,2504693.3700643084
USD,10000.0,2018-07-03T00:00:00Z,AFN,734151.9471048334
USD,10000.0,2018-07-03T00:00:00Z,AWG,17900.0
USD,10000.0,2018-07-03T00:00:00Z,NPR,1104584.0277279639
USD,10000.0,2018-07-03T00:00:00Z,MNT,2.463075447979364E7
USD,10000.0,2018-07-03T00:00:00Z,GBP,7608.870266958
USD,10000.0,2018-07-03T00:00:00Z,BYN,19870.2224606405
USD,10000.0,2018-07-03T00:00:00Z,HUF,2833928.3970074193
USD,10000.0,2018-07-03T00:00:00Z,BYN,19870.2224606405
USD,10000.0,2018-07-03T00:00:00Z,BIF,1.781409720352441E7
USD,10000.0,2018-07-03T00:00:00Z,XDR,7115.9693158733
USD,10000.0,2018-07-03T00:00:00Z,BZD,20102.2323969693
USD,10000.0,2018-07-03T00:00:00Z,MOP,80801.481117469
USD,10000.0,2018-07-03T00:00:00Z,NAD,138428.391695825
USD,10000.0,2018-07-03T00:00:00Z,EUR,8589.7301417416
USD,10000.0,2018-07-03T00:00:00Z,TMT,35024.0750064782
USD,10000.0,2018-07-03T00:00:00Z,PEN,32865.0593243869
USD,10000.0,2018-07-03T00:00:00Z,WST,25855.3720548096
USD,10000.0,2018-07-03T00:00:00Z,TMT,35024.0750064782
USD,10000.0,2018-07-03T00:00:00Z,EUR,8589.7301417416
USD,10000.0,2018-07-03T00:00:00Z,EUR,8589.7301417416
USD,10000.0,2018-07-03T00:00:00Z,GTQ,74955.1993008041
USD,10000.0,2018-07-03T00:00:00Z,CLP,6578171.9072749065
USD,10000.0,2018-07-03T00:00:00Z,EUR,8589.7301417416
USD,10000.0,2018-07-03T00:00:00Z,TND,26266.754041464
USD,10000.0,2018-07-03T00:00:00Z,SLL,8.051946920662346E7
USD,10000.0,2018-07-03T00:00:00Z,DOP,494869.8845105607
USD,10000.0,2018-07-03T00:00:00Z,KMF,4225870.210939771
USD,10000.0,2018-07-03T00:00:00Z,GEL,24433.7489272776
USD,10000.0,2018-07-03T00:00:00Z,MAD,94961.7454434477
USD,10000.0,2018-07-03T00:00:00Z,AZN,17014.829460117
USD,10000.0,2018-07-03T00:00:00Z,TOP,22594.7473671146
USD,10000.0,2018-07-03T00:00:00Z,AZN,17014.829460117
USD,10000.0,2018-07-03T00:00:00Z,PGK,32605.3779657623
USD,10000.0,2018-07-03T00:00:00Z,CNH,66824.2178500122
USD,10000.0,2018-07-03T00:00:00Z,UAH,262450.0464958794
USD,10000.0,2018-07-03T00:00:00Z,ERN,150000.0
USD,10000.0,2018-07-03T00:00:00Z,MRO,3562399.857168173
USD,10000.0,2018-07-03T00:00:00Z,CNY,66678.6047832515
USD,10000.0,2018-07-03T00:00:00Z,MRU,356239.9857168173
USD,10000.0,2018-07-03T00:00:00Z,BMD,10000.0
USD,10000.0,2018-07-03T00:00:00Z,PHP,534769.2417968607
USD,10000.0,2018-07-03T00:00:00Z,PYG,5.6869155028876975E7
USD,10000.0,2018-07-03T00:00:00Z,JMD,1292685.0457878415
USD,10000.0,2018-07-03T00:00:00Z,EUR,8589.7301417416
USD,10000.0,2018-07-03T00:00:00Z,COP,2.9311613791400515E7
USD,10000.0,2018-07-03T00:00:00Z,USD,10000.0
USD,10000.0,2018-07-03T00:00:00Z,GGP,7608.870266958
USD,10000.0,2018-07-03T00:00:00Z,ETB,275860.4302309672
USD,10000.0,2018-07-03T00:00:00Z,VEF,99875.0
USD,10000.0,2018-07-03T00:00:00Z,SOS,5775892.229289309
USD,10000.0,2018-07-03T00:00:00Z,VEF,99875.0
USD,10000.0,2018-07-03T00:00:00Z,VUV,1115796.9093246083
USD,10000.0,2018-07-03T00:00:00Z,LAK,8.427396740420449E7
USD,10000.0,2018-07-03T00:00:00Z,BND,13689.9262604923
USD,10000.0,2018-07-03T00:00:00Z,ZMW,99514.0659282325
USD,10000.0,2018-07-03T00:00:00Z,LRD,1500788.057637379
USD,10000.0,2018-07-03T00:00:00Z,ALL,1085574.2898383506
USD,10000.0,2018-07-03T00:00:00Z,GHS,47798.2887897316
USD,10000.0,2018-07-03T00:00:00Z,EUR,8589.7301417416
USD,10000.0,2018-07-03T00:00:00Z,ZMW,99514.0659282325
USD,10000.0,2018-07-03T00:00:00Z,SPL,1666.66666
USD,10000.0,2018-07-03T00:00:00Z,TRY,46167.5906255502
USD,10000.0,2018-07-03T00:00:00Z,ILS,36675.6507661349
USD,10000.0,2018-07-03T00:00:00Z,GHS,47798.2887897316
USD,10000.0,2018-07-03T00:00:00Z,GYD,2082999.2640067039
USD,10000.0,2018-07-03T00:00:00Z,KPW,9000319.494251851
USD,10000.0,2018-07-03T00:00:00Z,BOB,68962.7331940608
USD,10000.0,2018-07-03T00:00:00Z,MDL,168567.8135010615
USD,10000.0,2018-07-03T00:00:00Z,AMD,4822546.869450095
USD,10000.0,2018-07-03T00:00:00Z,TRY,46167.5906255502
USD,10000.0,2018-07-03T00:00:00Z,LBP,1.5075E7
USD,10000.0,2018-07-03T00:00:00Z,JOD,7090.0
USD,10000.0,2018-07-03T00:00:00Z,HKD,78448.0399198729
USD,10000.0,2018-07-03T00:00:00Z,EUR,8589.7301417416
USD,10000.0,2018-07-03T00:00:00Z,LSL,138428.391695825
USD,10000.0,2018-07-03T00:00:00Z,CAD,13187.6258182748
USD,10000.0,2018-07-03T00:00:00Z,EUR,8589.7301417416
USD,10000.0,2018-07-03T00:00:00Z,MUR,348070.7835607888
USD,10000.0,2018-07-03T00:00:00Z,IMP,7608.870266958
USD,10000.0,2018-07-03T00:00:00Z,RON,40061.4473696467
USD,10000.0,2018-07-03T00:00:00Z,GIP,7608.870266958
USD,10000.0,2018-07-03T00:00:00Z,RON,40061.4473696467
USD,10000.0,2018-07-03T00:00:00Z,NGN,3616087.3846634678
USD,10000.0,2018-07-03T00:00:00Z,CRC,5675119.89190985
USD,10000.0,2018-07-03T00:00:00Z,PKR,1216725.4782371086
USD,10000.0,2018-07-03T00:00:00Z,ANG,17934.3708552213
USD,10000.0,2018-07-03T00:00:00Z,SRD,74651.7066971622
USD,10000.0,2018-07-03T00:00:00Z,EUR,8589.7301417416
USD,10000.0,2018-07-03T00:00:00Z,SAR,37500.0
USD,10000.0,2018-07-03T00:00:00Z,TTD,67170.6695865626
USD,10000.0,2018-07-03T00:00:00Z,MVR,154468.7912441102
USD,10000.0,2018-07-03T00:00:00Z,SRD,74651.7066971622
USD,10000.0,2018-07-03T00:00:00Z,INR,687144.0296908019
USD,10000.0,2018-07-03T00:00:00Z,KRW,1.1189994282983292E7
USD,10000.0,2018-07-03T00:00:00Z,JPY,1108728.1725104365
USD,10000.0,2018-07-03T00:00:00Z,AOA,2489527.2637842386
USD,10000.0,2018-07-03T00:00:00Z,PLN,37776.6926763004
USD,10000.0,2018-07-03T00:00:00Z,SBD,78535.5581578324
USD,10000.0,2018-07-03T00:00:00Z,EUR,8589.7301417416
USD,10000.0,2018-07-03T00:00:00Z,MWK,7266789.349753515
USD,10000.0,2018-07-03T00:00:00Z,MGA,3.3082556851202562E7
USD,10000.0,2018-07-03T00:00:00Z,EUR,8589.7301417416
USD,10000.0,2018-07-03T00:00:00Z,EUR,8589.7301417416
USD,10000.0,2018-07-03T00:00:00Z,MGA,3.3082556851202562E7
USD,10000.0,2018-07-03T00:00:00Z,BAM,16800.0519031224
USD,10000.0,2018-07-03T00:00:00Z,EGP,179154.2154070096
USD,10000.0,2018-07-03T00:00:00Z,NIO,315312.6827357748
USD,10000.0,2018-07-03T00:00:00Z,NZD,14903.2066597113
USD,10000.0,2018-07-03T00:00:00Z,BRL,39137.5600972186
