Terms,http://www.xe.com/legal/dfs.php,Privacy,http://www.xe.com/privacy.php
from,amount,timestamp,quotecurrency,mid
USD,10000.0,2018-07-04T00:00:00Z,FJD,21025.3758642561
USD,10000.0,2018-07-04T00:00:00Z,MXN,195099.0099294934
USD,10000.0,2018-07-04T00:00:00Z,STD,2.104003867109647E8
USD,10000.0,2018-07-04T00:00:00Z,EUR,8576.8389440436
USD,10000.0,2018-07-04T00:00:00Z,SCR,135287.850041
USD,10000.0,2018-07-04T00:00:00Z,TVD,13553.4516310247
USD,10000.0,2018-07-04T00:00:00Z,CDF,1.6127491135150867E7
USD,10000.0,2018-07-04T00:00:00Z,BBD,20000.0
USD,10000.0,2018-07-04T00:00:00Z,HNL,240216.487956
USD,10000.0,2018-07-04T00:00:00Z,UGX,3.87916973981168E7
USD,10000.0,2018-07-04T00:00:00Z,ZAR,136966.4882118503
USD,10000.0,2018-07-04T00:00:00Z,STN,210400.3867109647
USD,10000.0,2018-07-04T00:00:00Z,CUC,10000.0
USD,10000.0,2018-07-04T00:00:00Z,BSD,10000.0
USD,10000.0,2018-07-04T00:00:00Z,SDG,180031.2177253546
USD,10000.0,2018-07-04T00:00:00Z,SDG,180031.2177253546
USD,10000.0,2018-07-04T00:00:00Z,IQD,1.1897136223283E7
USD,10000.0,2018-07-04T00:00:00Z,CUP,265000.0
USD,10000.0,2018-07-04T00:00:00Z,GMD,472127.732242
USD,10000.0,2018-07-04T00:00:00Z,TWD,305310.721295
USD,10000.0,2018-07-04T00:00:00Z,RSD,1011941.9508495021
USD,10000.0,2018-07-04T00:00:00Z,MYR,40429.3379662566
USD,10000.0,2018-07-04T00:00:00Z,FKP,7579.2287920165
USD,10000.0,2018-07-04T00:00:00Z,XOF,5626037.543218
USD,10000.0,2018-07-04T00:00:00Z,UYU,314771.1161723962
USD,10000.0,2018-07-04T00:00:00Z,CVE,945768.0303596865
USD,10000.0,2018-07-04T00:00:00Z,OMR,3845.0
USD,10000.0,2018-07-04T00:00:00Z,KES,1008158.739628
USD,10000.0,2018-07-04T00:00:00Z,SEK,88320.1003587064
USD,10000.0,2018-07-04T00:00:00Z,BTN,685398.3791749999
USD,10000.0,2018-07-04T00:00:00Z,GNF,9.042370870057063E7
USD,10000.0,2018-07-04T00:00:00Z,MZN,593716.5362633441
USD,10000.0,2018-07-04T00:00:00Z,MZN,593716.5362633441
USD,10000.0,2018-07-04T00:00:00Z,SVC,87500.0
