International Bank Transfer in Euros (EUR),"1.000.000,00 €",Afghanistan,2DayLanguages - Spanish School receives
International Bank Transfer in US Dollars (USD),"$1,190,341.00",Afghanistan,2DayLanguages - Spanish School receives
International Bank Transfer in Euros (EUR),"1.000.000,00 €",Åland Islands,2DayLanguages - Spanish School receives
,,Åland Islands,2DayLanguages - Spanish School receives
,,Åland Islands,2DayLanguages - Spanish School receives
International Bank Transfer in Euros (EUR),"1.000.000,00 €",Albania,2DayLanguages - Spanish School receives
,,Albania,2DayLanguages - Spanish School receives
MasterCard: Debit/Credit in DZD,"145,241,100.00 ?.?",Algeria,2DayLanguages - Spanish School receives
Visa: Debit/Credit in DZD,"145,241,100.00 ?.?",Algeria,2DayLanguages - Spanish School receives
International Bank Transfer in US Dollars (USD),"$1,190,464.00",Algeria,2DayLanguages - Spanish School receives
International Bank Transfer in Euros (EUR),"1.000.000,00 €",Algeria,2DayLanguages - Spanish School receives
MasterCard: Debit/Credit in USD,"$1,225,682.00",American Samoa,2DayLanguages - Spanish School receives
VISA: Debit/Credit in USD,"$1,225,682.00",American Samoa,2DayLanguages - Spanish School receives
American Express in USD,"$1,225,682.00",American Samoa,2DayLanguages - Spanish School receives
International Bank Transfer in US Dollars (USD),"$1,190,128.00",American Samoa,2DayLanguages - Spanish School receives
,,American Samoa,2DayLanguages - Spanish School receives
,,American Samoa,2DayLanguages - Spanish School receives
Domestic Bank Transfer in Euros (EUR),"1.000.000,00 €",Andorra,2DayLanguages - Spanish School receives
,,Andorra,2DayLanguages - Spanish School receives
International Bank Transfer in US Dollars (USD),"$1,190,433.00",Angola,2DayLanguages - Spanish School receives
International Bank Transfer in Euros (EUR),"1.000.000,00 €",Angola,2DayLanguages - Spanish School receives
International Bank Transfer in South African Rand (ZAR),"R16,340,907.00",Angola,2DayLanguages - Spanish School receives
International Bank Transfer in British Pounds (GBP),"£905,471.00",Angola,2DayLanguages - Spanish School receives
VISA: Debit/Credit in XCD,"$3,330,800.00",Anguilla,2DayLanguages - Spanish School receives
MasterCard: Debit/Credit in XCD,"$3,330,800.00",Anguilla,2DayLanguages - Spanish School receives
International Bank Transfer in US Dollars (USD),"$1,190,331.00",Anguilla,2DayLanguages - Spanish School receives
International Bank Transfer in Euros (EUR),"1.000.000,00 €",Anguilla,2DayLanguages - Spanish School receives
International Bank Transfer in US Dollars (USD),"$1,190,484.00",Antarctica,2DayLanguages - Spanish School receives
International Bank Transfer in Euros (EUR),"1.000.000,00 €",Antarctica,2DayLanguages - Spanish School receives
International Bank Transfer in US Dollars (USD),"$1,190,321.00",Antigua and Barbuda,2DayLanguages - Spanish School receives
International Bank Transfer in Euros (EUR),"1.000.000,00 €",Antigua and Barbuda,2DayLanguages - Spanish School receives
VISA: Debit/Credit in XCD,"$3,330,700.00",Antigua and Barbuda,2DayLanguages - Spanish School receives
MasterCard: Debit/Credit in XCD,"$3,330,700.00",Antigua and Barbuda,2DayLanguages - Spanish School receives
VISA: Debit/Credit in ARS,"$33.387.748,00",Argentina,2DayLanguages - Spanish School receives
MasterCard: Debit/Credit in ARS,"$33.387.748,00",Argentina,2DayLanguages - Spanish School receives
International Bank Transfer in Euros (EUR),"1.000.000,00 €",Argentina,2DayLanguages - Spanish School receives
International Bank Transfer in US Dollars (USD),"$1,190,097.00",Argentina,2DayLanguages - Spanish School receives
MasterCard: Debit/Credit in USD,"$1,225,650.00",Argentina,2DayLanguages - Spanish School receives
VISA: Debit/Credit in USD,"$1,225,650.00",Argentina,2DayLanguages - Spanish School receives
American Express in USD,"$1,225,650.00",Argentina,2DayLanguages - Spanish School receives
International Bank Transfer in US Dollars (USD),"$1,190,432.00",Armenia,2DayLanguages - Spanish School receives
International Bank Transfer in Euros (EUR),"1.000.000,00 €",Armenia,2DayLanguages - Spanish School receives
Domestic Bank Transfer in Euros (EUR),"1.000.000,00 €",Austria,2DayLanguages - Spanish School receives
,,Austria,2DayLanguages - Spanish School receives
Domestic Bank Transfer in Euros (EUR),"1.000.000,00 €",Austria,2DayLanguages - Spanish School receives
,,Austria,2DayLanguages - Spanish School receives
International Bank Transfer in US Dollars (USD),"$1,189,985.00",Azerbaijan,2DayLanguages - Spanish School receives
International Bank Transfer in Euros (EUR),"1.000.000,00 €",Azerbaijan,2DayLanguages - Spanish School receives
International Bank Transfer in US Dollars (USD),"$1,189,985.00",Bahamas,2DayLanguages - Spanish School receives
International Bank Transfer in Euros (EUR),"1.000.000,00 €",Bahamas,2DayLanguages - Spanish School receives
International Bank Transfer in Canadian Dollars (CAD),"$1,584,251.00",Bahamas,2DayLanguages - Spanish School receives
MasterCard: Debit/Credit in BSD,"$1,232,257.00",Bahamas,2DayLanguages - Spanish School receives
VISA: Debit/Credit in BSD,"$1,232,257.00",Bahamas,2DayLanguages - Spanish School receives
MasterCard: Debit/Credit in BHD,"?.?463,328.600",Bahrain,2DayLanguages - Spanish School receives
Visa: Debit/Credit in BHD,"?.?463,328.600",Bahrain,2DayLanguages - Spanish School receives
International Bank Transfer in US Dollars (USD),"$1,189,843.00",Bahrain,2DayLanguages - Spanish School receives
International Bank Transfer in Euros (EUR),"1.000.000,00 €",Bahrain,2DayLanguages - Spanish School receives
VISA: Debit/Credit in USD,"$1,225,388.00",Bahrain,2DayLanguages - Spanish School receives
MasterCard: Debit/Credit in USD,"$1,225,388.00",Bahrain,2DayLanguages - Spanish School receives
VISA: Debit/Credit in BDT,"?103,507,710.00",Bangladesh,2DayLanguages - Spanish School receives
MasterCard: Debit/Credit in BDT,"?103,507,710.00",Bangladesh,2DayLanguages - Spanish School receives
International Bank Transfer in US Dollars (USD),"$1,189,782.00",Bangladesh,2DayLanguages - Spanish School receives
International Bank Transfer in Euros (EUR),"1.000.000,00 €",Bangladesh,2DayLanguages - Spanish School receives
VISA: Debit/Credit in BBD,"2,464,448.00 $",Barbados,2DayLanguages - Spanish School receives
MasterCard: Debit/Credit in BBD,"2,464,448.00 $",Barbados,2DayLanguages - Spanish School receives
International Bank Transfer in US Dollars (USD),"$1,189,883.00",Barbados,2DayLanguages - Spanish School receives
International Bank Transfer in Canadian Dollars (CAD),"$1,584,149.00",Barbados,2DayLanguages - Spanish School receives
International Bank Transfer in Euros (EUR),"1.000.000,00 €",Barbados,2DayLanguages - Spanish School receives
