Debit/Credit Card in AFN,"766,000.00 ?",Afghanistan,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Afghanistan,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in KYD,"CI$8,641.00",Åland Islands,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Åland Islands,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in Euros (EUR),"8.810,00 €",Albania,Massachusetts Institute of Technology (MIT) receives
,,Albania,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in BGN,"??17,658.00",Algeria,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Algeria,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in British Pounds (GBP),"£7,763.00",Algeria,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in Euros (EUR),"8.810,00 €",Algeria,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",American Samoa,Massachusetts Institute of Technology (MIT) receives
,,American Samoa,Massachusetts Institute of Technology (MIT) receives
Domestic Bank Transfer in Euros (EUR),"8.812,00 €",Andorra,Massachusetts Institute of Technology (MIT) receives
VISA: Debit/Credit in EUR,"8.897,00 €",Andorra,Massachusetts Institute of Technology (MIT) receives
MasterCard: Debit/Credit in EUR,"8.897,00 €",Andorra,Massachusetts Institute of Technology (MIT) receives
,,Andorra,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in AOA,"2,572,200.00 Kz",Angola,Massachusetts Institute of Technology (MIT) receives
VISA: Debit/Credit in EUR,"8.897,00 €",Angola,Massachusetts Institute of Technology (MIT) receives
MasterCard: Debit/Credit in EUR,"8.897,00 €",Angola,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Angola,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in South African Rand (ZAR),"R139,782.00",Angola,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in British Pounds (GBP),"£7,765.00",Angola,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in Euros (EUR),"8.812,00 €",Angola,Massachusetts Institute of Technology (MIT) receives
MasterCard: Debit/Credit in XCD,"$28,500.00",Anguilla,Massachusetts Institute of Technology (MIT) receives
VISA: Debit/Credit in XCD,"$28,500.00",Anguilla,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Anguilla,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Antarctica,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in XCD,"$28,500.00",Antigua and Barbuda,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Antigua and Barbuda,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in ARS,"$285.439,00",Argentina,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Argentina,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in AMD,"5,082,600.00 AMD",Armenia,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Armenia,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in AWG,"18,862.00 Afl",Aruba,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Aruba,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in Canadian Dollars (CAD),"$13,669.00",Aruba,Massachusetts Institute of Technology (MIT) receives
Domestic Bank Transfer in AUD (EFT),"A$13,920.00",Australia,Massachusetts Institute of Technology (MIT) receives
VISA: Debit/Credit in AUD,"A$14,180.00",Australia,Massachusetts Institute of Technology (MIT) receives
MasterCard: Debit/Credit in AUD,"A$14,180.00",Australia,Massachusetts Institute of Technology (MIT) receives
American Express in AUD,"A$14,180.00",Australia,Massachusetts Institute of Technology (MIT) receives
,,Australia,Massachusetts Institute of Technology (MIT) receives
,,Australia,Massachusetts Institute of Technology (MIT) receives
Domestic Bank Transfer in Euros (EUR),"8.815,00 €",Austria,Massachusetts Institute of Technology (MIT) receives
VISA: Debit/Credit in EUR,"8.900,00 €",Austria,Massachusetts Institute of Technology (MIT) receives
MasterCard: Debit/Credit in EUR,"8.900,00 €",Austria,Massachusetts Institute of Technology (MIT) receives
American Express in EUR,"8.900,00 €",Austria,Massachusetts Institute of Technology (MIT) receives
PayPal in EUR,"8.986,00 €",Austria,Massachusetts Institute of Technology (MIT) receives
Online Bank Transfer,"8.815,00 €",Austria,Massachusetts Institute of Technology (MIT) receives
,,Austria,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in AZN,"???17,928.00",Azerbaijan,Massachusetts Institute of Technology (MIT) receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Azerbaijan,Massachusetts Institute of Technology (MIT) receives
Debit/Credit Card in BSD,"$10,538.00",Bahamas,Massachusetts Institute of Technology (MIT) receives
