,,,
Debit/Credit Card in AFN,"766,917.00 ?",Afghanistan,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Afghanistan,University of Washington receives
Debit/Credit Card in KYD,"CI$8,641.00",Åland Islands,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Åland Islands,University of Washington receives
International Bank Transfer in Euros (EUR),"8.821,00 €",Albania,University of Washington receives
,,Albania,University of Washington receives
Debit/Credit Card in BGN,"??17,678.00",Algeria,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Algeria,University of Washington receives
International Bank Transfer in British Pounds (GBP),"£7,773.00",Algeria,University of Washington receives
International Bank Transfer in Euros (EUR),"8.820,00 €",Algeria,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",American Samoa,University of Washington receives
,,American Samoa,University of Washington receives
Domestic Bank Transfer in Euros (EUR),"8.820,00 €",Andorra,University of Washington receives
VISA: Debit/Credit in EUR,"8.905,00 €",Andorra,University of Washington receives
MasterCard: Debit/Credit in EUR,"8.905,00 €",Andorra,University of Washington receives
,,Andorra,University of Washington receives
Debit/Credit Card in AOA,"2,609,400.00 Kz",Angola,University of Washington receives
VISA: Debit/Credit in EUR,"8.905,00 €",Angola,University of Washington receives
MasterCard: Debit/Credit in EUR,"8.905,00 €",Angola,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Angola,University of Washington receives
International Bank Transfer in South African Rand (ZAR),"R139,439.00",Angola,University of Washington receives
International Bank Transfer in British Pounds (GBP),"£7,774.00",Angola,University of Washington receives
International Bank Transfer in Euros (EUR),"8.820,00 €",Angola,University of Washington receives
MasterCard: Debit/Credit in XCD,"$28,500.00",Anguilla,University of Washington receives
VISA: Debit/Credit in XCD,"$28,500.00",Anguilla,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Anguilla,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Antarctica,University of Washington receives
Debit/Credit Card in XCD,"$28,500.00",Antigua and Barbuda,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Antigua and Barbuda,University of Washington receives
Debit/Credit Card in ARS,"$285.361,00",Argentina,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Argentina,University of Washington receives
Debit/Credit Card in AMD,"5,081,500.00 AMD",Armenia,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Armenia,University of Washington receives
Debit/Credit Card in AWG,"18,862.00 Afl",Aruba,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Aruba,University of Washington receives
International Bank Transfer in Canadian Dollars (CAD),"$13,656.00",Aruba,University of Washington receives
Domestic Bank Transfer in AUD (EFT),"A$13,950.00",Australia,University of Washington receives
VISA: Debit/Credit in AUD,"A$14,210.00",Australia,University of Washington receives
MasterCard: Debit/Credit in AUD,"A$14,210.00",Australia,University of Washington receives
American Express in AUD,"A$14,210.00",Australia,University of Washington receives
,,Australia,University of Washington receives
,,Australia,University of Washington receives
Domestic Bank Transfer in Euros (EUR),"8.819,00 €",Austria,University of Washington receives
VISA: Debit/Credit in EUR,"8.904,00 €",Austria,University of Washington receives
MasterCard: Debit/Credit in EUR,"8.904,00 €",Austria,University of Washington receives
American Express in EUR,"8.904,00 €",Austria,University of Washington receives
PayPal in EUR,"8.990,00 €",Austria,University of Washington receives
Online Bank Transfer,"8.819,00 €",Austria,University of Washington receives
,,Austria,University of Washington receives
Debit/Credit Card in AZN,"???17,927.00",Azerbaijan,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Azerbaijan,University of Washington receives
Debit/Credit Card in BSD,"$10,538.00",Bahamas,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Bahamas,University of Washington receives
International Bank Transfer in Canadian Dollars (CAD),"$13,657.00",Bahamas,University of Washington receives
Debit/Credit Card in BHD,"?.?3,962.100",Bahrain,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Bahrain,University of Washington receives
Debit/Credit Card in BDT,"?891,040.00",Bangladesh,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Bangladesh,University of Washington receives
Debit/Credit Card in BBD,"21,075.00 $",Barbados,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Barbados,University of Washington receives
International Bank Transfer in Canadian Dollars (CAD),"$13,656.00",Barbados,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Belarus,University of Washington receives
MasterCard: Debit/Credit in EUR,"8.578,00 €",Belarus,University of Washington receives
VISA: Debit/Credit in EUR,"8.578,00 €",Belarus,University of Washington receives
Domestic Bank Transfer in Euros (EUR),"8.820,00 €",Belgium,University of Washington receives
VISA: Debit/Credit in EUR,"8.905,00 €",Belgium,University of Washington receives
MasterCard: Debit/Credit in EUR,"8.905,00 €",Belgium,University of Washington receives
American Express in EUR,"8.905,00 €",Belgium,University of Washington receives
PayPal in EUR,"8.991,00 €",Belgium,University of Washington receives
Online Bank Transfer,"8.820,00 €",Belgium,University of Washington receives
,,Belgium,University of Washington receives
Debit/Credit Card in BZD,"$21,200.00",Belize,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Belize,University of Washington receives
International Bank Transfer in Mexican Pesos (MXN),"$206,052.00",Belize,University of Washington receives
Debit/Credit Card in XOF,"5,928,800.00 CFA",Benin,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Benin,University of Washington receives
Debit/Credit Card in BMD,"$10,538.00",Bermuda,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Bermuda,University of Washington receives
Debit/Credit Card in BTN,"721,480.00 Nu",Bhutan,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Bhutan,University of Washington receives
Debit/Credit Card in BOB,"Bs72,829.00","Bolivia, Plurinational State of",University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00","Bolivia, Plurinational State of",University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00","Bonaire, Saint Eustatius and Saba",University of Washington receives
,,"Bonaire, Saint Eustatius and Saba",University of Washington receives
Debit/Credit Card in BAM,"17,678.00 KM",Bosnia and Herzegovina,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Bosnia and Herzegovina,University of Washington receives
International Bank Transfer in Euros (EUR),"8.822,00 €",Bosnia and Herzegovina,University of Washington receives
Debit/Credit Card in BWP,"P109,100.00",Botswana,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Botswana,University of Washington receives
International Bank Transfer in South African Rand (ZAR),"R139,455.00",Botswana,University of Washington receives
International Bank Transfer in British Pounds (GBP),"£7,775.00",Botswana,University of Washington receives
MasterCard: Debit/Credit in NOK,"kr84.417,00",Bouvet Island,University of Washington receives
VISA: Debit/Credit in NOK,"kr84.417,00",Bouvet Island,University of Washington receives
International Bank Transfer in Norwegian Krone (NOK),"kr82.132,00",Bouvet Island,University of Washington receives
,,Bouvet Island,University of Washington receives
Pagamento com Débito em Conta,"R$42.901,00",Brazil,University of Washington receives
Cartão de Crédito/Débito em Reais,"R$42.901,00",Brazil,University of Washington receives
Boleto,"R$42.186,00",Brazil,University of Washington receives
Pagamento Parcelado via Cartão de Crédito em Reais,"R$42.901,00",Brazil,University of Washington receives
,,Brazil,University of Washington receives
,,Brazil,University of Washington receives
,,Brazil,University of Washington receives
Debit/Credit Card in BND,"$14,400.00",Brunei Darussalam,University of Washington receives
MasterCard: Debit/Credit in SGD,"S$14,287.00",Brunei Darussalam,University of Washington receives
VISA: Debit/Credit in SGD,"S$14,287.00",Brunei Darussalam,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Brunei Darussalam,University of Washington receives
Debit/Credit Card in BGN,"??17,680.00",Bulgaria,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Bulgaria,University of Washington receives
International Bank Transfer in British Pounds (GBP),"£7,776.00",Bulgaria,University of Washington receives
International Bank Transfer in Euros (EUR),"8.822,00 €",Bulgaria,University of Washington receives
Debit/Credit Card in XOF,"5,929,500.00 CFA",Burkina Faso,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Burkina Faso,University of Washington receives
Debit/Credit Card in BIF,"18,593,000.00 FBu",Burundi,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Burundi,University of Washington receives
Debit/Credit Card in KHR,"42,977,000.00 ?",Cambodia,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Cambodia,University of Washington receives
Debit/Credit Card in XAF,"5,929,300.00 Fr",Cameroon,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Cameroon,University of Washington receives
Bank Transfer in Canadian Dollars,"$13,657.00",Canada,University of Washington receives
Online Bill Pay,"$13,657.00",Canada,University of Washington receives
MasterCard: Debit/Credit in CAD,"$13,958.00",Canada,University of Washington receives
VISA: Debit/Credit in CAD,"$13,958.00",Canada,University of Washington receives
American Express in CAD,"$13,958.00",Canada,University of Washington receives
PayPal in CAD,"$13,870.00",Canada,University of Washington receives
,,Canada,University of Washington receives
Debit/Credit Card in CVE,"996,870.00 $",Cape Verde,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Cape Verde,University of Washington receives
Debit/Credit Card in KYD,"CI$8,641.00",Cayman Islands,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Cayman Islands,University of Washington receives
Debit/Credit Card in XAF,"5,930,000.00 Fr",Central African Republic,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Central African Republic,University of Washington receives
Debit/Credit Card in XAF,"5,930,000.00 Fr",Chad,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Chad,University of Washington receives
MasterCard: Debit/Credit in GBP,"£7,851.00",British Indian Ocean Territory,University of Washington receives
VISA: Debit/Credit in GBP,"£7,851.00",British Indian Ocean Territory,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",British Indian Ocean Territory,University of Washington receives
Debit/Credit Card in CLP,$6.755.000,Chile,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Chile,University of Washington receives
?????????? Domestic RMB Transfer ????????????,"CNY67,066.00",China,University of Washington receives
??? - (Alipay.com),"CNY67,066.00",China,University of Washington receives
??? – (UnionPay),"CNY67,066.00",China,University of Washington receives
???? eBanking ????????????,"CNY67,401.00",China,University of Washington receives
MasterCard in RMB,"CNY69,606.00",China,University of Washington receives
VISA in RMB,"CNY69,606.00",China,University of Washington receives
,,China,University of Washington receives
MasterCard: Debit/Credit in AUD,"A$14,210.00",Christmas Island,University of Washington receives
VISA: Debit/Credit in AUD,"A$14,210.00",Christmas Island,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Christmas Island,University of Washington receives
International Bank Transfer in New Zealand Dollar (NZD),"$14,956.00",Christmas Island,University of Washington receives
MasterCard: Debit/Credit in AUD,"A$14,210.00",Cocos (Keeling) Islands,University of Washington receives
VISA: Debit/Credit in AUD,"A$14,210.00",Cocos (Keeling) Islands,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Cocos (Keeling) Islands,University of Washington receives
International Bank Transfer in New Zealand Dollar (NZD),"$14,956.00",Cocos (Keeling) Islands,University of Washington receives
Debit/Credit Card in COP,"COL$30.872.000,00",Colombia,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Colombia,University of Washington receives
Debit/Credit Card in KMF,"4,447,200.00 CF",Comoros,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Comoros,University of Washington receives
International Bank Transfer in South African Rand (ZAR),"R139,470.00",Comoros,University of Washington receives
Debit/Credit Card in MNT,"25,968,900.00 ?",Congo,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Congo,University of Washington receives
Debit/Credit Card in CDF,"16,911,000.00 FC","Congo, the Democratic Republic of the",University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00","Congo, the Democratic Republic of the",University of Washington receives
