Debit/Credit Card in AFN,"767,009.00 ?",Afghanistan,University of California - Davis receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Afghanistan,University of California - Davis receives
International Bank Transfer in Norwegian Krone (NOK),"kr82.380,00",Åland Islands,University of California - Davis receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Åland Islands,University of California - Davis receives
International Bank Transfer in Euros (EUR),"8.834,00 €",Albania,University of California - Davis receives
,,Albania,University of California - Davis receives
Debit/Credit Card in DZD,"1,242,300.00 ?.?",Algeria,University of California - Davis receives
VISA: Debit/Credit in EUR,"8.920,00 €",Algeria,University of California - Davis receives
MasterCard: Debit/Credit in EUR,"8.920,00 €",Algeria,University of California - Davis receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Algeria,University of California - Davis receives
International Bank Transfer in Euros (EUR),"8.834,00 €",Algeria,University of California - Davis receives
International Bank Transfer in US Dollars (USD),"$10,000.00",American Samoa,University of California - Davis receives
,,American Samoa,University of California - Davis receives
Domestic Bank Transfer in Euros (EUR),"8.834,00 €",Andorra,University of California - Davis receives
VISA: Debit/Credit in EUR,"8.920,00 €",Andorra,University of California - Davis receives
MasterCard: Debit/Credit in EUR,"8.920,00 €",Andorra,University of California - Davis receives
,,Andorra,University of California - Davis receives
Debit/Credit Card in AOA,"2,609,400.00 Kz",Angola,University of California - Davis receives
VISA: Debit/Credit in EUR,"8.920,00 €",Angola,University of California - Davis receives
MasterCard: Debit/Credit in EUR,"8.920,00 €",Angola,University of California - Davis receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Angola,University of California - Davis receives
International Bank Transfer in South African Rand (ZAR),"R140,468.00",Angola,University of California - Davis receives
International Bank Transfer in British Pounds (GBP),"£7,781.00",Angola,University of California - Davis receives
International Bank Transfer in Euros (EUR),"8.835,00 €",Angola,University of California - Davis receives
MasterCard: Debit/Credit in XCD,"$28,500.00",Anguilla,University of California - Davis receives
VISA: Debit/Credit in XCD,"$28,500.00",Anguilla,University of California - Davis receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Anguilla,University of California - Davis receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Antarctica,University of California - Davis receives
Debit/Credit Card in XCD,"$28,500.00",Antigua and Barbuda,University of California - Davis receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Antigua and Barbuda,University of California - Davis receives
Debit/Credit Card in ARS,"$285.350,00",Argentina,University of California - Davis receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Argentina,University of California - Davis receives
Debit/Credit Card in AMD,"5,081,400.00 AMD",Armenia,University of California - Davis receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Armenia,University of California - Davis receives
Debit/Credit Card in AWG,"18,862.00 Afl",Aruba,University of California - Davis receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Aruba,University of California - Davis receives
International Bank Transfer in Canadian Dollars (CAD),"$13,647.00",Aruba,University of California - Davis receives
Domestic Bank Transfer in AUD (EFT),"A$13,940.00",Australia,University of California - Davis receives
VISA: Debit/Credit in AUD,"A$14,210.00",Australia,University of California - Davis receives
MasterCard: Debit/Credit in AUD,"A$14,210.00",Australia,University of California - Davis receives
American Express in AUD,"A$14,210.00",Australia,University of California - Davis receives
,,Australia,University of California - Davis receives
,,Australia,University of California - Davis receives
Domestic Bank Transfer in Euros (EUR),"8.834,00 €",Austria,University of California - Davis receives
VISA: Debit/Credit in EUR,"8.919,00 €",Austria,University of California - Davis receives
MasterCard: Debit/Credit in EUR,"8.919,00 €",Austria,University of California - Davis receives
American Express in EUR,"8.919,00 €",Austria,University of California - Davis receives
PayPal in EUR,"9.005,00 €",Austria,University of California - Davis receives
Online Bank Transfer,"8.835,00 €",Austria,University of California - Davis receives
,,Austria,University of California - Davis receives
Debit/Credit Card in AZN,"???17,929.00",Azerbaijan,University of California - Davis receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Azerbaijan,University of California - Davis receives
