Debit/Credit Card in AFN,"769,842.00 ?",Afghanistan,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Afghanistan,Miami University receives
International Bank Transfer in Norwegian Krone (NOK),"kr82.109,00",Åland Islands,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Åland Islands,Miami University receives
International Bank Transfer in Euros (EUR),"8.833,00 €",Albania,Miami University receives
,,Albania,Miami University receives
Debit/Credit Card in DZD,"1,246,600.00 ?.?",Algeria,Miami University receives
VISA: Debit/Credit in EUR,"8.918,00 €",Algeria,Miami University receives
MasterCard: Debit/Credit in EUR,"8.918,00 €",Algeria,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Algeria,Miami University receives
International Bank Transfer in Euros (EUR),"8.833,00 €",Algeria,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",American Samoa,Miami University receives
,,American Samoa,Miami University receives
Domestic Bank Transfer in Euros (EUR),"8.832,00 €",Andorra,Miami University receives
VISA: Debit/Credit in EUR,"8.918,00 €",Andorra,Miami University receives
MasterCard: Debit/Credit in EUR,"8.918,00 €",Andorra,Miami University receives
,,Andorra,Miami University receives
Debit/Credit Card in AOA,"2,626,700.00 Kz",Angola,Miami University receives
VISA: Debit/Credit in EUR,"8.918,00 €",Angola,Miami University receives
MasterCard: Debit/Credit in EUR,"8.918,00 €",Angola,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Angola,Miami University receives
International Bank Transfer in South African Rand (ZAR),"R141,266.00",Angola,Miami University receives
International Bank Transfer in British Pounds (GBP),"£7,843.00",Angola,Miami University receives
International Bank Transfer in Euros (EUR),"8.832,00 €",Angola,Miami University receives
MasterCard: Debit/Credit in XCD,"$28,500.00",Anguilla,Miami University receives
VISA: Debit/Credit in XCD,"$28,500.00",Anguilla,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Anguilla,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Antarctica,Miami University receives
Debit/Credit Card in XCD,"$28,500.00",Antigua and Barbuda,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Antigua and Barbuda,Miami University receives
Debit/Credit Card in ARS,"$295.857,00",Argentina,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Argentina,Miami University receives
Debit/Credit Card in AMD,"5,080,000.00 AMD",Armenia,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Armenia,Miami University receives
Debit/Credit Card in AWG,"18,862.00 Afl",Aruba,Miami University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Aruba,Miami University receives
International Bank Transfer in Canadian Dollars (CAD),"$13,567.00",Aruba,Miami University receives
Domestic Bank Transfer in AUD (EFT),"A$13,930.00",Australia,Miami University receives
VISA: Debit/Credit in AUD,"A$14,200.00",Australia,Miami University receives
MasterCard: Debit/Credit in AUD,"A$14,200.00",Australia,Miami University receives
American Express in AUD,"A$14,200.00",Australia,Miami University receives
,,Australia,Miami University receives
,,Australia,Miami University receives
