Terms,http://www.xe.com/legal/dfs.php,Privacy,http://www.xe.com/privacy.php
from,amount,timestamp,quotecurrency,mid
USD,10000.0,2018-08-01T00:00:00Z,FJD,20930.6871082962
USD,10000.0,2018-08-01T00:00:00Z,MXN,186687.0942926029
USD,10000.0,2018-08-01T00:00:00Z,STD,2.1008035213163617E8
USD,10000.0,2018-08-01T00:00:00Z,EUR,8555.1113968465
USD,10000.0,2018-08-01T00:00:00Z,SCR,135416.3642217825
USD,10000.0,2018-08-01T00:00:00Z,TVD,13478.9950425175
USD,10000.0,2018-08-01T00:00:00Z,CDF,1.6168071738757113E7
USD,10000.0,2018-08-01T00:00:00Z,BBD,20000.0
USD,10000.0,2018-08-01T00:00:00Z,HNL,240109.8817648624
USD,10000.0,2018-08-01T00:00:00Z,UGX,3.695683004192933E7
USD,10000.0,2018-08-01T00:00:00Z,ZAR,132476.605192146
USD,10000.0,2018-08-01T00:00:00Z,STN,210080.3521316362
USD,10000.0,2018-08-01T00:00:00Z,CUC,10000.0
USD,10000.0,2018-08-01T00:00:00Z,BSD,10000.0
USD,10000.0,2018-08-01T00:00:00Z,SDG,179934.4495390053
USD,10000.0,2018-08-01T00:00:00Z,SDG,179934.4495390053
USD,10000.0,2018-08-01T00:00:00Z,IQD,1.1913151774233786E7
USD,10000.0,2018-08-01T00:00:00Z,CUP,265000.0
USD,10000.0,2018-08-01T00:00:00Z,GMD,480709.5901197433
USD,10000.0,2018-08-01T00:00:00Z,TWD,305931.4654107511
USD,10000.0,2018-08-01T00:00:00Z,RSD,1009407.0796023302
USD,10000.0,2018-08-01T00:00:00Z,MYR,40464.4594213952
USD,10000.0,2018-08-01T00:00:00Z,FKP,7623.0431223171
USD,10000.0,2018-08-01T00:00:00Z,XOF,5611785.2065412635
USD,10000.0,2018-08-01T00:00:00Z,UYU,306863.1938220477
USD,10000.0,2018-08-01T00:00:00Z,CVE,943372.1337302678
USD,10000.0,2018-08-01T00:00:00Z,OMR,3845.0
USD,10000.0,2018-08-01T00:00:00Z,KES,1005627.0258132266
USD,10000.0,2018-08-01T00:00:00Z,SEK,87905.396288055
USD,10000.0,2018-08-01T00:00:00Z,BTN,684964.8329674389
USD,10000.0,2018-08-01T00:00:00Z,GNF,9.080195238779531E7
USD,10000.0,2018-08-01T00:00:00Z,MZN,580929.5824430423
USD,10000.0,2018-08-01T00:00:00Z,MZN,580929.5824430423
USD,10000.0,2018-08-01T00:00:00Z,SVC,87500.0
USD,10000.0,2018-08-01T00:00:00Z,ARS,274226.1458600572
USD,10000.0,2018-08-01T00:00:00Z,QAR,36400.0
USD,10000.0,2018-08-01T00:00:00Z,IRR,4.40699321048755E8
USD,10000.0,2018-08-01T00:00:00Z,EUR,8555.1113968465
USD,10000.0,2018-08-01T00:00:00Z,XPD,10.6959409248
USD,10000.0,2018-08-01T00:00:00Z,THB,332179.677905394
USD,10000.0,2018-08-01T00:00:00Z,UZS,7.791464739297476E7
USD,10000.0,2018-08-01T00:00:00Z,XPF,1020896.3480686427
USD,10000.0,2018-08-01T00:00:00Z,BDT,843614.2123072074
USD,10000.0,2018-08-01T00:00:00Z,LYD,13796.4641870839
USD,10000.0,2018-08-01T00:00:00Z,KWD,3030.0246539961
USD,10000.0,2018-08-01T00:00:00Z,XPT,11.9254310342
USD,10000.0,2018-08-01T00:00:00Z,RUB,623455.8261949369
USD,10000.0,2018-08-01T00:00:00Z,ISK,1055760.548086751
USD,10000.0,2018-08-01T00:00:00Z,EUR,8555.1113968465
USD,10000.0,2018-08-01T00:00:00Z,MKD,526173.9571251057
USD,10000.0,2018-08-01T00:00:00Z,DZD,1181702.9726002966
USD,10000.0,2018-08-01T00:00:00Z,PAB,10000.0
USD,10000.0,2018-08-01T00:00:00Z,SGD,13618.7467115808
USD,10000.0,2018-08-01T00:00:00Z,JEP,7623.0431223171
USD,10000.0,2018-08-01T00:00:00Z,KGS,680590.4142760106
USD,10000.0,2018-08-01T00:00:00Z,XAF,5611785.2065412635
