Terms,http://www.xe.com/legal/dfs.php,Privacy,http://www.xe.com/privacy.php
from,amount,timestamp,quotecurrency,mid
USD,10000.0,2018-07-28T00:00:00Z,FJD,21022.183576
USD,10000.0,2018-07-28T00:00:00Z,MXN,186180.02826352
USD,10000.0,2018-07-28T00:00:00Z,STD,2.1043147031944498E8
USD,10000.0,2018-07-28T00:00:00Z,EUR,8570.0563376
USD,10000.0,2018-07-28T00:00:00Z,SCR,135986.913527
USD,10000.0,2018-07-28T00:00:00Z,TVD,13516.1536089038
USD,10000.0,2018-07-28T00:00:00Z,CDF,1.5706196922106002E7
USD,10000.0,2018-07-28T00:00:00Z,BBD,20000.0
USD,10000.0,2018-07-28T00:00:00Z,HNL,239412.301692
USD,10000.0,2018-07-28T00:00:00Z,UGX,3.7105596094224E7
USD,10000.0,2018-07-28T00:00:00Z,ZAR,131690.2872177146
USD,10000.0,2018-07-28T00:00:00Z,STN,210431.470319445
USD,10000.0,2018-07-28T00:00:00Z,CUC,10000.0
USD,10000.0,2018-07-28T00:00:00Z,BSD,10000.0
USD,10000.0,2018-07-28T00:00:00Z,SDG,180661.396389
USD,10000.0,2018-07-28T00:00:00Z,SDG,180661.396389
USD,10000.0,2018-07-28T00:00:00Z,IQD,1.1909701685965E7
USD,10000.0,2018-07-28T00:00:00Z,CUP,265000.0
USD,10000.0,2018-07-28T00:00:00Z,GMD,480343.626819
USD,10000.0,2018-07-28T00:00:00Z,TWD,305753.3153352
USD,10000.0,2018-07-28T00:00:00Z,RSD,1012502.351656
USD,10000.0,2018-07-28T00:00:00Z,MYR,40607.899715
USD,10000.0,2018-07-28T00:00:00Z,FKP,7634.5035322687
USD,10000.0,2018-07-28T00:00:00Z,XOF,5621588.445043084
USD,10000.0,2018-07-28T00:00:00Z,UYU,307240.593744
USD,10000.0,2018-07-28T00:00:00Z,CVE,945020.112347152
USD,10000.0,2018-07-28T00:00:00Z,OMR,3845.0
USD,10000.0,2018-07-28T00:00:00Z,KES,1003515.8585569999
USD,10000.0,2018-07-28T00:00:00Z,SEK,88369.84945196
USD,10000.0,2018-07-28T00:00:00Z,BTN,686059.7564600001
USD,10000.0,2018-07-28T00:00:00Z,GNF,9.038207611681901E7
USD,10000.0,2018-07-28T00:00:00Z,MZN,581099.621794
USD,10000.0,2018-07-28T00:00:00Z,MZN,581099.621794
USD,10000.0,2018-07-28T00:00:00Z,SVC,87500.0
USD,10000.0,2018-07-28T00:00:00Z,ARS,272929.635666
USD,10000.0,2018-07-28T00:00:00Z,QAR,36400.0
USD,10000.0,2018-07-28T00:00:00Z,IRR,4.3974955955907303E8
USD,10000.0,2018-07-28T00:00:00Z,EUR,8570.0563376
USD,10000.0,2018-07-28T00:00:00Z,XPD,10.7812035518
USD,10000.0,2018-07-28T00:00:00Z,THB,333486.527087
USD,10000.0,2018-07-28T00:00:00Z,UZS,7.791993763438499E7
USD,10000.0,2018-07-28T00:00:00Z,XPF,1022679.7538864717
USD,10000.0,2018-07-28T00:00:00Z,BDT,843223.34935
