Terms,http://www.xe.com/legal/dfs.php,Privacy,http://www.xe.com/privacy.php
from,amount,timestamp,quotecurrency,mid
USD,10000.0,2018-07-02T00:00:00Z,FJD,21016.218659
USD,10000.0,2018-07-02T00:00:00Z,MXN,198100.7808549748
USD,10000.0,2018-07-02T00:00:00Z,STD,2.106468613949196E8
USD,10000.0,2018-07-02T00:00:00Z,EUR,8562.9878340466
USD,10000.0,2018-07-02T00:00:00Z,SCR,135544.739162
USD,10000.0,2018-07-02T00:00:00Z,TVD,13517.2893202344
USD,10000.0,2018-07-02T00:00:00Z,CDF,1.6073720148965001E7
USD,10000.0,2018-07-02T00:00:00Z,BBD,20000.0
USD,10000.0,2018-07-02T00:00:00Z,HNL,240166.773337
USD,10000.0,2018-07-02T00:00:00Z,UGX,3.879302858846E7
USD,10000.0,2018-07-02T00:00:00Z,ZAR,137239.7402973404
USD,10000.0,2018-07-02T00:00:00Z,STN,210646.8613949196
USD,10000.0,2018-07-02T00:00:00Z,CUC,10000.0
USD,10000.0,2018-07-02T00:00:00Z,BSD,10000.0
USD,10000.0,2018-07-02T00:00:00Z,SDG,180452.738528
USD,10000.0,2018-07-02T00:00:00Z,SDG,180452.738528
USD,10000.0,2018-07-02T00:00:00Z,IQD,1.1923367842565E7
USD,10000.0,2018-07-02T00:00:00Z,CUP,265000.0
USD,10000.0,2018-07-02T00:00:00Z,GMD,471568.009513
USD,10000.0,2018-07-02T00:00:00Z,TWD,304895.040781
USD,10000.0,2018-07-02T00:00:00Z,RSD,1010473.0139759999
USD,10000.0,2018-07-02T00:00:00Z,MYR,40330.5596789252
USD,10000.0,2018-07-02T00:00:00Z,FKP,7571.665179454
USD,10000.0,2018-07-02T00:00:00Z,XOF,5616951.8106576735
USD,10000.0,2018-07-02T00:00:00Z,UYU,313677.592092
USD,10000.0,2018-07-02T00:00:00Z,CVE,944240.6684603131
USD,10000.0,2018-07-02T00:00:00Z,OMR,3845.0
USD,10000.0,2018-07-02T00:00:00Z,KES,1009197.931557
USD,10000.0,2018-07-02T00:00:00Z,SEK,89525.5494098248
USD,10000.0,2018-07-02T00:00:00Z,BTN,684529.091017
USD,10000.0,2018-07-02T00:00:00Z,GNF,9.022776288916E7
USD,10000.0,2018-07-02T00:00:00Z,MZN,591858.050213
USD,10000.0,2018-07-02T00:00:00Z,MZN,591858.050213
USD,10000.0,2018-07-02T00:00:00Z,SVC,87500.0
USD,10000.0,2018-07-02T00:00:00Z,ARS,289133.3872776
USD,10000.0,2018-07-02T00:00:00Z,QAR,36400.0
USD,10000.0,2018-07-02T00:00:00Z,IRR,4.26758774723393E8
USD,10000.0,2018-07-02T00:00:00Z,EUR,8562.9878340466
USD,10000.0,2018-07-02T00:00:00Z,XPD,10.483709
USD,10000.0,2018-07-02T00:00:00Z,THB,330457.7569045655
USD,10000.0,2018-07-02T00:00:00Z,UZS,7.8759203256094E7
USD,10000.0,2018-07-02T00:00:00Z,XPF,1021836.2570423877
USD,10000.0,2018-07-02T00:00:00Z,BDT,836755.514069
USD,10000.0,2018-07-02T00:00:00Z,LYD,13790.157315
USD,10000.0,2018-07-02T00:00:00Z,KWD,3029.098188
USD,10000.0,2018-07-02T00:00:00Z,XPT,11.720378
USD,10000.0,2018-07-02T00:00:00Z,RUB,629564.6629100896
USD,10000.0,2018-07-02T00:00:00Z,ISK,1054597.624759
USD,10000.0,2018-07-02T00:00:00Z,EUR,8562.9878340466
USD,10000.0,2018-07-02T00:00:00Z,MKD,527580.378347
USD,10000.0,2018-07-02T00:00:00Z,DZD,1180565.2727300795
USD,10000.0,2018-07-02T00:00:00Z,PAB,10000.0
USD,10000.0,2018-07-02T00:00:00Z,SGD,13629.0187780962
USD,10000.0,2018-07-02T00:00:00Z,JEP,7571.665179454
USD,10000.0,2018-07-02T00:00:00Z,KGS,681797.873789
USD,10000.0,2018-07-02T00:00:00Z,XAF,5616951.8106576735
USD,10000.0,2018-07-02T00:00:00Z,XAG,620.4608548359
USD,10000.0,2018-07-02T00:00:00Z,EUR,8562.9878340466
USD,10000.0,2018-07-02T00:00:00Z,CHF,9903.1638679124
USD,10000.0,2018-07-02T00:00:00Z,HRK,63224.630932
USD,10000.0,2018-07-02T00:00:00Z,EUR,8562.9878340466
USD,10000.0,2018-07-02T00:00:00Z,DJF,1777596.4833230001
USD,10000.0,2018-07-02T00:00:00Z,TZS,2.2754247707599003E7
USD,10000.0,2018-07-02T00:00:00Z,VND,2.29694093536952E8
USD,10000.0,2018-07-02T00:00:00Z,XAU,7.978108687
USD,10000.0,2018-07-02T00:00:00Z,AUD,13517.2893202344
USD,10000.0,2018-07-02T00:00:00Z,KHR,4.0545456704012E7
USD,10000.0,2018-07-02T00:00:00Z,IDR,1.4302767419674322E8
USD,10000.0,2018-07-02T00:00:00Z,KYD,8200.000639
USD,10000.0,2018-07-02T00:00:00Z,BWP,104254.523295
USD,10000.0,2018-07-02T00:00:00Z,SHP,7571.665179454
USD,10000.0,2018-07-02T00:00:00Z,EUR,8562.9878340466
USD,10000.0,2018-07-02T00:00:00Z,TJS,91574.088075
USD,10000.0,2018-07-02T00:00:00Z,RWF,8594374.479308
USD,10000.0,2018-07-02T00:00:00Z,DKK,63806.6028873593
USD,10000.0,2018-07-02T00:00:00Z,BGN,16747.7484954633
USD,10000.0,2018-07-02T00:00:00Z,MMK,1.41075002771E7
USD,10000.0,2018-07-02T00:00:00Z,NOK,81556.9781570286
USD,10000.0,2018-07-02T00:00:00Z,SYP,5150561.156669
USD,10000.0,2018-07-02T00:00:00Z,XBT,1.5722756205
USD,10000.0,2018-07-02T00:00:00Z,LKR,1583084.357127
USD,10000.0,2018-07-02T00:00:00Z,CZK,222382.0656800631
USD,10000.0,2018-07-02T00:00:00Z,EUR,8562.9878340466
USD,10000.0,2018-07-02T00:00:00Z,EUR,8562.9878340466
USD,10000.0,2018-07-02T00:00:00Z,XCD,27024.712454
USD,10000.0,2018-07-02T00:00:00Z,HTG,663505.462145
USD,10000.0,2018-07-02T00:00:00Z,BHD,3760.0
USD,10000.0,2018-07-02T00:00:00Z,EUR,8562.9878340466
USD,10000.0,2018-07-02T00:00:00Z,EUR,8562.9878340466
USD,10000.0,2018-07-02T00:00:00Z,KZT,3411591.3242840003
USD,10000.0,2018-07-02T00:00:00Z,SZL,137239.7402973404
USD,10000.0,2018-07-02T00:00:00Z,YER,2503845.618972
USD,10000.0,2018-07-02T00:00:00Z,AFN,731798.01983
USD,10000.0,2018-07-02T00:00:00Z,AWG,17900.0
USD,10000.0,2018-07-02T00:00:00Z,NPR,1100380.5138098274
USD,10000.0,2018-07-02T00:00:00Z,MNT,2.4608248412929002E7
USD,10000.0,2018-07-02T00:00:00Z,GBP,7571.665179454
USD,10000.0,2018-07-02T00:00:00Z,BYN,19879.433698
USD,10000.0,2018-07-02T00:00:00Z,HUF,2817817.0367761645
USD,10000.0,2018-07-02T00:00:00Z,BYN,19879.433698
USD,10000.0,2018-07-02T00:00:00Z,BIF,1.7815669009368E7
USD,10000.0,2018-07-02T00:00:00Z,XDR,7103.190992
USD,10000.0,2018-07-02T00:00:00Z,BZD,20107.508748
USD,10000.0,2018-07-02T00:00:00Z,MOP,80825.8966854931
USD,10000.0,2018-07-02T00:00:00Z,NAD,137239.7402973404
USD,10000.0,2018-07-02T00:00:00Z,EUR,8562.9878340466
USD,10000.0,2018-07-02T00:00:00Z,TMT,35029.907266
USD,10000.0,2018-07-02T00:00:00Z,PEN,32839.960298
USD,10000.0,2018-07-02T00:00:00Z,WST,25918.227174
USD,10000.0,2018-07-02T00:00:00Z,TMT,35029.907266
