Payment Method,Pt Amount,From Country,Institute
International Bank Transfer in Norwegian Krone (NOK),"kr82.097,00",Åland Islands,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Åland Islands,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in Euros (EUR),"8.810,00 €",Albania,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in DZD,"1,238,700.00 ?.?",Algeria,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Algeria,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in Euros (EUR),"8.810,00 €",Algeria,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in EUR,"8.896,00 €",Algeria,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",American Samoa,SUNY Jamestown Community College - FSA Residence Life
Domestic Bank Transfer in Euros (EUR),"8.809,00 €",Andorra,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in EUR,"8.894,00 €",Andorra,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in AOA,"2,584,500.00 Kz",Angola,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Angola,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in South African Rand (ZAR),"R140,243.00",Angola,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in British Pounds (GBP),"£7,749.00",Angola,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in Euros (EUR),"8.806,00 €",Angola,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in EUR,"8.891,00 €",Angola,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in XCD,"$28,500.00",Anguilla,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in XCD,"$28,500.00",Anguilla,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Anguilla,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Antarctica,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in XCD,"$28,500.00",Antigua and Barbuda,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Antigua and Barbuda,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in ARS,"$284.599,00",Argentina,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Argentina,SUNY Jamestown Community College - FSA Residence Life
Domestic Bank Transfer in AUD (EFT),"A$13,900.00",Australia,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in AUD,"A$14,160.00",Australia,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in AUD,"A$14,160.00",Australia,SUNY Jamestown Community College - FSA Residence Life
American Express in AUD,"A$14,160.00",Australia,SUNY Jamestown Community College - FSA Residence Life
Domestic Bank Transfer in Euros (EUR),"8.800,00 €",Austria,SUNY Jamestown Community College - FSA Residence Life
American Express in EUR,"8.885,00 €",Austria,SUNY Jamestown Community College - FSA Residence Life
PayPal in EUR,"8.971,00 €",Austria,SUNY Jamestown Community College - FSA Residence Life
Online Bank Transfer,"8.800,00 €",Austria,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in EUR,"8.885,00 €",Austria,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in AZN,"???17,929.00",Azerbaijan,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Azerbaijan,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in BSD,"$10,538.00",Bahamas,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Bahamas,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in Canadian Dollars (CAD),"$13,642.00",Bahamas,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in BHD,"?.?3,962.100",Bahrain,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Bahrain,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in BDT,"?888,050.00",Bangladesh,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Bangladesh,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in BBD,"21,075.00 $",Barbados,SUNY Jamestown Community College - FSA Residence Life
