from,amount,timestamp,quotecurrency,mid
USD,1000.0,2018-08-04T00:00:00Z,FJD,2103.0224072
USD,1000.0,2018-08-04T00:00:00Z,MXN,18551.410188608
USD,1000.0,2018-08-04T00:00:00Z,STD,2.12045664905698E7
USD,1000.0,2018-08-04T00:00:00Z,EUR,863.55078248
USD,1000.0,2018-08-04T00:00:00Z,SCR,13633.5637355
USD,1000.0,2018-08-04T00:00:00Z,TVD,1352.1338701366
USD,1000.0,2018-08-04T00:00:00Z,CDF,1570641.5810579
USD,1000.0,2018-08-04T00:00:00Z,BBD,2000.0
USD,1000.0,2018-08-04T00:00:00Z,HNL,24024.5954573
USD,1000.0,2018-08-04T00:00:00Z,UGX,3699598.9999159
USD,1000.0,2018-08-04T00:00:00Z,ZAR,13318.4738300945
USD,1000.0,2018-08-04T00:00:00Z,STN,21204.5664905698
USD,1000.0,2018-08-04T00:00:00Z,CUC,1000.0
USD,1000.0,2018-08-04T00:00:00Z,BSD,1000.0
USD,1000.0,2018-08-04T00:00:00Z,SDG,18066.3103013
USD,1000.0,2018-08-04T00:00:00Z,SDG,18066.3103013
USD,1000.0,2018-08-04T00:00:00Z,IQD,1191001.2505289002
USD,1000.0,2018-08-04T00:00:00Z,CUP,26500.0
USD,1000.0,2018-08-04T00:00:00Z,GMD,48182.8825802
USD,1000.0,2018-08-04T00:00:00Z,TWD,30594.4891848
USD,1000.0,2018-08-04T00:00:00Z,RSD,102007.8406521
USD,1000.0,2018-08-04T00:00:00Z,MYR,4082.4983562
USD,1000.0,2018-08-04T00:00:00Z,FKP,769.1517639493
USD,1000.0,2018-08-04T00:00:00Z,XOF,566452.1806232333
USD,1000.0,2018-08-04T00:00:00Z,UYU,30561.5769498
USD,1000.0,2018-08-04T00:00:00Z,CVE,95223.7447840696
USD,1000.0,2018-08-04T00:00:00Z,OMR,384.5
USD,1000.0,2018-08-04T00:00:00Z,KES,100296.4556187
USD,1000.0,2018-08-04T00:00:00Z,SEK,8913.767680192
USD,1000.0,2018-08-04T00:00:00Z,BTN,68516.7362219
USD,1000.0,2018-08-04T00:00:00Z,GNF,9074781.0576725
USD,1000.0,2018-08-04T00:00:00Z,MZN,57809.8979631
USD,1000.0,2018-08-04T00:00:00Z,MZN,57809.8979631
USD,1000.0,2018-08-04T00:00:00Z,SVC,8750.0
USD,1000.0,2018-08-04T00:00:00Z,ARS,27260.5943106
USD,1000.0,2018-08-04T00:00:00Z,QAR,3640.0
USD,1000.0,2018-08-04T00:00:00Z,IRR,4.41343048492113E7
USD,1000.0,2018-08-04T00:00:00Z,EUR,863.55078248
USD,1000.0,2018-08-04T00:00:00Z,XPD,1.0914326661
USD,1000.0,2018-08-04T00:00:00Z,THB,33231.0131164
USD,1000.0,2018-08-04T00:00:00Z,UZS,7799964.9612026
USD,1000.0,2018-08-04T00:00:00Z,XPF,103049.0193886443
USD,1000.0,2018-08-04T00:00:00Z,BDT,84267.6811238
USD,1000.0,2018-08-04T00:00:00Z,LYD,1386.7570727
USD,1000.0,2018-08-04T00:00:00Z,KWD,303.0685764
USD,1000.0,2018-08-04T00:00:00Z,XPT,1.1985099326
USD,1000.0,2018-08-04T00:00:00Z,RUB,63319.6170296
USD,1000.0,2018-08-04T00:00:00Z,ISK,106960.9998097
USD,1000.0,2018-08-04T00:00:00Z,EUR,863.55078248
USD,1000.0,2018-08-04T00:00:00Z,MKD,53147.6789541
USD,1000.0,2018-08-04T00:00:00Z,DZD,118552.8372957
USD,1000.0,2018-08-04T00:00:00Z,PAB,1000.0
USD,1000.0,2018-08-04T00:00:00Z,SGD,1366.223368064
USD,1000.0,2018-08-04T00:00:00Z,JEP,769.1517639493
USD,1000.0,2018-08-04T00:00:00Z,KGS,68152.3093162
USD,1000.0,2018-08-04T00:00:00Z,XAF,566452.1806232333
USD,1000.0,2018-08-04T00:00:00Z,XAG,64.8631545349
USD,1000.0,2018-08-04T00:00:00Z,EUR,863.55078248
USD,1000.0,2018-08-04T00:00:00Z,CHF,994.56982864
USD,1000.0,2018-08-04T00:00:00Z,HRK,6381.6749389
USD,1000.0,2018-08-04T00:00:00Z,EUR,863.55078248
USD,1000.0,2018-08-04T00:00:00Z,DJF,177922.004049
USD,1000.0,2018-08-04T00:00:00Z,TZS,2280258.7903156
USD,1000.0,2018-08-04T00:00:00Z,VND,2.3301687060402602E7
USD,1000.0,2018-08-04T00:00:00Z,XAU,0.8240871248
USD,1000.0,2018-08-04T00:00:00Z,AUD,1352.1338701366
USD,1000.0,2018-08-04T00:00:00Z,KHR,4064490.3098005
USD,1000.0,2018-08-04T00:00:00Z,IDR,1.4500277296184901E7
USD,1000.0,2018-08-04T00:00:00Z,KYD,820.003633
USD,1000.0,2018-08-04T00:00:00Z,BWP,10347.8420715
USD,1000.0,2018-08-04T00:00:00Z,SHP,769.1517639493
USD,1000.0,2018-08-04T00:00:00Z,EUR,863.55078248
USD,1000.0,2018-08-04T00:00:00Z,TJS,9420.0012937
USD,1000.0,2018-08-04T00:00:00Z,RWF,864817.237909
USD,1000.0,2018-08-04T00:00:00Z,DKK,6441.3322552
USD,1000.0,2018-08-04T00:00:00Z,BGN,1688.9585268979
USD,1000.0,2018-08-04T00:00:00Z,MMK,1466996.6120126
USD,1000.0,2018-08-04T00:00:00Z,NOK,8246.157065152
USD,1000.0,2018-08-04T00:00:00Z,SYP,515229.2471205
USD,1000.0,2018-08-04T00:00:00Z,XBT,0.1348622623
USD,1000.0,2018-08-04T00:00:00Z,LKR,159818.0930852
USD,1000.0,2018-08-04T00:00:00Z,CZK,22140.869159936
USD,1000.0,2018-08-04T00:00:00Z,EUR,863.55078248
USD,1000.0,2018-08-04T00:00:00Z,EUR,863.55078248
USD,1000.0,2018-08-04T00:00:00Z,XCD,2702.4707496
USD,1000.0,2018-08-04T00:00:00Z,HTG,66969.455983
USD,1000.0,2018-08-04T00:00:00Z,BHD,376.0
USD,1000.0,2018-08-04T00:00:00Z,EUR,863.55078248
USD,1000.0,2018-08-04T00:00:00Z,EUR,863.55078248
USD,1000.0,2018-08-04T00:00:00Z,KZT,349335.0673917
USD,1000.0,2018-08-04T00:00:00Z,SZL,13318.4738300945
USD,1000.0,2018-08-04T00:00:00Z,YER,250210.0600751
USD,1000.0,2018-08-04T00:00:00Z,AFN,72160.0046249
USD,1000.0,2018-08-04T00:00:00Z,AWG,1790.0
USD,1000.0,2018-08-04T00:00:00Z,NPR,110140.6534767043
USD,1000.0,2018-08-04T00:00:00Z,MNT,2449532.6016785004
USD,1000.0,2018-08-04T00:00:00Z,GBP,769.1517639493
USD,1000.0,2018-08-04T00:00:00Z,BYN,2014.9884142
USD,1000.0,2018-08-04T00:00:00Z,HUF,276688.546722048
USD,1000.0,2018-08-04T00:00:00Z,BYN,2014.9884142
USD,1000.0,2018-08-04T00:00:00Z,BIF,1779005.3090504
USD,1000.0,2018-08-04T00:00:00Z,XDR,716.1005701
USD,1000.0,2018-08-04T00:00:00Z,BZD,2011.4678919
USD,1000.0,2018-08-04T00:00:00Z,MOP,8084.5472155238
USD,1000.0,2018-08-04T00:00:00Z,NAD,13318.4738300945
USD,1000.0,2018-08-04T00:00:00Z,EUR,863.55078248
USD,1000.0,2018-08-04T00:00:00Z,TMT,3509.9738731
USD,1000.0,2018-08-04T00:00:00Z,PEN,3267.9264693
USD,1000.0,2018-08-04T00:00:00Z,WST,2612.9036928
USD,1000.0,2018-08-04T00:00:00Z,TMT,3509.9738731
USD,1000.0,2018-08-04T00:00:00Z,EUR,863.55078248
USD,1000.0,2018-08-04T00:00:00Z,EUR,863.55078248
USD,1000.0,2018-08-04T00:00:00Z,GTQ,7498.1671743
USD,1000.0,2018-08-04T00:00:00Z,CLP,643976.7091055
USD,1000.0,2018-08-04T00:00:00Z,EUR,863.55078248
USD,1000.0,2018-08-04T00:00:00Z,TND,2712.0025042
USD,1000.0,2018-08-04T00:00:00Z,SLL,7948425.0836581
USD,1000.0,2018-08-04T00:00:00Z,DOP,49715.8225727
USD,1000.0,2018-08-04T00:00:00Z,KMF,424839.1354674251
USD,1000.0,2018-08-04T00:00:00Z,GEL,2446.908729
USD,1000.0,2018-08-04T00:00:00Z,MAD,9481.2093341
USD,1000.0,2018-08-04T00:00:00Z,AZN,1700.004213
USD,1000.0,2018-08-04T00:00:00Z,TOP,2327.5250938
USD,1000.0,2018-08-04T00:00:00Z,AZN,1700.004213
USD,1000.0,2018-08-04T00:00:00Z,PGK,3264.1863263
USD,1000.0,2018-08-04T00:00:00Z,CNH,6846.3959663
USD,1000.0,2018-08-04T00:00:00Z,UAH,27125.7328288
USD,1000.0,2018-08-04T00:00:00Z,ERN,15000.0
USD,1000.0,2018-08-04T00:00:00Z,MRO,355958.8557889
USD,1000.0,2018-08-04T00:00:00Z,CNY,6829.5031148
USD,1000.0,2018-08-04T00:00:00Z,MRU,35595.88557889
USD,1000.0,2018-08-04T00:00:00Z,BMD,1000.0
USD,1000.0,2018-08-04T00:00:00Z,PHP,53081.871379
USD,1000.0,2018-08-04T00:00:00Z,PYG,5741493.9779452
USD,1000.0,2018-08-04T00:00:00Z,JMD,134301.0135983
USD,1000.0,2018-08-04T00:00:00Z,EUR,863.55078248
USD,1000.0,2018-08-04T00:00:00Z,COP,2891693.4005868
USD,1000.0,2018-08-04T00:00:00Z,USD,1000.0
USD,1000.0,2018-08-04T00:00:00Z,GGP,769.1517639493
USD,1000.0,2018-08-04T00:00:00Z,ETB,27597.3542825
USD,1000.0,2018-08-04T00:00:00Z,VEF,9987.5
USD,1000.0,2018-08-04T00:00:00Z,SOS,578749.899447
USD,1000.0,2018-08-04T00:00:00Z,VEF,9987.5
USD,1000.0,2018-08-04T00:00:00Z,VUV,109538.0959523
USD,1000.0,2018-08-04T00:00:00Z,LAK,8457163.5123974
USD,1000.0,2018-08-04T00:00:00Z,BND,1366.223368064
USD,1000.0,2018-08-04T00:00:00Z,ZMW,9981.9732968
USD,1000.0,2018-08-04T00:00:00Z,LRD,151509.5761896
USD,1000.0,2018-08-04T00:00:00Z,ALL,108652.6825272
USD,1000.0,2018-08-04T00:00:00Z,GHS,4774.9888634
USD,1000.0,2018-08-04T00:00:00Z,EUR,863.55078248
USD,1000.0,2018-08-04T00:00:00Z,ZMW,9981.9732968
USD,1000.0,2018-08-04T00:00:00Z,SPL,166.666666
USD,1000.0,2018-08-04T00:00:00Z,TRY,5080.768191
USD,1000.0,2018-08-04T00:00:00Z,ILS,3688.75844488
USD,1000.0,2018-08-04T00:00:00Z,GHS,4774.9888634
USD,1000.0,2018-08-04T00:00:00Z,GYD,209348.5595625
USD,1000.0,2018-08-04T00:00:00Z,KPW,900048.1193171
USD,1000.0,2018-08-04T00:00:00Z,BOB,6905.8680068
USD,1000.0,2018-08-04T00:00:00Z,MDL,16551.8302869
USD,1000.0,2018-08-04T00:00:00Z,AMD,481279.7024272
USD,1000.0,2018-08-04T00:00:00Z,TRY,5080.768191
USD,1000.0,2018-08-04T00:00:00Z,LBP,1507500.0
USD,1000.0,2018-08-04T00:00:00Z,JOD,709.0
USD,1000.0,2018-08-04T00:00:00Z,HKD,7849.074966528
USD,1000.0,2018-08-04T00:00:00Z,EUR,863.55078248
