Terms,http://www.xe.com/legal/dfs.php,Privacy,http://www.xe.com/privacy.php
from,amount,timestamp,quotecurrency,mid
GBP,10000.0,2018-08-04T00:00:00Z,FJD,27342.0995149473
GBP,10000.0,2018-08-04T00:00:00Z,MXN,241193.1046397491
GBP,10000.0,2018-08-04T00:00:00Z,STD,2.7568767939491487E8
GBP,10000.0,2018-08-04T00:00:00Z,EUR,11227.3132944005
GBP,10000.0,2018-08-04T00:00:00Z,SCR,177254.5338191284
GBP,10000.0,2018-08-04T00:00:00Z,TVD,17579.5458518329
GBP,10000.0,2018-08-04T00:00:00Z,CDF,2.0420437872926164E7
GBP,10000.0,2018-08-04T00:00:00Z,BBD,26002.6706528068
GBP,10000.0,2018-08-04T00:00:00Z,HNL,312351.8216215451
GBP,10000.0,2018-08-04T00:00:00Z,UGX,4.809972717113327E7
GBP,10000.0,2018-08-04T00:00:00Z,ZAR,173157.9443009872
GBP,10000.0,2018-08-04T00:00:00Z,STN,275687.6793949149
GBP,10000.0,2018-08-04T00:00:00Z,CUC,13001.3353264034
GBP,10000.0,2018-08-04T00:00:00Z,BSD,13001.3353264034
GBP,10000.0,2018-08-04T00:00:00Z,SDG,234886.1583380573
GBP,10000.0,2018-08-04T00:00:00Z,SDG,234886.1583380573
GBP,10000.0,2018-08-04T00:00:00Z,IQD,1.5484606632292012E7
GBP,10000.0,2018-08-04T00:00:00Z,CUP,344535.3861496901
GBP,10000.0,2018-08-04T00:00:00Z,GMD,626441.8134179012
GBP,10000.0,2018-08-04T00:00:00Z,TWD,397769.213031607
GBP,10000.0,2018-08-04T00:00:00Z,RSD,1326238.1422402763
GBP,10000.0,2018-08-04T00:00:00Z,MYR,53077.9300984469
GBP,10000.0,2018-08-04T00:00:00Z,FKP,10000.0
GBP,10000.0,2018-08-04T00:00:00Z,XOF,7364634.746655081
GBP,10000.0,2018-08-04T00:00:00Z,UYU,397341.3100280305
GBP,10000.0,2018-08-04T00:00:00Z,CVE,1238035.8369735454
GBP,10000.0,2018-08-04T00:00:00Z,OMR,4999.0134330021
GBP,10000.0,2018-08-04T00:00:00Z,KES,1303987.851548455
GBP,10000.0,2018-08-04T00:00:00Z,SEK,115890.8826318331
GBP,10000.0,2018-08-04T00:00:00Z,BTN,890809.0630916519
GBP,10000.0,2018-08-04T00:00:00Z,GNF,1.1798427154449388E8
GBP,10000.0,2018-08-04T00:00:00Z,MZN,751605.8686034279
GBP,10000.0,2018-08-04T00:00:00Z,MZN,751605.8686034279
GBP,10000.0,2018-08-04T00:00:00Z,SVC,113761.6841060297
GBP,10000.0,2018-08-04T00:00:00Z,ARS,354424.1278291552
GBP,10000.0,2018-08-04T00:00:00Z,QAR,47324.8605881084
GBP,10000.0,2018-08-04T00:00:00Z,IRR,5.738048967423077E8
GBP,10000.0,2018-08-04T00:00:00Z,EUR,11227.3132944005
GBP,10000.0,2018-08-04T00:00:00Z,XPD,14.1900820786
GBP,10000.0,2018-08-04T00:00:00Z,THB,432047.544762426
GBP,10000.0,2018-08-04T00:00:00Z,UZS,1.0140995999479206E8
GBP,10000.0,2018-08-04T00:00:00Z,XPF,1339774.85612881
GBP,10000.0,2018-08-04T00:00:00Z,BDT,1095592.3794689577
GBP,10000.0,2018-08-04T00:00:00Z,LYD,18029.6937184343
GBP,10000.0,2018-08-04T00:00:00Z,KWD,3940.2961886721
GBP,10000.0,2018-08-04T00:00:00Z,XPT,15.5822295252
GBP,10000.0,2018-08-04T00:00:00Z,RUB,823239.5737412728
GBP,10000.0,2018-08-04T00:00:00Z,ISK,1390635.8253732796
GBP,10000.0,2018-08-04T00:00:00Z,EUR,11227.3132944005
GBP,10000.0,2018-08-04T00:00:00Z,MKD,690990.7959022867
GBP,10000.0,2018-08-04T00:00:00Z,DZD,1541345.1915779389
GBP,10000.0,2018-08-04T00:00:00Z,PAB,13001.3353264034
GBP,10000.0,2018-08-04T00:00:00Z,SGD,17762.7281389683
